n,X,Y,Lv,x,y
1,0.319240,0.324942,0.542545,0.26901,0.27381
2,0.319252,0.324884,0.542956,0.26894,0.27368
3,0.319269,0.324978,0.542825,0.26895,0.27376
4,0.319377,0.324817,0.542597,0.26911,0.27369
5,0.318467,0.323898,0.541207,0.26907,0.27366
6,0.318427,0.323937,0.541582,0.26895,0.27361
7,0.319231,0.324812,0.542403,0.26906,0.27377
8,0.319214,0.324741,0.542609,0.26902,0.27368
9,0.318935,0.324359,0.542246,0.26902,0.27360
10,0.319039,0.324375,0.542278,0.26907,0.27357
11,0.318910,0.324452,0.542237,0.26899,0.27366
12,0.319176,0.324520,0.542663,0.26904,0.27354
13,0.319258,0.324749,0.542920,0.26898,0.27360
14,0.319217,0.324686,0.542465,0.26907,0.27368
15,0.319141,0.324675,0.542571,0.26900,0.27367
16,0.319130,0.324533,0.542426,0.26906,0.27362
17,0.319265,0.324638,0.542528,0.26910,0.27363
18,0.319254,0.324586,0.542430,0.26912,0.27362
19,0.319131,0.324819,0.542671,0.26894,0.27373
20,0.319138,0.324600,0.542515,0.26903,0.27363
21,0.319065,0.324591,0.542606,0.26897,0.27362
22,0.318991,0.324477,0.542419,0.26899,0.27362
23,0.319158,0.324605,0.542782,0.26898,0.27357
24,0.319133,0.324517,0.542646,0.26902,0.27355
25,0.319221,0.324562,0.542200,0.26916,0.27366
26,0.319113,0.324779,0.542520,0.26897,0.27375
27,0.319086,0.324670,0.542727,0.26893,0.27364
28,0.319011,0.324556,0.542790,0.26890,0.27357
29,0.318994,0.324493,0.542594,0.26895,0.27358
30,0.319259,0.324522,0.542590,0.26911,0.27354
31,0.318971,0.324582,0.542345,0.26897,0.27370
32,0.319172,0.324481,0.542487,0.26908,0.27356
33,0.319091,0.324513,0.542441,0.26904,0.27361
34,0.319056,0.324348,0.542705,0.26899,0.27346
35,0.318977,0.324655,0.542693,0.26888,0.27366
36,0.319070,0.324456,0.542467,0.26903,0.27357
37,0.319252,0.324484,0.542421,0.26915,0.27356
38,0.318993,0.324543,0.542393,0.26898,0.27366
39,0.319109,0.324645,0.542392,0.26903,0.27370
40,0.318939,0.324583,0.542617,0.26889,0.27365
41,0.318990,0.324353,0.542491,0.26900,0.27352
42,0.319173,0.324363,0.542588,0.26909,0.27346
43,0.319116,0.324335,0.542533,0.26907,0.27347
44,0.318942,0.324268,0.542587,0.26897,0.27346
45,0.318951,0.324423,0.542697,0.26891,0.27353
46,0.319010,0.324518,0.542451,0.26898,0.27363
47,0.319144,0.324565,0.542524,0.26904,0.27361
48,0.318954,0.324462,0.542711,0.26890,0.27355
49,0.319087,0.324308,0.542593,0.26905,0.27345
50,0.318958,0.324300,0.542555,0.26898,0.27348
51,0.318966,0.324466,0.542521,0.26895,0.27359
52,0.318951,0.324234,0.542472,0.26901,0.27346
53,0.318898,0.324259,0.542765,0.26890,0.27342
54,0.319109,0.324434,0.542471,0.26906,0.27355
55,0.318991,0.324544,0.542580,0.26894,0.27362
56,0.319004,0.324417,0.542358,0.26902,0.27359
57,0.319050,0.324434,0.542680,0.26898,0.27352
58,0.318925,0.324319,0.542817,0.26889,0.27344
59,0.318935,0.324184,0.542348,0.26904,0.27347
60,0.319069,0.324282,0.542499,0.26906,0.27346
61,0.318982,0.324308,0.542434,0.26902,0.27351
62,0.318938,0.324383,0.542563,0.26895,0.27354
63,0.318823,0.324358,0.542364,0.26893,0.27359
64,0.318977,0.324485,0.542520,0.26896,0.27360
65,0.318882,0.324299,0.542509,0.26894,0.27351
66,0.319025,0.324183,0.542468,0.26907,0.27342
67,0.319075,0.324256,0.542469,0.26908,0.27345
68,0.319018,0.324342,0.542556,0.26901,0.27349
69,0.318996,0.324428,0.542335,0.26902,0.27360
70,0.318934,0.324288,0.542514,0.26898,0.27349
71,0.318968,0.324344,0.542324,0.26903,0.27356
72,0.318821,0.324289,0.542390,0.26893,0.27355
73,0.319036,0.324172,0.542608,0.26904,0.27337
74,0.318892,0.324175,0.542738,0.26892,0.27338
75,0.318908,0.324212,0.542400,0.26900,0.27348
76,0.318989,0.324361,0.542315,0.26904,0.27357
77,0.318942,0.324350,0.542609,0.26895,0.27350
78,0.318858,0.324331,0.542158,0.26900,0.27362
79,0.318891,0.324223,0.542424,0.26898,0.27348
80,0.318875,0.324300,0.542253,0.26900,0.27357
81,0.319032,0.324074,0.542226,0.26915,0.27340
82,0.318856,0.324183,0.542448,0.26897,0.27346
83,0.318878,0.324261,0.542544,0.26894,0.27348
84,0.318898,0.324047,0.542413,0.26903,0.27337
85,0.318939,0.324084,0.542479,0.26903,0.27337
86,0.318870,0.324202,0.542481,0.26896,0.27346
87,0.318855,0.324097,0.542507,0.26897,0.27339
88,0.318711,0.323951,0.542236,0.26898,0.27340
89,0.318758,0.324159,0.542486,0.26890,0.27346
90,0.318821,0.324292,0.542488,0.26891,0.27353
91,0.318659,0.324242,0.542379,0.26885,0.27356
92,0.318817,0.323881,0.542361,0.26903,0.27330
93,0.318925,0.323972,0.542335,0.26908,0.27334
94,0.318779,0.323883,0.542347,0.26901,0.27332
95,0.318738,0.324161,0.542217,0.26895,0.27353
96,0.318796,0.324091,0.542460,0.26895,0.27341
97,0.318752,0.323961,0.542422,0.26896,0.27335
98,0.318693,0.323968,0.542418,0.26892,0.27337
99,0.318810,0.324023,0.542439,0.26898,0.27337
100,0.318799,0.323952,0.542465,0.26898,0.27333
101,0.318727,0.323926,0.542416,0.26895,0.27334
102,0.318686,0.323900,0.542522,0.26891,0.27331
103,0.318649,0.323949,0.541986,0.26900,0.27347
104,0.318543,0.324054,0.542513,0.26879,0.27344
105,0.318656,0.324080,0.542274,0.26891,0.27348
106,0.318775,0.324127,0.542456,0.26893,0.27344
107,0.318639,0.323827,0.542393,0.26893,0.27330
108,0.318765,0.323951,0.542402,0.26897,0.27335
109,0.318759,0.324043,0.542404,0.26895,0.27341
110,0.318661,0.324157,0.542479,0.26885,0.27348
111,0.318735,0.324084,0.542447,0.26891,0.27343
112,0.318589,0.324015,0.542533,0.26882,0.27340
113,0.318789,0.323979,0.542153,0.26904,0.27342
114,0.318631,0.323869,0.542275,0.26894,0.27336
115,0.318657,0.324001,0.542342,0.26891,0.27342
116,0.318723,0.323783,0.542243,0.26902,0.27329
117,0.318730,0.323881,0.542356,0.26898,0.27333
118,0.318662,0.324030,0.542411,0.26889,0.27342
119,0.318743,0.324041,0.542520,0.26891,0.27338
120,0.318653,0.323907,0.542367,0.26892,0.27336
121,0.318595,0.323959,0.542062,0.26894,0.27347
122,0.318670,0.323974,0.542192,0.26896,0.27343
123,0.318650,0.323968,0.542044,0.26898,0.27347
124,0.318500,0.323881,0.542422,0.26882,0.27336
125,0.318480,0.323864,0.542575,0.26878,0.27332
126,0.318519,0.323771,0.542380,0.26887,0.27330
127,0.318604,0.323776,0.542120,0.26898,0.27334
128,0.318504,0.323823,0.542304,0.26886,0.27335
129,0.318516,0.323783,0.542376,0.26886,0.27331
130,0.318494,0.323829,0.542032,0.26892,0.27342
131,0.318473,0.323796,0.542074,0.26890,0.27340
132,0.318586,0.323802,0.542271,0.26893,0.27333
133,0.318482,0.323707,0.542345,0.26887,0.27328
134,0.318544,0.323670,0.542059,0.26898,0.27331
135,0.318625,0.323785,0.542319,0.26894,0.27330
136,0.318617,0.323755,0.542340,0.26894,0.27328
137,0.318522,0.323740,0.542320,0.26889,0.27329
138,0.318581,0.323868,0.542236,0.26892,0.27338
139,0.318656,0.323840,0.542065,0.26901,0.27338
140,0.318439,0.323724,0.542386,0.26883,0.27329
141,0.318671,0.323708,0.542038,0.26905,0.27331
142,0.318420,0.323687,0.542214,0.26886,0.27331
143,0.318514,0.323589,0.542371,0.26891,0.27319
144,0.318392,0.323796,0.542380,0.26878,0.27335
145,0.318412,0.323546,0.542489,0.26883,0.27316
146,0.318328,0.323478,0.542606,0.26876,0.27311
