n,X,Y,Lv,x,y
1,0.315344,0.329910,0.500494,0.27523,0.28794
2,0.315798,0.330513,0.500754,0.27531,0.28814
3,0.315902,0.330701,0.500823,0.27531,0.28821
4,0.316044,0.330909,0.501257,0.27525,0.28820
5,0.316551,0.331251,0.501181,0.27551,0.28830
6,0.316562,0.331600,0.501339,0.27539,0.28847
7,0.316760,0.331512,0.501450,0.27551,0.28834
8,0.316983,0.331876,0.501881,0.27546,0.28840
9,0.317098,0.331948,0.502028,0.27548,0.28838
10,0.317372,0.332320,0.502075,0.27555,0.28853
11,0.317300,0.332203,0.501996,0.27555,0.28850
12,0.317387,0.332239,0.502343,0.27552,0.28841
13,0.317600,0.332509,0.502644,0.27551,0.28845
14,0.317789,0.332581,0.502424,0.27567,0.28850
15,0.317807,0.332714,0.502427,0.27565,0.28858
16,0.317945,0.332931,0.502765,0.27560,0.28859
17,0.318001,0.332986,0.502718,0.27563,0.28862
18,0.318019,0.333122,0.502758,0.27560,0.28869
19,0.318293,0.333305,0.502731,0.27574,0.28874
20,0.318344,0.333307,0.503092,0.27568,0.28864
21,0.318368,0.333525,0.502697,0.27574,0.28887
22,0.318403,0.333604,0.502958,0.27568,0.28884
23,0.318468,0.333471,0.502955,0.27576,0.28875
24,0.318554,0.333688,0.503072,0.27573,0.28883
25,0.318612,0.333614,0.503446,0.27569,0.28868
26,0.318813,0.333897,0.503353,0.27577,0.28882
27,0.318765,0.334000,0.503573,0.27567,0.28884
28,0.318864,0.334182,0.503780,0.27564,0.28888
29,0.318803,0.333988,0.503489,0.27571,0.28885
30,0.319055,0.334278,0.503486,0.27580,0.28896
31,0.318981,0.334266,0.503602,0.27573,0.28894
32,0.319243,0.334275,0.503470,0.27593,0.28892
33,0.319250,0.334258,0.503773,0.27586,0.28883
34,0.319359,0.334310,0.503850,0.27590,0.28882
35,0.319172,0.334296,0.503668,0.27583,0.28890
36,0.319319,0.334379,0.503684,0.27590,0.28891
37,0.319241,0.334303,0.503566,0.27590,0.28891
38,0.319315,0.334514,0.503888,0.27581,0.28894
39,0.319366,0.334710,0.503950,0.27578,0.28904
40,0.319492,0.334597,0.503834,0.27592,0.28896
41,0.319486,0.334560,0.503881,0.27591,0.28893
42,0.319505,0.334845,0.503858,0.27586,0.28911
43,0.319614,0.334978,0.503999,0.27586,0.28913
44,0.319696,0.334923,0.503873,0.27596,0.28910
45,0.319595,0.334815,0.503990,0.27589,0.28903
46,0.319617,0.334837,0.504148,0.27586,0.28900
47,0.319602,0.335023,0.503921,0.27586,0.28918
48,0.319522,0.334948,0.504292,0.27574,0.28906
49,0.319617,0.335023,0.504113,0.27583,0.28912
50,0.319615,0.334919,0.504298,0.27581,0.28901
51,0.319648,0.334854,0.504053,0.27590,0.28903
52,0.319638,0.334933,0.504222,0.27584,0.28904
53,0.319645,0.335047,0.504152,0.27583,0.28912
54,0.319744,0.335232,0.504103,0.27586,0.28922
55,0.319638,0.335149,0.504191,0.27579,0.28918
56,0.319707,0.335179,0.504172,0.27583,0.28918
57,0.319699,0.335343,0.504255,0.27577,0.28926
58,0.319802,0.335182,0.504259,0.27587,0.28914
59,0.319708,0.335077,0.504468,0.27579,0.28905
60,0.319671,0.335258,0.504197,0.27579,0.28923
61,0.319736,0.335184,0.504132,0.27586,0.28919
62,0.319832,0.335291,0.504369,0.27584,0.28917
63,0.319873,0.335353,0.504304,0.27586,0.28921
64,0.319921,0.335442,0.504357,0.27586,0.28924
65,0.319920,0.335370,0.504409,0.27586,0.28919
66,0.319830,0.335473,0.504445,0.27578,0.28926
67,0.320033,0.335491,0.504606,0.27586,0.28918
68,0.320047,0.335655,0.504938,0.27575,0.28920
69,0.320051,0.335492,0.504860,0.27581,0.28912
70,0.319981,0.335517,0.504607,0.27582,0.28921
