n,X,Y,Lv,x,y
1,0.000323,0.000358,0.000069,0.43044,0.47699
2,0.000407,0.000507,0.000287,0.33850,0.42252
3,0.000444,0.000346,0.000101,0.49860,0.38775
4,0.000471,0.000356,0.000029,0.55012,0.41554
5,0.000401,0.000316,0.000200,0.43733,0.34450
6,0.000491,0.000405,0.000350,0.39403,0.32509
7,0.000260,0.000159,0.000170,0.44062,0.27011
8,0.000277,0.000171,0.000150,0.46348,0.28564
9,0.000342,0.000268,0.000081,0.49522,0.38789
10,0.000295,0.000355,0.000113,0.38643,0.46569
11,0.000330,0.000221,0.000156,0.46641,0.31325
12,0.000364,0.000185,0.000216,0.47588,0.24238
13,0.000363,0.000331,0.000214,0.40029,0.36426
14,0.000369,0.000306,0.000075,0.49173,0.40806
15,0.000384,0.000359,0.000300,0.36814,0.34436
16,0.000403,0.000321,0.000189,0.44124,0.35146
17,0.000305,0.000238,0.000219,0.40039,0.31234
18,0.000370,0.000232,0.000060,0.55901,0.35059
19,0.000342,0.000429,0.000127,0.38116,0.47801
20,0.000327,0.000278,0.000126,0.44702,0.38102
21,0.000343,0.000242,0.000149,0.46701,0.33002
22,0.000345,0.000321,0.000079,0.46319,0.43074
23,0.000261,0.000300,0.000138,0.37362,0.42941
24,0.000264,0.000259,0.000182,0.37425,0.36758
25,0.000336,0.000349,0.000342,0.32665,0.34018
26,0.000354,0.000396,0.000023,0.45781,0.51195
27,0.000265,0.000377,0.000226,0.30550,0.43390
28,0.000438,0.000376,0.000442,0.34862,0.29959
29,0.000205,0.000300,0.000181,0.29889,0.43763
30,0.000321,0.000226,0.000162,0.45261,0.31855
31,0.000282,0.000280,0.000296,0.32899,0.32584
32,0.000400,0.000403,0.000397,0.33350,0.33567
33,0.000403,0.000341,0.000089,0.48451,0.40908
34,0.000371,0.000328,0.000055,0.49224,0.43537
35,0.000342,0.000323,0.000195,0.39795,0.37576
36,0.000336,0.000273,0.000199,0.41580,0.33767
37,0.000190,0.000307,0.000053,0.34539,0.55808
38,0.000354,0.000347,0.000272,0.36361,0.35683
39,0.000343,0.000428,0.000213,0.34846,0.43487
40,0.000243,0.000222,0.000201,0.36481,0.33358
41,0.000337,0.000319,0.000214,0.38721,0.36708
42,0.000392,0.000332,0.000198,0.42533,0.36026
43,0.000321,0.000343,0.000123,0.40755,0.43614
44,0.000182,0.000430,0.000218,0.21937,0.51801
45,0.000363,0.000292,0.000141,0.45593,0.36678
46,0.000348,0.000426,0.000367,0.30504,0.37343
47,0.000438,0.000357,0.000293,0.40270,0.32818
48,0.000323,0.000320,0.000266,0.35486,0.35222
49,0.000346,0.000300,0.000284,0.37207,0.32268
50,0.000358,0.000298,0.000324,0.36556,0.30437
51,0.000266,0.000455,0.000272,0.26820,0.45825
52,0.000363,0.000377,0.000199,0.38665,0.40102
53,0.000326,0.000345,0.000118,0.41299,0.43772
54,0.000330,0.000396,0.000182,0.36331,0.43658
55,0.000489,0.000353,0.000058,0.54355,0.39158
56,0.000411,0.000486,0.000333,0.33393,0.39548
57,0.000222,0.000256,0.000132,0.36320,0.41972
58,0.000285,0.000165,0.000094,0.52307,0.30399
59,0.000334,0.000309,0.000190,0.40118,0.37059
60,0.000293,0.000266,0.000203,0.38407,0.34917
61,0.000236,0.000314,0.000240,0.29830,0.39808
62,0.000421,0.000265,0.000218,0.46559,0.29354
63,0.000279,0.000334,0.000265,0.31773,0.38061
64,0.000401,0.000351,0.000074,0.48589,0.42487
65,0.000360,0.000343,0.000241,0.38155,0.36302
66,0.000384,0.000239,0.000364,0.38923,0.24180
67,0.000264,0.000296,0.000203,0.34609,0.38739
68,0.000239,0.000246,0.000288,0.30924,0.31791
