n,X,Y,Lv,x,y
501,66.383949,33.168117,353.369230,0.14657,0.07323
502,66.378692,33.158882,353.358240,0.14657,0.07322
503,66.381538,33.154537,353.370970,0.14657,0.07320
504,66.381126,33.159431,353.372250,0.14656,0.07321
505,66.381835,33.160346,353.369500,0.14657,0.07322
506,66.375762,33.158191,353.358820,0.14656,0.07321
507,66.382194,33.150794,353.379210,0.14657,0.07319
508,66.383621,33.157302,353.367950,0.14657,0.07321
509,66.380355,33.161483,353.360830,0.14657,0.07322
510,66.377853,33.157203,353.357480,0.14656,0.07321
511,66.379219,33.160224,353.372460,0.14656,0.07322
512,66.379577,33.156841,353.374870,0.14656,0.07321
513,66.382980,33.159782,353.375670,0.14657,0.07321
514,66.380760,33.156261,353.377410,0.14656,0.07321
515,66.379661,33.158363,353.380370,0.14656,0.07321
516,66.382255,33.159469,353.394040,0.14656,0.07321
517,66.380981,33.153060,353.376030,0.14657,0.07320
518,66.382904,33.152637,353.374720,0.14657,0.07320
519,66.380676,33.155914,353.385580,0.14656,0.07320
520,66.382125,33.158527,353.390930,0.14656,0.07321
521,66.382347,33.156261,353.389400,0.14656,0.07320
522,66.380867,33.154407,353.385130,0.14656,0.07320
523,66.383995,33.160369,353.392540,0.14656,0.07321
524,66.386291,33.159561,353.388670,0.14657,0.07321
525,66.385871,33.160713,353.394040,0.14657,0.07321
526,66.386962,33.159595,353.405970,0.14656,0.07321
527,66.386116,33.159420,353.404320,0.14656,0.07321
528,66.384437,33.157947,353.402130,0.14656,0.07321
529,66.385345,33.155998,353.384240,0.14657,0.07320
530,66.384468,33.160369,353.396570,0.14656,0.07321
531,66.384872,33.158660,353.393210,0.14657,0.07321
532,66.386924,33.158626,353.395200,0.14657,0.07321
533,66.385559,33.161315,353.405850,0.14656,0.07321
534,66.390945,33.165546,353.412990,0.14657,0.07322
535,66.388160,33.154285,353.397240,0.14657,0.07320
536,66.388244,33.163715,353.410400,0.14656,0.07322
537,66.383277,33.159786,353.380000,0.14657,0.07321
538,66.388656,33.156200,353.413480,0.14657,0.07320
539,66.386741,33.157882,353.396630,0.14657,0.07321
540,66.390632,33.158805,353.418600,0.14657,0.07320
541,66.389259,33.151897,353.424920,0.14657,0.07319
542,66.387626,33.156593,353.412230,0.14657,0.07320
543,66.390510,33.161834,353.426330,0.14656,0.07321
544,66.387046,33.161682,353.411650,0.14656,0.07321
545,66.393539,33.162311,353.417200,0.14657,0.07321
546,66.388397,33.158851,353.417540,0.14656,0.07320
547,66.389152,33.156707,353.398190,0.14657,0.07320
548,66.388771,33.158081,353.415340,0.14657,0.07320
549,66.384330,33.153438,353.401090,0.14656,0.07320
550,66.390243,33.154518,353.427940,0.14657,0.07319
551,66.388183,33.151470,353.397880,0.14657,0.07319
552,66.386718,33.153396,353.403590,0.14657,0.07320
553,66.389480,33.155628,353.416930,0.14657,0.07320
554,66.384132,33.149848,353.392050,0.14657,0.07319
555,66.390586,33.153152,353.412990,0.14657,0.07319
556,66.382629,33.146633,353.375090,0.14657,0.07319
557,66.389495,33.153751,353.417380,0.14657,0.07319
558,66.389869,33.154106,353.414480,0.14657,0.07319
559,66.390174,33.150138,353.407440,0.14657,0.07319
560,66.390968,33.154869,353.423210,0.14657,0.07319
561,66.386741,33.155124,353.415640,0.14656,0.07320
562,66.390220,33.153026,353.431540,0.14656,0.07319
563,66.390480,33.152439,353.423150,0.14657,0.07319
564,66.390167,33.156784,353.431970,0.14656,0.07320
565,66.389419,33.150783,353.427850,0.14657,0.07319
566,66.400848,33.155582,353.419430,0.14659,0.07320
567,66.392364,33.152259,353.440940,0.14657,0.07319
568,66.393608,33.157043,353.416900,0.14657,0.07320
569,66.393180,33.153144,353.429290,0.14657,0.07319
570,66.394126,33.155960,353.434140,0.14657,0.07319
571,66.396690,33.161529,353.429680,0.14657,0.07321
572,66.397697,33.164226,353.460290,0.14657,0.07321
573,66.392303,33.159721,353.422420,0.14657,0.07320
574,66.389343,33.153045,353.432280,0.14656,0.07319
575,66.394279,33.161624,353.445190,0.14657,0.07320
576,66.394020,33.161792,353.436980,0.14657,0.07321
577,66.397041,33.158054,353.464840,0.14657,0.07319
578,66.391166,33.164455,353.426200,0.14656,0.07321
579,66.395675,33.159717,353.446350,0.14657,0.07320
580,66.398185,33.161884,353.434230,0.14658,0.07321
581,66.394058,33.158973,353.436920,0.14657,0.07320
582,66.391853,33.158870,353.449150,0.14656,0.07320
583,66.396827,33.157417,353.437920,0.14657,0.07320
584,66.396499,33.164020,353.444670,0.14657,0.07321
585,66.402954,33.159973,353.457910,0.14658,0.07320
586,66.397308,33.158164,353.440300,0.14657,0.07320
587,66.396743,33.164222,353.452810,0.14657,0.07321
588,66.399253,33.160400,353.449610,0.14657,0.07320
589,66.397323,33.155960,353.457330,0.14657,0.07319
590,66.393119,33.158828,353.443320,0.14656,0.07320
591,66.393661,33.170696,353.459830,0.14656,0.07322
592,66.398185,33.162910,353.464630,0.14657,0.07320
593,66.395904,33.153896,353.446770,0.14657,0.07319
594,66.399436,33.162170,353.477690,0.14656,0.07320
595,66.399742,33.164939,353.462310,0.14657,0.07321
596,66.397888,33.168006,353.470940,0.14656,0.07321
597,66.401496,33.158573,353.482260,0.14657,0.07319
598,66.398811,33.164417,353.468620,0.14657,0.07321
599,66.392036,33.162513,353.474880,0.14655,0.07320
600,66.399620,33.159687,353.464320,0.14657,0.07320
601,66.409698,33.161041,353.487450,0.14658,0.07319
602,66.403800,33.166419,353.484100,0.14657,0.07321
603,66.397781,33.160125,353.472740,0.14656,0.07320
604,66.399848,33.165939,353.483390,0.14656,0.07321
605,66.405380,33.154869,353.463340,0.14658,0.07319
606,66.398155,33.158241,353.472830,0.14656,0.07319
607,66.407569,33.157272,353.466490,0.14658,0.07319
608,66.401687,33.161003,353.478110,0.14657,0.07320
609,66.400550,33.161804,353.486020,0.14656,0.07320
610,66.396568,33.166339,353.466580,0.14656,0.07321
611,66.399299,33.155986,353.480770,0.14657,0.07319
612,66.397377,33.160293,353.462210,0.14657,0.07320
613,66.400573,33.165351,353.479550,0.14656,0.07321
614,66.399147,33.160667,353.474330,0.14657,0.07320
615,66.398269,33.160453,353.459990,0.14657,0.07320
616,66.399421,33.163536,353.493190,0.14656,0.07320
617,66.402023,33.161136,353.463430,0.14657,0.07320
618,66.401809,33.164615,353.494470,0.14656,0.07320
619,66.405998,33.164562,353.506370,0.14657,0.07320
620,66.402275,33.163776,353.469140,0.14657,0.07320
621,66.405670,33.161006,353.508660,0.14657,0.07319
622,66.402397,33.166084,353.486480,0.14657,0.07321
623,66.406234,33.166412,353.498040,0.14657,0.07320
624,66.404861,33.157775,353.491450,0.14657,0.07319
625,66.407905,33.163673,353.475060,0.14658,0.07320
626,66.406692,33.160049,353.510580,0.14657,0.07319
627,66.401023,33.163066,353.473480,0.14657,0.07320
628,66.408782,33.165245,353.503630,0.14657,0.07320
629,66.401390,33.161792,353.488520,0.14656,0.07320
630,66.401680,33.160068,353.480280,0.14657,0.07319
631,66.397552,33.162254,353.490990,0.14656,0.07320
632,66.398834,33.160285,353.470880,0.14657,0.07320
633,66.398582,33.158489,353.495570,0.14656,0.07319
634,66.403320,33.164127,353.467460,0.14657,0.07320
635,66.401626,33.162002,353.498160,0.14656,0.07320
636,66.407516,33.162990,353.494990,0.14657,0.07320
637,66.402511,33.160198,353.467190,0.14657,0.07320
638,66.400108,33.159538,353.481230,0.14657,0.07319
639,66.403770,33.158332,353.480040,0.14657,0.07319
640,66.400199,33.160827,353.471950,0.14657,0.07320
641,66.400589,33.159168,353.485190,0.14657,0.07319
642,66.403343,33.158130,353.471670,0.14658,0.07319
643,66.404510,33.168128,353.496700,0.14657,0.07321
644,66.399375,33.163917,353.496640,0.14656,0.07320
645,66.400795,33.162761,353.494230,0.14656,0.07320
646,66.393890,33.167396,353.488460,0.14655,0.07321
647,66.399772,33.165721,353.474150,0.14657,0.07321
648,66.391593,33.159545,353.486780,0.14655,0.07319
649,66.394531,33.161735,353.484280,0.14655,0.07320
650,66.397872,33.159778,353.481620,0.14656,0.07319
651,66.399993,33.160697,353.490900,0.14656,0.07319
652,66.398368,33.159957,353.483240,0.14656,0.07319
653,66.400909,33.164833,353.497920,0.14656,0.07320
654,66.396911,33.154579,353.496180,0.14656,0.07318
655,66.400733,33.167041,353.480340,0.14656,0.07321
656,66.396591,33.159870,353.503470,0.14655,0.07319
657,66.399314,33.157104,353.478240,0.14657,0.07319
658,66.397964,33.157363,353.490690,0.14656,0.07319
659,66.399955,33.162769,353.491660,0.14656,0.07320
660,66.402442,33.160831,353.488490,0.14657,0.07319
661,66.401878,33.164459,353.504420,0.14656,0.07320
662,66.404701,33.164142,353.483490,0.14657,0.07320
663,66.400062,33.167327,353.509090,0.14655,0.07320
664,66.400009,33.163551,353.502250,0.14656,0.07320
665,66.402267,33.165603,353.513730,0.14656,0.07320
666,66.403198,33.162620,353.526730,0.14656,0.07319
667,66.400001,33.162239,353.504390,0.14656,0.07320
668,66.399200,33.158355,353.518340,0.14655,0.07318
669,66.395744,33.161567,353.499200,0.14655,0.07320
670,66.398033,33.161312,353.495480,0.14656,0.07319
671,66.392364,33.161808,353.493250,0.14655,0.07320
672,66.400810,33.157844,353.483550,0.14657,0.07319
673,66.402183,33.157348,353.515860,0.14656,0.07318
674,66.402801,33.166149,353.511930,0.14656,0.07320
675,66.401397,33.161315,353.519650,0.14655,0.07319
676,66.399971,33.163372,353.506040,0.14656,0.07320
677,66.397079,33.163749,353.485010,0.14656,0.07320
678,66.407127,33.165351,353.527640,0.14656,0.07320
