n,X,Y,Lv,x,y
501,54.730762,46.692375,244.246680,0.15833,0.13508
502,54.723068,46.687122,244.220620,0.15833,0.13508
503,54.727096,46.684635,244.234100,0.15833,0.13506
504,54.731605,46.684017,244.249090,0.15834,0.13506
505,54.731765,46.686824,244.247370,0.15834,0.13506
506,54.729087,46.685688,244.224470,0.15834,0.13507
507,54.733993,46.688278,244.246470,0.15834,0.13507
508,54.731822,46.684326,244.229300,0.15835,0.13506
509,54.729274,46.684417,244.241160,0.15834,0.13506
510,54.732311,46.687740,244.242840,0.15834,0.13507
511,54.730655,46.682468,244.227050,0.15835,0.13506
512,54.728492,46.678188,244.224990,0.15834,0.13505
513,54.730258,46.687217,244.242500,0.15834,0.13507
514,54.720558,46.682098,244.219390,0.15832,0.13507
515,54.730690,46.679649,244.227170,0.15835,0.13505
516,54.731105,46.685283,244.230600,0.15834,0.13507
517,54.726734,46.684036,244.220800,0.15834,0.13507
518,54.728538,46.687999,244.240370,0.15833,0.13507
519,54.725601,46.683895,244.229030,0.15833,0.13507
520,54.720233,46.680595,244.218990,0.15832,0.13506
521,54.728889,46.677978,244.220040,0.15835,0.13505
522,54.723941,46.674884,244.218240,0.15834,0.13505
523,54.727138,46.679710,244.220350,0.15834,0.13506
524,54.729427,46.682502,244.229610,0.15834,0.13506
525,54.726379,46.681240,244.225630,0.15834,0.13506
526,54.725704,46.687286,244.232750,0.15833,0.13507
527,54.726619,46.684253,244.230830,0.15833,0.13507
528,54.727729,46.687255,244.236520,0.15833,0.13507
529,54.725513,46.684860,244.236140,0.15833,0.13507
530,54.728847,46.683464,244.233870,0.15834,0.13506
531,54.726818,46.687240,244.226180,0.15833,0.13507
532,54.727790,46.685932,244.232680,0.15833,0.13507
533,54.728210,46.680278,244.231610,0.15834,0.13505
534,54.730140,46.686271,244.238840,0.15834,0.13507
535,54.727642,46.684055,244.232450,0.15834,0.13506
536,54.735000,46.687141,244.250970,0.15834,0.13506
537,54.737400,46.693321,244.261480,0.15834,0.13507
538,54.734729,46.691158,244.270910,0.15833,0.13506
539,54.731822,46.687183,244.241910,0.15834,0.13507
540,54.731697,46.690029,244.249840,0.15833,0.13507
541,54.735569,46.694088,244.253720,0.15834,0.13508
542,54.739154,46.691455,244.276480,0.15834,0.13506
543,54.738235,46.688446,244.268790,0.15834,0.13506
544,54.732795,46.693031,244.256100,0.15833,0.13508
545,54.741836,46.686454,244.257760,0.15836,0.13505
546,54.733081,46.693649,244.276300,0.15832,0.13507
547,54.734092,46.690967,244.266000,0.15833,0.13507
548,54.733573,46.693782,244.263040,0.15833,0.13507
549,54.737586,46.690551,244.278130,0.15834,0.13506
550,54.738574,46.687873,244.270030,0.15834,0.13505
551,54.738136,46.689735,244.260630,0.15835,0.13506
552,54.732467,46.688163,244.260110,0.15833,0.13506
553,54.733833,46.695671,244.268500,0.15833,0.13508
554,54.730266,46.686138,244.258100,0.15833,0.13506
555,54.730037,46.680824,244.237940,0.15834,0.13505
556,54.730678,46.684192,244.238600,0.15834,0.13506
557,54.732460,46.689434,244.243630,0.15834,0.13507
558,54.731475,46.684192,244.244360,0.15834,0.13506
559,54.729549,46.687236,244.243600,0.15833,0.13507
560,54.731487,46.690788,244.252220,0.15833,0.13507
