n,X,Y,Lv,x,y
501,24.697240,9.878868,149.073850,0.13448,0.05379
502,24.705087,9.879348,149.132030,0.13447,0.05377
503,24.703601,9.879747,149.118710,0.13448,0.05378
504,24.699382,9.877356,149.081370,0.13449,0.05378
505,24.705575,9.881951,149.115310,0.13449,0.05379
506,24.706775,9.880216,149.115700,0.13449,0.05378
507,24.699329,9.879958,149.093000,0.13447,0.05379
508,24.702142,9.881018,149.116690,0.13447,0.05379
509,24.705741,9.881621,149.129660,0.13448,0.05379
510,24.690454,9.875880,149.024780,0.13449,0.05379
511,24.695133,9.877446,149.068230,0.13448,0.05379
512,24.699478,9.879439,149.089810,0.13448,0.05379
513,24.704969,9.881471,149.099680,0.13450,0.05380
514,24.696453,9.876339,149.058130,0.13449,0.05378
515,24.695318,9.875635,149.048610,0.13449,0.05378
516,24.697549,9.876647,149.065330,0.13449,0.05378
517,24.688695,9.873644,149.018290,0.13448,0.05378
518,24.689760,9.875410,149.011930,0.13449,0.05379
519,24.680219,9.873639,148.962670,0.13448,0.05380
520,24.682037,9.874387,148.971870,0.13449,0.05380
521,24.680755,9.874467,148.963250,0.13449,0.05381
522,24.673751,9.867647,148.921090,0.13449,0.05379
523,24.668306,9.867326,148.898650,0.13448,0.05379
524,24.692642,9.877400,149.041590,0.13448,0.05380
525,24.680690,9.871878,148.962030,0.13449,0.05379
526,24.682798,9.874390,148.985180,0.13448,0.05380
527,24.680978,9.871924,148.967020,0.13449,0.05379
528,24.696287,9.879148,149.073330,0.13448,0.05379
529,24.691476,9.877796,149.041560,0.13448,0.05380
530,24.690755,9.875386,149.023860,0.13449,0.05379
531,24.692520,9.876390,149.034360,0.13449,0.05379
532,24.684003,9.875623,148.989570,0.13448,0.05380
533,24.692552,9.877679,149.049390,0.13448,0.05379
534,24.690196,9.877666,149.028160,0.13448,0.05380
535,24.697528,9.879152,149.077200,0.13448,0.05379
536,24.693433,9.878263,149.049620,0.13448,0.05380
537,24.702934,9.881428,149.096540,0.13449,0.05380
538,24.682025,9.873473,148.978390,0.13448,0.05380
539,24.679672,9.873890,148.977660,0.13447,0.05380
540,24.673357,9.870982,148.915720,0.13449,0.05380
541,24.679813,9.872280,148.960630,0.13449,0.05380
542,24.678838,9.870599,148.956720,0.13449,0.05379
543,24.690284,9.876457,149.034250,0.13448,0.05379
544,24.683132,9.873094,148.976190,0.13449,0.05379
545,24.684074,9.872908,148.986230,0.13449,0.05379
546,24.681976,9.872747,148.975640,0.13448,0.05379
547,24.674110,9.870980,148.939880,0.13447,0.05380
548,24.679086,9.869682,148.964380,0.13448,0.05378
549,24.679313,9.872020,148.960730,0.13448,0.05379
550,24.680137,9.872278,148.968100,0.13448,0.05379
551,24.698545,9.878890,149.074560,0.13449,0.05379
552,24.691030,9.876207,149.020840,0.13449,0.05380
553,24.682989,9.872872,148.972850,0.13449,0.05379
554,24.683208,9.872843,148.977430,0.13449,0.05379
555,24.695076,9.878990,149.057110,0.13448,0.05380
556,24.692873,9.876224,149.033340,0.13449,0.05379
557,24.686510,9.876318,149.006050,0.13448,0.05380
558,24.680618,9.873668,148.962120,0.13449,0.05380
559,24.687330,9.877827,149.009470,0.13448,0.05381
560,24.690582,9.878280,149.021650,0.13449,0.05381
561,24.683071,9.874307,148.978460,0.13449,0.05380
562,24.682388,9.875212,148.997290,0.13447,0.05380
563,24.685228,9.876537,148.998790,0.13448,0.05381
564,24.698497,9.881631,149.074140,0.13448,0.05381
565,24.688779,9.876893,149.020000,0.13448,0.05380
566,24.690416,9.877844,149.017830,0.13449,0.05380
567,24.686462,9.874176,149.004650,0.13448,0.05379
568,24.681537,9.872901,148.959070,0.13449,0.05380
569,24.673542,9.871854,148.928710,0.13448,0.05381
570,24.677026,9.869740,148.929350,0.13450,0.05379
571,24.677837,9.870813,148.950080,0.13449,0.05379
572,24.683843,9.873610,148.978790,0.13449,0.05380
573,24.686466,9.875057,149.000480,0.13449,0.05380
574,24.676275,9.871563,148.935560,0.13449,0.05380
575,24.666805,9.867619,148.882170,0.13449,0.05380
576,24.672666,9.868749,148.924430,0.13448,0.05379
577,24.674535,9.873282,148.932750,0.13448,0.05381
578,24.679430,9.873111,148.955420,0.13449,0.05380
579,24.681629,9.875877,148.973250,0.13448,0.05381
580,24.682285,9.876227,148.978070,0.13448,0.05381
581,24.683500,9.874575,148.979720,0.13449,0.05380
582,24.679201,9.874093,148.950750,0.13449,0.05381
583,24.691333,9.876855,149.018400,0.13449,0.05380
584,24.688018,9.874475,149.005630,0.13449,0.05379
585,24.676147,9.870791,148.943190,0.13448,0.05379
586,24.674892,9.872550,148.930430,0.13448,0.05381
587,24.672519,9.870427,148.919290,0.13448,0.05380
588,24.680656,9.872160,148.964820,0.13449,0.05379
589,24.683246,9.874928,148.966580,0.13450,0.05381
590,24.677833,9.871536,148.963940,0.13447,0.05379
591,24.674999,9.870531,148.932690,0.13448,0.05380
592,24.678096,9.871261,148.951930,0.13448,0.05379
593,24.685005,9.871701,148.992200,0.13449,0.05378
594,24.680555,9.872041,148.963150,0.13449,0.05379
595,24.676513,9.866691,148.927230,0.13450,0.05378
596,24.668613,9.867846,148.892950,0.13449,0.05380
597,24.677001,9.870619,148.956550,0.13448,0.05379
598,24.687053,9.876266,149.005630,0.13448,0.05380
599,24.662843,9.867515,148.857830,0.13448,0.05381
600,24.667854,9.869711,148.906230,0.13447,0.05380
601,24.681663,9.874801,148.984420,0.13448,0.05380
602,24.673139,9.869675,148.932140,0.13448,0.05379
603,24.680902,9.874429,148.964790,0.13449,0.05381
604,24.675727,9.872339,148.944070,0.13448,0.05380
605,24.674655,9.874910,148.937820,0.13448,0.05382
606,24.666828,9.868306,148.884260,0.13448,0.05380
607,24.672210,9.872039,148.922680,0.13448,0.05381
608,24.664028,9.869348,148.874580,0.13448,0.05381
609,24.670314,9.871472,148.907880,0.13448,0.05381
610,24.665321,9.866523,148.855940,0.13450,0.05380
611,24.679603,9.872928,148.954260,0.13449,0.05380
612,24.676374,9.872449,148.940120,0.13448,0.05380
613,24.676204,9.871725,148.937010,0.13449,0.05380
614,24.680065,9.875110,148.952220,0.13449,0.05381
615,24.683929,9.873551,148.979240,0.13449,0.05380
616,24.684482,9.873966,148.985270,0.13449,0.05380
617,24.673793,9.870560,148.926980,0.13448,0.05380
618,24.673925,9.872135,148.921260,0.13449,0.05381
619,24.676797,9.872416,148.938840,0.13449,0.05380
620,24.667184,9.869321,148.894330,0.13448,0.05380
621,24.668443,9.868962,148.887710,0.13449,0.05380
622,24.678157,9.873055,148.960690,0.13448,0.05380
623,24.675445,9.872698,148.944940,0.13448,0.05380
624,24.669776,9.870984,148.916330,0.13447,0.05381
625,24.675535,9.872808,148.936700,0.13448,0.05381
626,24.671255,9.870236,148.911110,0.13448,0.05380
627,24.671678,9.870587,148.921080,0.13448,0.05380
628,24.676059,9.871531,148.935800,0.13449,0.05380
629,24.669153,9.870716,148.900490,0.13448,0.05381
630,24.687686,9.877218,149.022900,0.13447,0.05380
631,24.683439,9.874064,148.990900,0.13448,0.05380
632,24.674995,9.870440,148.934640,0.13448,0.05380
633,24.678943,9.874091,148.967590,0.13448,0.05380
634,24.663534,9.868084,148.864330,0.13448,0.05381
635,24.674335,9.871389,148.928770,0.13448,0.05380
636,24.672754,9.871233,148.923380,0.13448,0.05380
637,24.675622,9.870304,148.945780,0.13448,0.05379
638,24.670154,9.869677,148.911270,0.13448,0.05380
639,24.685031,9.874441,148.991590,0.13449,0.05380
640,24.678297,9.871073,148.949030,0.13449,0.05379
641,24.673629,9.869038,148.923950,0.13449,0.05379
642,24.684446,9.873613,148.984310,0.13449,0.05379
643,24.667844,9.867518,148.894950,0.13448,0.05379
644,24.673267,9.868583,148.912120,0.13449,0.05379
645,24.671947,9.870670,148.911420,0.13449,0.05380
646,24.677354,9.871978,148.964900,0.13447,0.05379
647,24.676103,9.872129,148.948540,0.13448,0.05380
648,24.687685,9.874625,149.014570,0.13448,0.05379
649,24.668533,9.869290,148.893610,0.13448,0.05380
650,24.675910,9.871965,148.930810,0.13449,0.05380
651,24.661689,9.863430,148.848580,0.13449,0.05379
652,24.671522,9.868329,148.905760,0.13449,0.05379
653,24.667078,9.867512,148.880270,0.13449,0.05380
654,24.669746,9.866281,148.884230,0.13450,0.05379
655,24.665140,9.867531,148.872950,0.13448,0.05380
656,24.663774,9.867782,148.868680,0.13448,0.05380
657,24.663799,9.867310,148.866860,0.13448,0.05380
658,24.660974,9.868891,148.849020,0.13448,0.05382
659,24.669036,9.868260,148.891230,0.13449,0.05380
660,24.659376,9.866418,148.829810,0.13449,0.05381
661,24.657514,9.864918,148.841640,0.13447,0.05380
662,24.665969,9.867022,148.884240,0.13448,0.05380
663,24.658090,9.865151,148.845940,0.13447,0.05380
664,24.667621,9.866998,148.894570,0.13448,0.05379
665,24.662752,9.867645,148.854620,0.13449,0.05381
666,24.676235,9.871513,148.931380,0.13449,0.05380
667,24.671054,9.872035,148.906440,0.13448,0.05381
668,24.671463,9.871706,148.916650,0.13448,0.05381
669,24.666269,9.868227,148.886260,0.13448,0.05380
