n,X,Y,Lv,x,y
1001,208.964930,300.647240,398.930540,0.23000,0.33091
1002,208.963890,300.645380,398.931700,0.23000,0.33091
1003,208.971200,300.642970,398.929560,0.23001,0.33091
1004,208.982310,300.665400,398.961700,0.23000,0.33091
1005,208.981170,300.662930,398.958000,0.23000,0.33091
1006,208.980280,300.661460,398.947260,0.23001,0.33091
1007,208.983410,300.658530,398.947440,0.23001,0.33091
1008,208.973050,300.654230,398.936790,0.23000,0.33091
1009,208.978510,300.660910,398.953060,0.23000,0.33091
1010,208.972350,300.659720,398.948420,0.23000,0.33091
1011,209.107490,300.921990,398.958090,0.23004,0.33105
1012,209.287550,301.228940,398.980040,0.23011,0.33120
1013,209.285440,301.229940,398.982110,0.23011,0.33120
1014,209.281630,301.226470,398.986960,0.23011,0.33120
1015,209.294150,301.233520,398.986600,0.23012,0.33120
1016,209.291540,301.240020,398.995750,0.23011,0.33121
1017,209.288490,301.236110,398.996790,0.23011,0.33120
1018,209.284240,301.222440,398.975890,0.23011,0.33120
1019,209.289440,301.233090,398.992270,0.23011,0.33120
1020,209.278120,301.223080,398.979640,0.23011,0.33120
1021,209.272590,301.214320,398.958000,0.23011,0.33121
1022,209.283920,301.238030,398.986900,0.23011,0.33121
1023,209.286430,301.215970,398.968710,0.23012,0.33120
1024,209.284360,301.219420,398.980130,0.23011,0.33120
1025,209.284620,301.231070,398.976500,0.23011,0.33121
1026,209.289150,301.226070,398.979940,0.23012,0.33120
1027,209.293070,301.235470,399.002340,0.23011,0.33120
1028,209.283400,301.225860,398.985070,0.23011,0.33120
1029,209.284720,301.229610,398.985380,0.23011,0.33120
1030,209.284310,301.224700,398.977600,0.23011,0.33120
1031,209.268780,301.220090,398.969870,0.23010,0.33121
1032,209.284070,301.226950,398.985650,0.23011,0.33120
1033,209.289960,301.229460,398.979120,0.23012,0.33120
1034,209.287170,301.223510,398.989310,0.23011,0.33120
1035,209.287300,301.233700,398.996360,0.23011,0.33120
1036,209.296340,301.240630,398.998740,0.23011,0.33120
1037,209.290490,301.242820,399.009300,0.23011,0.33120
1038,209.295660,301.243710,399.008510,0.23011,0.33120
1039,209.295310,301.233300,398.990230,0.23012,0.33120
1040,209.286920,301.230830,398.987180,0.23011,0.33120
1041,209.284980,301.223540,398.983000,0.23011,0.33120
1042,209.287910,301.229730,398.994410,0.23011,0.33120
1043,209.285090,301.229980,398.996790,0.23011,0.33120
1044,209.295590,301.237300,399.008110,0.23011,0.33120
1045,209.294000,301.233360,399.000790,0.23011,0.33120
1046,209.283460,301.231650,398.988000,0.23011,0.33120
1047,209.284630,301.228510,399.009730,0.23010,0.33119
1048,209.284500,301.224540,398.994470,0.23011,0.33120
1049,209.282650,301.231170,398.999780,0.23010,0.33120
1050,209.284740,301.223750,398.990660,0.23011,0.33120
1051,209.281690,301.216460,398.977930,0.23011,0.33120
1052,209.287390,301.218290,398.988250,0.23011,0.33119
1053,209.278450,301.223870,398.982050,0.23011,0.33120
1054,209.280040,301.221550,398.978820,0.23011,0.33120
1055,209.275870,301.217310,398.970390,0.23011,0.33120
