n,X,Y,Lv,x,y
1001,164.711500,217.807570,286.821620,0.24608,0.32541
1002,164.726100,217.821220,286.844690,0.24608,0.32540
1003,164.726050,217.820090,286.850090,0.24608,0.32540
1004,164.724920,217.823830,286.836970,0.24608,0.32541
1005,164.735700,217.833080,286.867610,0.24608,0.32540
1006,164.738180,217.831140,286.864040,0.24609,0.32540
1007,164.740780,217.842600,286.881830,0.24608,0.32540
1008,164.739710,217.837340,286.874420,0.24608,0.32540
1009,164.720010,217.814780,286.854240,0.24608,0.32539
1010,164.740890,217.840710,286.873740,0.24608,0.32540
1011,164.730140,217.828870,286.860500,0.24608,0.32540
1012,164.721090,217.815490,286.850030,0.24608,0.32540
1013,164.725890,217.813350,286.858120,0.24608,0.32539
1014,164.725870,217.816550,286.854760,0.24608,0.32539
1015,164.716380,217.808090,286.846640,0.24608,0.32539
1016,164.722030,217.810600,286.849150,0.24608,0.32539
1017,164.728170,217.816490,286.847960,0.24609,0.32539
1018,164.731000,217.823240,286.866880,0.24608,0.32539
1019,164.717250,217.810860,286.842340,0.24608,0.32540
1020,164.721140,217.811370,286.850670,0.24608,0.32539
1021,164.728910,217.825180,286.865870,0.24608,0.32539
1022,164.714630,217.811340,286.846950,0.24607,0.32540
1023,164.717130,217.807110,286.844020,0.24608,0.32539
1024,164.704940,217.804190,286.841240,0.24607,0.32540
1025,164.710230,217.803660,286.830960,0.24608,0.32540
1026,164.706320,217.793960,286.821070,0.24608,0.32540
1027,164.712500,217.806650,286.840850,0.24607,0.32540
1028,164.723170,217.811120,286.840050,0.24609,0.32540
1029,164.725150,217.816040,286.857290,0.24608,0.32539
1030,164.721920,217.806830,286.847620,0.24608,0.32539
1031,164.713950,217.800780,286.841180,0.24608,0.32539
1032,164.710020,217.802350,286.834010,0.24608,0.32540
1033,164.713300,217.796050,286.826870,0.24608,0.32539
1034,164.724130,217.811290,286.845480,0.24608,0.32539
1035,164.735830,217.825750,286.863400,0.24609,0.32539
1036,164.719950,217.813640,286.846920,0.24608,0.32540
1037,164.713920,217.810790,286.846370,0.24607,0.32540
1038,164.730490,217.822870,286.865780,0.24608,0.32539
1039,164.709500,217.800870,286.837980,0.24607,0.32539
1040,164.729440,217.812190,286.865660,0.24608,0.32538
1041,164.713590,217.796460,286.832330,0.24608,0.32539
1042,164.714050,217.792090,286.827300,0.24609,0.32539
1043,164.703380,217.784020,286.816310,0.24608,0.32539
1044,164.717740,217.809570,286.848630,0.24608,0.32539
1045,164.712340,217.803220,286.828730,0.24608,0.32540
1046,164.713530,217.799490,286.834220,0.24608,0.32539
1047,164.714440,217.803600,286.841060,0.24608,0.32539
1048,164.709380,217.795070,286.840360,0.24608,0.32539
1049,164.709940,217.789910,286.824520,0.24608,0.32539
1050,164.706830,217.792610,286.823600,0.24608,0.32539
1051,164.712530,217.802650,286.827050,0.24608,0.32540
1052,164.719450,217.810450,286.850090,0.24608,0.32539
1053,164.708250,217.798610,286.829010,0.24608,0.32540
1054,164.715650,217.803360,286.840480,0.24608,0.32539
1055,164.709380,217.789190,286.831450,0.24608,0.32538
1056,164.718750,217.807810,286.837640,0.24608,0.32540
1057,164.717980,217.808650,286.857330,0.24607,0.32539
1058,164.715680,217.813560,286.858610,0.24607,0.32539
1059,164.738200,217.831810,286.893920,0.24607,0.32538
1060,164.725350,217.822200,286.863460,0.24608,0.32539
1061,164.732600,217.826810,286.875300,0.24608,0.32539
1062,164.733100,217.833570,286.884240,0.24607,0.32539
1063,164.743220,217.834700,286.889190,0.24608,0.32539
1064,164.749860,217.844160,286.901910,0.24608,0.32539
1065,164.754540,217.851770,286.908410,0.24608,0.32539
1066,164.736000,217.832960,286.887260,0.24607,0.32539
1067,164.735870,217.838240,286.894160,0.24607,0.32539
1068,164.726980,217.815060,286.863400,0.24608,0.32539
1069,164.723030,217.808530,286.854030,0.24608,0.32539
1070,164.718170,217.801490,286.848570,0.24608,0.32538
1071,164.717590,217.808070,286.848600,0.24608,0.32539
1072,164.709470,217.803310,286.837520,0.24607,0.32540
1073,164.715660,217.808300,286.849180,0.24607,0.32539
1074,164.724500,217.812530,286.873380,0.24607,0.32538
1075,164.717340,217.808090,286.853330,0.24607,0.32539
1076,164.718010,217.807870,286.855560,0.24607,0.32539
1077,164.711240,217.798210,286.840080,0.24608,0.32539
1078,164.713910,217.804740,286.841640,0.24608,0.32539
1079,164.711470,217.803840,286.843500,0.24607,0.32539
1080,164.710610,217.808540,286.836730,0.24607,0.32540
1081,164.701640,217.792960,286.836540,0.24607,0.32539
1082,164.710960,217.798760,286.832420,0.24608,0.32539
1083,164.706680,217.790780,286.839930,0.24607,0.32538
1084,164.719200,217.803100,286.831900,0.24609,0.32539
1085,164.718100,217.804270,286.850670,0.24608,0.32539
1086,164.710540,217.793670,286.830130,0.24608,0.32539
1087,164.706370,217.786040,286.825220,0.24608,0.32539
1088,164.699530,217.783020,286.822320,0.24608,0.32539
1089,164.701960,217.792170,286.826380,0.24607,0.32539
1090,164.705730,217.793270,286.842890,0.24607,0.32538
1091,164.686840,217.778730,286.804190,0.24607,0.32540
1092,164.694150,217.776910,286.814780,0.24607,0.32539
1093,164.694970,217.780630,286.815420,0.24607,0.32539
1094,164.722000,217.806850,286.856170,0.24608,0.32538
1095,164.707350,217.794690,286.835290,0.24608,0.32539
1096,164.710370,217.805380,286.847380,0.24607,0.32539
1097,164.712440,217.806470,286.845760,0.24607,0.32539
1098,164.709280,217.801100,286.841580,0.24607,0.32539
1099,164.707670,217.799950,286.832700,0.24607,0.32539
1100,164.707940,217.789440,286.834410,0.24608,0.32538
1101,164.723840,217.812480,286.855590,0.24608,0.32539
1102,164.711970,217.808010,286.857600,0.24607,0.32539
1103,164.722510,217.815150,286.863090,0.24607,0.32539
1104,164.717480,217.808300,286.857510,0.24607,0.32539
1105,164.719750,217.819740,286.873130,0.24607,0.32539
1106,164.711830,217.794230,286.836630,0.24608,0.32539
1107,164.710320,217.798240,286.845300,0.24607,0.32539
1108,164.716520,217.808280,286.851010,0.24607,0.32539
1109,164.714380,217.811350,286.852050,0.24607,0.32539
1110,164.718700,217.811980,286.852350,0.24608,0.32539
1111,164.719720,217.810300,286.853910,0.24608,0.32539
1112,164.721860,217.814590,286.859830,0.24608,0.32539
1113,164.725210,217.824890,286.873350,0.24607,0.32539
1114,164.717260,217.819770,286.863860,0.24607,0.32540
1115,164.714870,217.805130,286.847680,0.24608,0.32539
1116,164.716330,217.809200,286.849940,0.24607,0.32539
1117,164.719000,217.810500,286.856140,0.24607,0.32539
1118,164.709320,217.792090,286.849180,0.24607,0.32538
1119,164.706690,217.800380,286.841610,0.24607,0.32539
1120,164.720120,217.811810,286.863980,0.24607,0.32539
1121,164.722120,217.815180,286.866020,0.24607,0.32539
1122,164.722700,217.820050,286.871640,0.24607,0.32539
1123,164.718210,217.806740,286.853820,0.24608,0.32539
1124,164.720710,217.815550,286.869530,0.24607,0.32539
1125,164.721450,217.815360,286.866790,0.24607,0.32539
1126,164.718610,217.808650,286.864440,0.24607,0.32538
1127,164.698760,217.784750,286.826900,0.24607,0.32539
1128,164.706370,217.795700,286.844780,0.24607,0.32539
1129,164.719860,217.816720,286.865750,0.24607,0.32539
1130,164.709280,217.803920,286.852780,0.24607,0.32539
1131,164.712240,217.798810,286.857540,0.24607,0.32538
1132,164.721830,217.823270,286.869900,0.24607,0.32539
1133,164.729820,217.816770,286.886320,0.24607,0.32538
1134,164.721690,217.808600,286.865470,0.24608,0.32538
1135,164.720350,217.810890,286.877410,0.24607,0.32538
1136,164.728130,217.822180,286.878140,0.24607,0.32539
1137,164.720580,217.808220,286.859830,0.24608,0.32538
1138,164.722540,217.818740,286.871240,0.24607,0.32539
1139,164.718120,217.808470,286.860620,0.24607,0.32538
1140,164.709850,217.802390,286.850000,0.24607,0.32539
1141,164.716960,217.810510,286.855800,0.24607,0.32539
1142,164.717110,217.815840,286.866140,0.24607,0.32539
1143,164.723430,217.816460,286.871520,0.24607,0.32539
1144,164.717370,217.811320,286.864340,0.24607,0.32539
1145,164.714350,217.815460,286.850150,0.24607,0.32540
1146,164.712030,217.799770,286.860650,0.24607,0.32538
1147,164.709940,217.795790,286.835440,0.24608,0.32539
1148,164.707160,217.796990,286.848960,0.24607,0.32538
1149,164.722940,217.812340,286.873560,0.24607,0.32538
1150,164.716210,217.810920,286.859430,0.24607,0.32539
1151,164.706780,217.799850,286.850890,0.24607,0.32539
1152,164.724090,217.816840,286.874050,0.24607,0.32538
1153,164.726040,217.825270,286.876060,0.24607,0.32539
1154,164.712660,217.806320,286.857910,0.24607,0.32539
1155,164.727270,217.815290,286.884520,0.24607,0.32538
1156,164.721450,217.814020,286.868190,0.24607,0.32539
1157,164.718790,217.806590,286.864920,0.24607,0.32538
1158,164.724560,217.813820,286.881040,0.24607,0.32538
1159,164.727230,217.823360,286.879850,0.24607,0.32539
1160,164.718490,217.813910,286.869530,0.24607,0.32539
1161,164.720010,217.812910,286.857260,0.24607,0.32539
1162,164.718360,217.802450,286.861540,0.24608,0.32538
1163,164.722320,217.820990,286.874900,0.24607,0.32539
1164,164.718700,217.806740,286.857660,0.24608,0.32538
1165,164.720130,217.815200,286.858060,0.24607,0.32539
1166,164.728190,217.826150,286.882620,0.24607,0.32539
1167,164.716700,217.809640,286.863030,0.24607,0.32539
1168,164.711730,217.805250,286.865320,0.24607,0.32538
1169,164.719160,217.818800,286.867240,0.24607,0.32539
1170,164.728540,217.823510,286.887260,0.24607,0.32538
1171,164.720350,217.814050,286.872740,0.24607,0.32538
1172,164.724530,217.817390,286.880210,0.24607,0.32538
1173,164.720420,217.815240,286.878230,0.24607,0.32538
1174,164.721080,217.809570,286.872950,0.24607,0.32538
1175,164.718880,217.818050,286.876190,0.24606,0.32539
1176,164.731960,217.824230,286.888880,0.24607,0.32538
1177,164.726050,217.821100,286.879050,0.24607,0.32538
1178,164.729320,217.822170,286.879020,0.24607,0.32538
1179,164.740750,217.841170,286.903620,0.24607,0.32539
1180,164.738550,217.841580,286.898550,0.24607,0.32539
1181,164.726710,217.828520,286.905480,0.24606,0.32538
1182,164.734200,217.832820,286.894560,0.24607,0.32539
1183,164.745460,217.848250,286.919030,0.24607,0.32538
1184,164.734970,217.835280,286.899320,0.24607,0.32538
1185,164.726800,217.834500,286.890740,0.24606,0.32539
1186,164.728660,217.821250,286.879360,0.24607,0.32538
1187,164.724360,217.820980,286.875970,0.24607,0.32539
1188,164.737010,217.833550,286.906150,0.24607,0.32538
1189,164.719810,217.809960,286.877710,0.24607,0.32538
1190,164.717200,217.804580,286.869810,0.24607,0.32538
1191,164.718650,217.811320,286.872520,0.24607,0.32538
1192,164.725790,217.826810,286.895990,0.24606,0.32538
1193,164.730880,217.828360,286.887930,0.24607,0.32539
1194,164.727810,217.831840,286.895500,0.24606,0.32539
1195,164.731460,217.821970,286.889740,0.24607,0.32538
1196,164.718970,217.811670,286.874170,0.24607,0.32538
1197,164.720840,217.821800,286.881680,0.24606,0.32539
1198,164.718820,217.806240,286.878350,0.24607,0.32537
1199,164.717170,217.820950,286.885890,0.24606,0.32539
1200,164.721490,217.812560,286.865050,0.24607,0.32539
1201,164.710670,217.803190,286.868040,0.24606,0.32538
1202,164.721640,217.820430,286.872370,0.24607,0.32539
1203,164.728860,217.826400,286.901360,0.24606,0.32538
