n,X,Y,Lv,x,y
1001,53.051231,91.121513,144.061490,0.18406,0.31614
1002,53.057113,91.128089,144.092130,0.18405,0.31611
1003,53.029350,91.064086,144.055280,0.18403,0.31603
1004,53.042304,91.083694,144.096580,0.18403,0.31602
1005,53.021003,91.033859,144.058510,0.18403,0.31597
1006,53.037921,91.070709,144.121560,0.18401,0.31597
1007,53.003738,90.990776,144.051400,0.18401,0.31589
1008,53.006706,90.988990,144.064520,0.18401,0.31587
1009,52.991516,90.951248,144.047080,0.18400,0.31581
1010,52.986671,90.938476,144.047050,0.18400,0.31579
1011,52.961479,90.884994,144.014190,0.18398,0.31573
1012,52.944995,90.848411,143.987860,0.18398,0.31569
1013,52.955074,90.863662,144.021890,0.18397,0.31567
1014,52.935104,90.810173,144.001630,0.18396,0.31559
1015,52.942222,90.820922,144.020840,0.18397,0.31559
1016,52.939796,90.809822,144.028240,0.18396,0.31556
1017,52.944904,90.815933,144.056820,0.18395,0.31553
1018,52.939624,90.800262,144.052580,0.18395,0.31551
1019,52.926837,90.774421,144.038840,0.18394,0.31547
1020,52.932052,90.778068,144.060240,0.18394,0.31545
1021,52.908119,90.735420,144.003930,0.18393,0.31544
1022,52.922557,90.761459,144.046610,0.18393,0.31544
1023,52.895885,90.707115,143.996850,0.18392,0.31539
1024,52.887218,90.689903,143.985610,0.18392,0.31537
1025,52.898658,90.703208,144.023160,0.18392,0.31535
1026,52.878768,90.661033,143.985830,0.18391,0.31531
1027,52.860286,90.624313,143.937130,0.18391,0.31530
1028,52.898315,90.690292,144.041450,0.18391,0.31530
1029,52.879508,90.649238,143.999960,0.18391,0.31527
1030,52.870590,90.628082,144.000800,0.18390,0.31523
1031,52.861423,90.606224,143.982050,0.18390,0.31521
1032,52.854812,90.598358,143.976250,0.18389,0.31520
1033,52.871589,90.620056,144.018210,0.18389,0.31519
1034,52.847930,90.573684,143.988870,0.18388,0.31514
1035,52.843658,90.559661,143.980110,0.18388,0.31512
1036,52.830040,90.530891,143.948470,0.18388,0.31510
1037,52.836601,90.540046,143.984110,0.18387,0.31507
1038,52.818515,90.509849,143.932150,0.18387,0.31508
1039,52.818096,90.516250,143.930340,0.18387,0.31510
1040,52.841888,90.545249,143.993560,0.18387,0.31507
1041,52.814773,90.502258,143.929840,0.18387,0.31507
1042,52.800685,90.470054,143.900510,0.18386,0.31504
1043,52.819797,90.502235,143.956720,0.18386,0.31503
1044,52.836952,90.532325,144.004770,0.18386,0.31503
1045,52.812770,90.486244,143.946360,0.18386,0.31501
1046,52.804515,90.463890,143.943770,0.18385,0.31497
1047,52.791420,90.440757,143.897650,0.18386,0.31498
1048,52.794090,90.445755,143.915630,0.18385,0.31497
1049,52.811958,90.479858,143.954510,0.18386,0.31499
1050,52.812477,90.486381,143.956480,0.18385,0.31500
1051,52.790432,90.444404,143.921270,0.18384,0.31497
1052,52.824611,90.503120,144.006750,0.18384,0.31497
1053,52.825180,90.495956,144.008920,0.18385,0.31495
1054,52.833950,90.505455,144.038520,0.18385,0.31494
1055,52.795867,90.442260,143.939300,0.18384,0.31494
1056,52.803813,90.453269,143.962750,0.18384,0.31493
1057,52.788578,90.421913,143.924770,0.18385,0.31491
1058,52.792575,90.432708,143.942300,0.18384,0.31491
1059,52.801834,90.446052,143.969430,0.18384,0.31490
1060,52.795127,90.426071,143.960430,0.18384,0.31487
1061,52.815925,90.466407,144.010510,0.18384,0.31489
1062,52.795543,90.438171,143.961620,0.18383,0.31490
1063,52.795051,90.425003,143.962700,0.18384,0.31487
1064,52.787387,90.409484,143.955680,0.18383,0.31485
1065,52.798152,90.429565,143.984750,0.18383,0.31485
1066,52.809616,90.452171,144.007580,0.18383,0.31487
1067,52.798316,90.433692,143.974500,0.18383,0.31487
1068,52.801757,90.432487,143.999280,0.18383,0.31484
1069,52.810249,90.457023,144.024620,0.18382,0.31486
1070,52.823108,90.474899,144.051810,0.18383,0.31486
1071,52.784370,90.403495,143.965570,0.18382,0.31483
1072,52.795925,90.411720,144.012260,0.18382,0.31478
1073,52.798400,90.416008,144.013870,0.18382,0.31479
1074,52.815422,90.457084,144.051050,0.18382,0.31483
1075,52.808147,90.430381,144.047130,0.18382,0.31478
1076,52.812461,90.437934,144.059460,0.18382,0.31477
1077,52.791210,90.396827,144.010780,0.18381,0.31475
1078,52.777565,90.380683,143.979590,0.18381,0.31476
1079,52.797645,90.407905,144.025110,0.18382,0.31476
1080,52.778152,90.366546,143.976940,0.18382,0.31473
1081,52.767963,90.357116,143.959380,0.18381,0.31474
1082,52.768409,90.362937,143.942730,0.18381,0.31477
1083,52.814369,90.435722,144.058420,0.18382,0.31477
1084,52.780700,90.373397,143.985670,0.18382,0.31474
1085,52.778888,90.382156,143.980330,0.18381,0.31477
1086,52.775020,90.382873,143.965800,0.18381,0.31479
1087,52.771846,90.369697,143.947580,0.18382,0.31478
1088,52.756504,90.339477,143.915060,0.18381,0.31476
1089,52.793083,90.405334,144.004660,0.18382,0.31478
1090,52.789295,90.399574,143.988750,0.18382,0.31479
1091,52.761081,90.335960,143.932950,0.18382,0.31473
1092,52.782878,90.383430,144.007080,0.18380,0.31473
1093,52.792598,90.388336,144.022070,0.18382,0.31472
1094,52.776672,90.372146,143.983560,0.18381,0.31474
1095,52.797596,90.408416,144.018020,0.18382,0.31477
1096,52.810398,90.425697,144.064250,0.18382,0.31474
1097,52.754451,90.327880,143.925730,0.18381,0.31472
1098,52.786392,90.385139,144.004270,0.18381,0.31474
1099,52.758400,90.332641,143.943420,0.18381,0.31471
1100,52.771514,90.363685,143.979230,0.18380,0.31473
1101,52.771369,90.362129,143.973440,0.18380,0.31473
1102,52.767292,90.351470,143.963150,0.18381,0.31472
1103,52.745964,90.301414,143.915460,0.18381,0.31468
1104,52.769023,90.353668,143.973190,0.18380,0.31472
1105,52.773792,90.356842,143.990820,0.18380,0.31470
1106,52.770919,90.340759,143.989210,0.18381,0.31467
1107,52.767963,90.338531,143.992170,0.18380,0.31466
1108,52.763210,90.324813,143.986700,0.18380,0.31464
1109,52.738151,90.284019,143.922860,0.18379,0.31464
1110,52.780860,90.353485,144.035070,0.18380,0.31463
1111,52.777065,90.351966,144.023190,0.18379,0.31465
1112,52.777225,90.358284,144.034280,0.18378,0.31465
1113,52.763511,90.335266,143.985210,0.18379,0.31466
1114,52.765995,90.332771,143.996670,0.18379,0.31464
1115,52.756530,90.320381,143.980100,0.18378,0.31464
1116,52.745330,90.298828,143.949670,0.18379,0.31464
1117,52.763790,90.318855,143.999810,0.18379,0.31461
1118,52.761379,90.328720,143.989990,0.18379,0.31465
1119,52.728481,90.265869,143.907970,0.18379,0.31462
1120,52.765914,90.339088,143.994880,0.18379,0.31466
1121,52.750518,90.302032,143.961620,0.18379,0.31463
1122,52.756347,90.321746,143.970060,0.18379,0.31466
1123,52.730190,90.271583,143.905860,0.18379,0.31464
