n,X,Y,Lv,x,y
1501,146.486950,269.446190,61.637393,0.30673,0.56420
1502,146.474530,269.440580,61.627052,0.30673,0.56422
1503,146.489680,269.461510,61.639255,0.30673,0.56421
1504,146.475050,269.442470,61.624008,0.30673,0.56423
1505,146.473310,269.445490,61.621948,0.30672,0.56424
1506,146.469690,269.436920,61.615196,0.30673,0.56424
1507,146.475780,269.443930,61.618953,0.30673,0.56423
1508,146.487860,269.451750,61.625183,0.30674,0.56422
1509,146.481230,269.448150,61.621360,0.30673,0.56423
1510,146.489760,269.458490,61.619712,0.30674,0.56423
1511,146.464960,269.438900,61.618240,0.30672,0.56424
1512,146.484230,269.444150,61.620651,0.30674,0.56422
1513,146.471280,269.444790,61.619232,0.30672,0.56424
1514,146.465720,269.425170,61.612010,0.30673,0.56424
1515,146.486750,269.449120,61.620033,0.30674,0.56423
1516,146.474940,269.443170,61.618038,0.30673,0.56424
1517,146.483500,269.449370,61.617904,0.30674,0.56423
1518,146.472570,269.434960,61.606910,0.30674,0.56424
1519,146.462470,269.417900,61.601848,0.30674,0.56425
1520,146.472210,269.424590,61.604072,0.30675,0.56424
1521,146.456190,269.413080,61.597793,0.30674,0.56425
1522,146.457270,269.410820,61.596439,0.30674,0.56425
1523,146.461790,269.419760,61.600997,0.30674,0.56425
1524,146.458460,269.415490,61.594375,0.30674,0.56426
1525,146.464870,269.427000,61.593891,0.30674,0.56426
1526,146.455290,269.417050,61.596290,0.30673,0.56426
1527,146.470470,269.424890,61.603561,0.30675,0.56424
1528,146.477870,269.439720,61.605705,0.30674,0.56424
1529,146.472480,269.433990,61.600887,0.30674,0.56425
1530,146.473150,269.429320,61.606735,0.30674,0.56424
1531,146.473630,269.428490,61.597251,0.30675,0.56425
1532,146.473200,269.438690,61.607749,0.30674,0.56425
1533,146.470180,269.433500,61.607090,0.30674,0.56425
1534,146.470330,269.434630,61.604755,0.30674,0.56425
1535,146.476570,269.441830,61.611240,0.30674,0.56424
1536,146.472710,269.422540,61.608371,0.30675,0.56423
1537,146.461500,269.428220,61.600708,0.30673,0.56426
1538,146.473890,269.433740,61.599227,0.30675,0.56425
1539,146.463020,269.428550,61.600868,0.30673,0.56426
1540,146.474250,269.438260,61.606983,0.30674,0.56425
1541,146.461500,269.428770,61.599624,0.30673,0.56426
1542,146.465390,269.424710,61.596363,0.30674,0.56426
1543,146.472440,269.426260,61.597568,0.30675,0.56425
1544,146.475030,269.430380,61.608016,0.30675,0.56424
1545,146.472420,269.424590,61.601524,0.30675,0.56424
1546,146.471250,269.435880,61.601875,0.30674,0.56425
1547,146.480370,269.443420,61.609596,0.30674,0.56424
1548,146.478570,269.439510,61.606788,0.30675,0.56424
1549,146.464180,269.424400,61.596008,0.30674,0.56426
1550,146.472190,269.443350,61.600624,0.30674,0.56426
1551,146.478370,269.438380,61.608570,0.30674,0.56424
1552,146.479350,269.432920,61.605297,0.30675,0.56424
1553,146.477320,269.432030,61.602039,0.30675,0.56424
1554,146.468440,269.426600,61.601100,0.30674,0.56425
1555,146.468900,269.438810,61.606723,0.30673,0.56425
1556,146.472360,269.433620,61.596702,0.30675,0.56426
1557,146.474160,269.431880,61.607345,0.30674,0.56424
1558,146.468750,269.417510,61.598281,0.30675,0.56424
1559,146.480340,269.436120,61.607925,0.30675,0.56424
1560,146.479030,269.426140,61.593467,0.30676,0.56424
1561,146.467300,269.426200,61.594196,0.30675,0.56426
1562,146.479550,269.438900,61.596378,0.30675,0.56425
1563,146.467710,269.420370,61.594921,0.30675,0.56425
1564,146.467780,269.427090,61.596210,0.30674,0.56426
1565,146.463100,269.415950,61.595222,0.30675,0.56425
1566,146.466200,269.429220,61.596481,0.30674,0.56426
1567,146.467160,269.424920,61.591980,0.30675,0.56426
1568,146.463690,269.412930,61.592033,0.30675,0.56425
1569,146.468580,269.431790,61.597614,0.30674,0.56426
1570,146.471510,269.428370,61.599643,0.30675,0.56425
1571,146.460170,269.407560,61.587936,0.30675,0.56426
1572,146.466670,269.413020,61.586544,0.30676,0.56426
1573,146.449200,269.405670,61.581680,0.30674,0.56428
1574,146.459320,269.419760,61.589214,0.30674,0.56427
1575,146.469750,269.428370,61.589492,0.30675,0.56426
1576,146.464230,269.419280,61.582939,0.30675,0.56427
1577,146.463010,269.418540,61.585849,0.30675,0.56427
1578,146.454310,269.410490,61.583564,0.30674,0.56427
1579,146.460090,269.415610,61.585445,0.30675,0.56427
1580,146.463450,269.419670,61.590423,0.30675,0.56426
1581,146.459740,269.420470,61.579959,0.30675,0.56428
1582,146.460810,269.427790,61.584152,0.30674,0.56428
1583,146.464750,269.421900,61.579925,0.30675,0.56427
1584,146.464380,269.418760,61.584560,0.30675,0.56427
1585,146.455440,269.409300,61.576969,0.30675,0.56428
1586,146.457290,269.404930,61.585350,0.30675,0.56426
1587,146.464470,269.424710,61.584735,0.30675,0.56427
1588,146.461740,269.406550,61.587692,0.30675,0.56425
1589,146.467100,269.412810,61.581802,0.30676,0.56426
1590,146.462200,269.427610,61.583217,0.30674,0.56428
1591,146.469610,269.417810,61.581359,0.30676,0.56426
1592,146.459790,269.417290,61.580402,0.30675,0.56427
1593,146.471870,269.416650,61.579475,0.30677,0.56426
1594,146.460410,269.420680,61.582672,0.30675,0.56427
1595,146.457360,269.403990,61.579689,0.30675,0.56427
1596,146.455780,269.409080,61.578224,0.30675,0.56427
1597,146.468470,269.422940,61.586074,0.30675,0.56426
1598,146.456890,269.411370,61.583362,0.30675,0.56427
1599,146.459540,269.410910,61.579315,0.30675,0.56427
1600,146.464820,269.415670,61.580459,0.30676,0.56427
1601,146.457710,269.414550,61.583263,0.30675,0.56427
1602,146.466880,269.419790,61.592739,0.30675,0.56425
1603,146.457440,269.416160,61.575321,0.30675,0.56428
1604,146.459760,269.418210,61.581344,0.30675,0.56427
1605,146.469280,269.424860,61.587402,0.30675,0.56426
1606,146.460570,269.422180,61.582176,0.30675,0.56428
1607,146.470260,269.423270,61.579338,0.30676,0.56427
1608,146.461500,269.411010,61.573463,0.30676,0.56428
1609,146.448850,269.400970,61.572444,0.30675,0.56428
1610,146.463190,269.410640,61.577064,0.30676,0.56427
1611,146.457640,269.408900,61.582366,0.30675,0.56427
1612,146.466980,269.422970,61.582103,0.30676,0.56427
1613,146.460730,269.412560,61.577705,0.30676,0.56427
1614,146.465080,269.410400,61.579761,0.30676,0.56426
1615,146.463820,269.414520,61.578811,0.30676,0.56427
1616,146.459130,269.402830,61.576896,0.30676,0.56427
1617,146.454580,269.405390,61.580684,0.30675,0.56427
1618,146.468940,269.415250,61.582748,0.30676,0.56426
1619,146.470130,269.414270,61.585254,0.30676,0.56425
1620,146.469320,269.423490,61.585166,0.30676,0.56426
1621,146.462240,269.410490,61.584350,0.30675,0.56426
1622,146.463760,269.406490,61.578025,0.30676,0.56426
1623,146.472320,269.408750,61.581420,0.30677,0.56425
1624,146.467230,269.413390,61.582721,0.30676,0.56426
1625,146.470790,269.417440,61.583881,0.30676,0.56426
1626,146.473640,269.419250,61.589347,0.30676,0.56425
1627,146.470040,269.420470,61.586528,0.30676,0.56426
1628,146.473280,269.424920,61.587158,0.30676,0.56426
1629,146.469290,269.422790,61.588607,0.30675,0.56426
1630,146.470740,269.418790,61.586284,0.30676,0.56426
1631,146.467890,269.419550,61.579261,0.30676,0.56427
1632,146.477920,269.423850,61.589054,0.30677,0.56425
1633,146.467300,269.407740,61.583099,0.30676,0.56425
1634,146.468850,269.408080,61.584720,0.30677,0.56425
1635,146.478710,269.418600,61.585613,0.30677,0.56425
1636,146.470670,269.415000,61.583808,0.30676,0.56426
1637,146.471380,269.423640,61.586601,0.30676,0.56426
1638,146.462470,269.414970,61.572292,0.30676,0.56428
1639,146.462110,269.410490,61.581993,0.30676,0.56426
1640,146.467070,269.418240,61.578506,0.30676,0.56427
1641,146.455470,269.398550,61.571193,0.30676,0.56427
1642,146.454660,269.401420,61.578376,0.30675,0.56427
1643,146.458920,269.399070,61.571876,0.30677,0.56427
1644,146.459790,269.411620,61.572593,0.30676,0.56428
1645,146.459070,269.404350,61.580585,0.30676,0.56426
1646,146.455040,269.402340,61.572944,0.30676,0.56428
1647,146.458840,269.402460,61.573799,0.30676,0.56427
1648,146.470300,269.418180,61.581359,0.30676,0.56426
1649,146.469800,269.407070,61.577583,0.30677,0.56426
1650,146.474510,269.410060,61.586154,0.30677,0.56424
1651,146.471310,269.416130,61.585830,0.30676,0.56425
1652,146.466670,269.406790,61.578537,0.30677,0.56426
1653,146.463190,269.407500,61.581703,0.30676,0.56426
1654,146.472350,269.423950,61.578224,0.30676,0.56427
1655,146.470130,269.420620,61.577800,0.30676,0.56427
1656,146.476180,269.427610,61.571548,0.30677,0.56428
1657,146.472740,269.428490,61.583084,0.30676,0.56427
1658,146.474020,269.414880,61.576660,0.30677,0.56426
1659,146.477440,269.423700,61.585235,0.30677,0.56425
1660,146.470850,269.416320,61.579479,0.30677,0.56426
1661,146.466350,269.413810,61.584022,0.30676,0.56426
1662,146.468870,269.413330,61.576881,0.30677,0.56426
1663,146.466320,269.420710,61.578224,0.30676,0.56427
1664,146.474410,269.419060,61.585330,0.30677,0.56425
1665,146.472570,269.414940,61.582511,0.30677,0.56426
1666,146.469650,269.413330,61.583412,0.30676,0.56426
1667,146.462120,269.408050,61.582641,0.30676,0.56426
1668,146.469360,269.412200,61.579925,0.30677,0.56426
1669,146.477580,269.419150,61.578002,0.30678,0.56426
1670,146.459930,269.403130,61.569255,0.30677,0.56428
1671,146.467660,269.408840,61.581314,0.30677,0.56426
1672,146.468460,269.411130,61.583908,0.30676,0.56425
1673,146.467250,269.410360,61.583904,0.30676,0.56426
1674,146.464120,269.403650,61.578483,0.30677,0.56426
1675,146.465040,269.405180,61.572692,0.30677,0.56427
1676,146.464580,269.410940,61.575595,0.30676,0.56427
1677,146.468150,269.410700,61.581363,0.30677,0.56426
1678,146.464870,269.404720,61.571590,0.30677,0.56427
1679,146.469220,269.411100,61.578262,0.30677,0.56426
1680,146.464690,269.420710,61.570976,0.30676,0.56428
1681,146.463390,269.412500,61.572933,0.30676,0.56428
1682,146.462140,269.416070,61.572689,0.30676,0.56428
1683,146.466320,269.410210,61.574829,0.30677,0.56427
1684,146.465830,269.412040,61.570884,0.30677,0.56427
1685,146.455870,269.394740,61.569801,0.30676,0.56427
1686,146.465280,269.399680,61.573253,0.30677,0.56426
1687,146.463190,269.402130,61.570087,0.30677,0.56427
1688,146.463560,269.400810,61.571136,0.30677,0.56427
1689,146.448860,269.393430,61.564414,0.30676,0.56428
1690,146.459420,269.402060,61.568321,0.30677,0.56428
1691,146.457330,269.392120,61.565334,0.30677,0.56427
1692,146.449890,269.396050,61.563377,0.30676,0.56429
1693,146.458200,269.400200,61.571559,0.30676,0.56427
1694,146.460840,269.402770,61.564872,0.30677,0.56428
1695,146.466580,269.405630,61.571411,0.30677,0.56427
1696,146.473570,269.413630,61.573902,0.30678,0.56426
1697,146.470440,269.413690,61.573223,0.30677,0.56427
1698,146.474150,269.414300,61.581188,0.30677,0.56425
1699,146.462570,269.399710,61.568206,0.30677,0.56427
1700,146.469690,269.406920,61.570129,0.30678,0.56427
1701,146.471430,269.414360,61.576683,0.30677,0.56426
1702,146.467110,269.415800,61.577343,0.30676,0.56427
1703,146.472850,269.430570,61.586421,0.30676,0.56426
1704,146.464080,269.411740,61.573081,0.30676,0.56427
1705,146.456980,269.401880,61.570537,0.30676,0.56428
1706,146.468170,269.408660,61.582023,0.30677,0.56426
1707,146.469070,269.408810,61.578743,0.30677,0.56426
1708,146.467590,269.414300,61.580925,0.30676,0.56426
1709,146.451240,269.395110,61.564964,0.30676,0.56428
1710,146.460470,269.394340,61.575168,0.30677,0.56426
1711,146.464050,269.414940,61.572624,0.30676,0.56428
1712,146.466110,269.401550,61.574394,0.30677,0.56426
1713,146.450750,269.403930,61.568687,0.30675,0.56429
1714,146.459330,269.407710,61.570308,0.30676,0.56428
1715,146.465340,269.399100,61.567779,0.30678,0.56427
1716,146.463110,269.406860,61.572586,0.30677,0.56427
1717,146.456250,269.396270,61.565292,0.30677,0.56428
1718,146.459190,269.403350,61.570915,0.30676,0.56427
1719,146.451640,269.393000,61.564537,0.30676,0.56428
1720,146.455000,269.400260,61.564888,0.30676,0.56428
1721,146.459560,269.392240,61.566764,0.30677,0.56427
1722,146.448330,269.383140,61.562660,0.30677,0.56428
1723,146.453200,269.394430,61.561653,0.30677,0.56428
1724,146.450100,269.387570,61.568401,0.30676,0.56427
1725,146.454870,269.383940,61.562946,0.30677,0.56427
1726,146.453750,269.393310,61.561611,0.30677,0.56428
1727,146.452490,269.382230,61.560386,0.30677,0.56428
1728,146.461940,269.391440,61.570884,0.30678,0.56426
1729,146.455780,269.391960,61.565532,0.30677,0.56427
1730,146.458400,269.402830,61.566181,0.30677,0.56428
1731,146.460610,269.399040,61.572578,0.30677,0.56427
1732,146.451240,269.386770,61.558906,0.30677,0.56428
1733,146.453560,269.391840,61.562477,0.30677,0.56428
1734,146.459010,269.396600,61.565441,0.30677,0.56427
1735,146.455520,269.391410,61.559883,0.30677,0.56428
1736,146.456720,269.392510,61.558261,0.30678,0.56428
1737,146.458870,269.394680,61.563201,0.30677,0.56428
1738,146.454620,269.393280,61.559955,0.30677,0.56428
1739,146.448620,269.380850,61.552948,0.30677,0.56429
