n,X,Y,Lv,x,y
1501,106.384310,167.621640,34.325527,0.34503,0.54364
1502,106.396550,167.637310,34.328456,0.34504,0.54364
1503,106.395380,167.642410,34.327629,0.34503,0.54365
1504,106.384210,167.623500,34.328819,0.34503,0.54364
1505,106.396940,167.638880,34.319355,0.34505,0.54366
1506,106.376630,167.607360,34.322399,0.34504,0.54364
1507,106.381220,167.621470,34.315673,0.34504,0.54366
1508,106.366360,167.593040,34.310920,0.34504,0.54366
1509,106.365630,167.597240,34.313823,0.34503,0.54366
1510,106.374860,167.608290,34.318069,0.34504,0.54365
1511,106.354030,167.575450,34.313133,0.34503,0.54365
1512,106.361180,167.591300,34.313320,0.34503,0.54366
1513,106.361960,167.589170,34.310291,0.34504,0.54366
1514,106.357210,167.583800,34.309768,0.34503,0.54366
1515,106.364490,167.595060,34.314262,0.34503,0.54366
1516,106.350640,167.573010,34.312263,0.34503,0.54365
1517,106.360090,167.583990,34.310787,0.34504,0.54365
1518,106.352720,167.577540,34.303501,0.34504,0.54367
1519,106.355920,167.576470,34.311813,0.34504,0.54365
1520,106.355140,167.582930,34.308326,0.34503,0.54367
1521,106.351250,167.571250,34.310340,0.34504,0.54365
1522,106.356550,167.578680,34.309047,0.34504,0.54366
1523,106.354170,167.578210,34.309577,0.34503,0.54366
1524,106.352140,167.569440,34.310123,0.34504,0.54365
1525,106.349990,167.568230,34.304981,0.34504,0.54366
1526,106.349130,167.562240,34.307998,0.34504,0.54365
1527,106.347350,167.568870,34.305118,0.34504,0.54366
1528,106.345320,167.559210,34.307834,0.34504,0.54365
1529,106.339500,167.551650,34.302959,0.34504,0.54366
1530,106.346800,167.567270,34.306736,0.34503,0.54366
1531,106.337250,167.550470,34.300025,0.34504,0.54366
1532,106.339790,167.553290,34.296981,0.34505,0.54367
1533,106.340360,167.550010,34.298587,0.34505,0.54366
1534,106.348230,167.560800,34.303699,0.34505,0.54365
1535,106.340640,167.551330,34.298152,0.34505,0.54366
1536,106.336700,167.542140,34.297058,0.34505,0.54366
1537,106.341420,167.554850,34.298599,0.34505,0.54367
1538,106.335920,167.545330,34.296829,0.34505,0.54366
1539,106.329650,167.538950,34.296638,0.34504,0.54367
1540,106.334010,167.541380,34.291431,0.34505,0.54367
1541,106.333540,167.535620,34.290935,0.34506,0.54366
1542,106.326900,167.532980,34.294055,0.34504,0.54367
1543,106.329610,167.541330,34.293796,0.34504,0.54367
1544,106.327650,167.537840,34.293209,0.34504,0.54367
1545,106.336120,167.549660,34.291942,0.34505,0.54368
1546,106.329750,167.537380,34.289211,0.34505,0.54368
1547,106.335850,167.546550,34.288543,0.34505,0.54368
1548,106.331520,167.545100,34.290317,0.34505,0.54368
1549,106.333730,167.545630,34.291183,0.34505,0.54368
1550,106.335780,167.553340,34.294055,0.34504,0.54368
1551,106.336440,167.544490,34.289077,0.34506,0.54368
1552,106.332190,167.540310,34.291763,0.34505,0.54367
1553,106.336890,167.548530,34.291088,0.34505,0.54368
1554,106.334060,167.545340,34.293109,0.34505,0.54367
1555,106.334870,167.543850,34.286823,0.34506,0.54368
1556,106.332220,167.537040,34.289054,0.34506,0.54367
1557,106.336910,167.546470,34.286643,0.34506,0.54368
1558,106.333620,167.539960,34.285110,0.34506,0.54368
1559,106.337730,167.549970,34.282009,0.34506,0.54369
1560,106.341300,167.559690,34.289566,0.34505,0.54369
1561,106.343080,167.552150,34.286380,0.34507,0.54368
1562,106.337250,167.548640,34.286254,0.34506,0.54369
1563,106.333990,167.547050,34.288436,0.34505,0.54368
1564,106.329070,167.535910,34.291759,0.34505,0.54367
1565,106.335230,167.547880,34.293369,0.34505,0.54368
1566,106.343490,167.553610,34.296310,0.34505,0.54366
1567,106.339830,167.546870,34.295417,0.34506,0.54366
1568,106.335280,167.544860,34.289085,0.34505,0.54368
1569,106.333660,167.542120,34.289989,0.34505,0.54368
1570,106.331730,167.543410,34.288459,0.34505,0.54368
1571,106.338930,167.543280,34.288738,0.34506,0.54367
1572,106.328550,167.535150,34.288036,0.34505,0.54368
1573,106.328890,167.534390,34.283741,0.34506,0.54368
1574,106.319690,167.522490,34.284091,0.34505,0.54368
1575,106.322820,167.525610,34.286453,0.34505,0.54368
1576,106.325530,167.526590,34.285118,0.34506,0.54368
1577,106.332420,167.540050,34.290794,0.34505,0.54367
1578,106.334940,167.541680,34.289562,0.34506,0.54367
1579,106.339680,167.551510,34.293113,0.34505,0.54367
1580,106.344820,167.556610,34.293220,0.34506,0.54367
1581,106.345350,167.560310,34.291721,0.34506,0.54368
1582,106.333500,167.542440,34.290981,0.34505,0.54367
1583,106.343020,167.555930,34.292324,0.34506,0.54368
1584,106.338810,167.551600,34.289985,0.34505,0.54368
1585,106.342850,167.551080,34.291881,0.34506,0.54367
1586,106.340590,167.554700,34.292682,0.34505,0.54368
1587,106.345520,167.563530,34.294448,0.34505,0.54368
1588,106.339240,167.551460,34.288673,0.34506,0.54368
1589,106.335120,167.548990,34.289981,0.34505,0.54368
1590,106.334370,167.548320,34.288635,0.34505,0.54369
1591,106.333690,167.546260,34.285877,0.34505,0.54369
1592,106.339920,167.555780,34.292179,0.34505,0.54368
1593,106.338340,167.549590,34.291812,0.34505,0.54367
1594,106.338520,167.548440,34.290195,0.34506,0.54368
1595,106.343600,167.562860,34.294025,0.34505,0.54368
1596,106.333500,167.542870,34.286079,0.34506,0.54368
1597,106.331170,167.539910,34.289005,0.34505,0.54368
1598,106.338980,167.553570,34.289024,0.34505,0.54368
1599,106.330470,167.540610,34.286403,0.34505,0.54369
1600,106.338530,167.542670,34.289348,0.34506,0.54367
1601,106.335730,167.545180,34.287902,0.34506,0.54368
1602,106.342660,167.555190,34.292003,0.34506,0.54368
1603,106.347210,167.557810,34.296592,0.34506,0.54366
1604,106.342710,167.551010,34.296173,0.34506,0.54366
1605,106.334320,167.544890,34.290889,0.34505,0.54368
1606,106.332610,167.543650,34.290821,0.34505,0.54368
1607,106.337200,167.551050,34.291400,0.34505,0.54368
1608,106.343610,167.559050,34.291957,0.34505,0.54368
1609,106.347260,167.559080,34.297245,0.34506,0.54366
1610,106.342220,167.553610,34.287605,0.34506,0.54368
1611,106.338890,167.551160,34.290744,0.34505,0.54368
1612,106.347900,167.560110,34.292804,0.34506,0.54367
1613,106.351610,167.565680,34.289791,0.34507,0.54368
1614,106.352530,167.568490,34.289146,0.34506,0.54368
1615,106.348640,167.566260,34.289325,0.34506,0.54369
1616,106.357060,167.582090,34.297756,0.34505,0.54368
1617,106.356590,167.573970,34.294059,0.34506,0.54367
1618,106.348640,167.565610,34.291320,0.34506,0.54368
1619,106.343480,167.556620,34.287578,0.34506,0.54368
1620,106.344900,167.560540,34.293914,0.34505,0.54368
1621,106.342480,167.555930,34.289287,0.34506,0.54368
1622,106.340370,167.554640,34.287357,0.34506,0.54369
1623,106.340600,167.555160,34.288349,0.34506,0.54369
1624,106.340530,167.550170,34.289070,0.34506,0.54368
1625,106.331150,167.536480,34.281711,0.34506,0.54369
1626,106.338790,167.547180,34.287029,0.34506,0.54368
1627,106.339150,167.550720,34.282989,0.34506,0.54369
1628,106.341330,167.547040,34.286556,0.34507,0.54368
