n,X,Y,Lv,x,y
1501,32.565277,88.076797,7.532797,0.25407,0.68716
1502,32.571880,88.095733,7.536134,0.25406,0.68715
1503,32.544925,88.005958,7.525412,0.25411,0.68714
1504,32.547763,88.033081,7.527259,0.25406,0.68718
1505,32.565086,88.072761,7.533622,0.25407,0.68715
1506,32.561214,88.062019,7.534061,0.25407,0.68714
1507,32.580451,88.103500,7.535668,0.25410,0.68713
1508,32.558189,88.045021,7.532572,0.25409,0.68712
1509,32.574337,88.085166,7.539135,0.25409,0.68710
1510,32.582420,88.109466,7.538580,0.25409,0.68712
1511,32.581794,88.116645,7.537146,0.25408,0.68715
1512,32.577125,88.099349,7.537854,0.25408,0.68713
1513,32.577556,88.101303,7.540013,0.25408,0.68712
1514,32.574394,88.086036,7.539216,0.25409,0.68710
1515,32.584899,88.109512,7.538939,0.25411,0.68710
1516,32.581565,88.111434,7.539290,0.25408,0.68712
1517,32.572422,88.083923,7.537754,0.25409,0.68711
1518,32.553855,88.034744,7.533276,0.25409,0.68712
1519,32.566177,88.062095,7.537281,0.25409,0.68710
1520,32.588176,88.121620,7.542407,0.25409,0.68710
1521,32.591480,88.137657,7.544033,0.25408,0.68711
1522,32.583339,88.121574,7.541972,0.25407,0.68712
1523,32.583866,88.122062,7.540980,0.25407,0.68713
1524,32.573074,88.084709,7.540551,0.25408,0.68710
1525,32.557426,88.041915,7.533997,0.25409,0.68711
1526,32.568412,88.074562,7.534114,0.25409,0.68713
1527,32.579113,88.100204,7.537736,0.25409,0.68712
1528,32.590755,88.130493,7.539787,0.25410,0.68712
1529,32.569057,88.075721,7.534589,0.25409,0.68713
1530,32.564353,88.066711,7.532176,0.25408,0.68714
1531,32.558391,88.050239,7.533812,0.25408,0.68713
1532,32.548004,88.021095,7.530440,0.25408,0.68713
1533,32.530216,87.970260,7.525431,0.25409,0.68713
1534,32.559135,88.047241,7.534937,0.25409,0.68711
1535,32.569885,88.074775,7.536808,0.25409,0.68711
1536,32.548805,88.019004,7.529539,0.25409,0.68713
1537,32.556915,88.043579,7.531531,0.25409,0.68713
1538,32.548736,88.026184,7.531257,0.25408,0.68713
1539,32.546707,88.018363,7.532807,0.25408,0.68712
1540,32.530982,87.969039,7.527001,0.25409,0.68711
1541,32.545955,88.008361,7.530887,0.25410,0.68711
1542,32.556625,88.033828,7.532905,0.25410,0.68710
1543,32.566333,88.070762,7.534373,0.25408,0.68713
1544,32.555324,88.033920,7.535788,0.25409,0.68709
1545,32.540966,88.006965,7.531468,0.25407,0.68713
1546,32.560890,88.058822,7.535815,0.25407,0.68712
1547,32.544967,88.010849,7.532010,0.25408,0.68711
1548,32.538833,88.000167,7.530039,0.25407,0.68713
1549,32.531955,87.983200,7.528138,0.25407,0.68714
1550,32.533233,87.981986,7.525091,0.25409,0.68714
1551,32.525383,87.955062,7.522535,0.25410,0.68713
1552,32.531879,87.975799,7.527112,0.25409,0.68712
1553,32.533645,87.981086,7.526300,0.25409,0.68713
1554,32.548797,88.026908,7.531164,0.25408,0.68714
1555,32.527843,87.965499,7.525647,0.25409,0.68713
1556,32.546951,88.018478,7.533522,0.25408,0.68711
1557,32.538608,87.998977,7.529085,0.25408,0.68713
1558,32.543491,88.006713,7.528241,0.25409,0.68713
1559,32.558403,88.048057,7.533711,0.25408,0.68712
1560,32.539718,87.990066,7.527168,0.25410,0.68712
1561,32.522914,87.957237,7.523258,0.25408,0.68715
1562,32.543823,88.006767,7.527522,0.25409,0.68713
1563,32.541450,87.999198,7.527054,0.25410,0.68713
1564,32.537796,87.992568,7.526049,0.25409,0.68714
1565,32.540386,88.005119,7.526755,0.25408,0.68715
1566,32.541278,88.008331,7.531051,0.25407,0.68713
1567,32.539524,88.000724,7.531474,0.25407,0.68712
1568,32.547992,88.020690,7.531858,0.25408,0.68712
1569,32.523994,87.961280,7.523342,0.25408,0.68715
1570,32.542530,88.011650,7.528834,0.25407,0.68715
1571,32.551277,88.038200,7.532005,0.25407,0.68715
1572,32.530685,87.976120,7.527986,0.25408,0.68713
1573,32.547771,88.030647,7.534150,0.25406,0.68714
1574,32.546638,88.018219,7.532710,0.25408,0.68712
1575,32.541435,88.007926,7.531714,0.25407,0.68713
1576,32.553924,88.039505,7.536369,0.25407,0.68711
1577,32.543293,88.003570,7.531558,0.25409,0.68711
1578,32.546890,88.017700,7.533123,0.25408,0.68711
1579,32.536029,87.987495,7.528147,0.25409,0.68712
1580,32.536140,87.980117,7.531258,0.25409,0.68709
1581,32.513992,87.930961,7.521453,0.25408,0.68714
1582,32.509208,87.919639,7.522151,0.25408,0.68714
1583,32.531196,87.967536,7.526860,0.25410,0.68711
1584,32.524223,87.962814,7.526244,0.25407,0.68714
1585,32.521778,87.952934,7.524749,0.25408,0.68714
1586,32.527233,87.954750,7.528425,0.25410,0.68709
1587,32.522758,87.953277,7.527640,0.25408,0.68712
1588,32.525081,87.954544,7.527831,0.25409,0.68710
1589,32.524517,87.953170,7.526688,0.25409,0.68711
1590,32.515254,87.936393,7.524002,0.25407,0.68713
1591,32.505752,87.907043,7.519669,0.25409,0.68714
1592,32.535079,87.991142,7.529397,0.25407,0.68713
1593,32.507946,87.918022,7.521992,0.25407,0.68714
1594,32.511718,87.925102,7.522086,0.25408,0.68714
1595,32.534530,87.981330,7.526915,0.25409,0.68712
1596,32.531215,87.983520,7.528309,0.25406,0.68714
1597,32.527156,87.971527,7.529184,0.25406,0.68713
1598,32.545742,88.015190,7.531788,0.25408,0.68712
1599,32.531913,87.977844,7.528452,0.25408,0.68712
1600,32.523567,87.956306,7.528509,0.25407,0.68711
1601,32.530982,87.970787,7.526658,0.25409,0.68712
1602,32.519592,87.938774,7.525004,0.25409,0.68711
1603,32.504814,87.899475,7.519216,0.25410,0.68713
1604,32.534774,87.978904,7.530189,0.25409,0.68710
1605,32.530998,87.962852,7.529153,0.25410,0.68709
1606,32.511161,87.914482,7.522704,0.25410,0.68711
1607,32.525882,87.955459,7.526980,0.25409,0.68711
1608,32.504894,87.892852,7.516761,0.25411,0.68712
1609,32.507244,87.909973,7.522292,0.25408,0.68712
1610,32.520748,87.950180,7.525416,0.25408,0.68713
1611,32.517402,87.931373,7.524367,0.25410,0.68711
1612,32.534667,87.986274,7.529919,0.25408,0.68712
1613,32.532810,87.969688,7.530606,0.25410,0.68709
1614,32.556827,88.040321,7.534861,0.25409,0.68711
1615,32.515834,87.926651,7.524534,0.25410,0.68710
1616,32.529277,87.975822,7.531687,0.25406,0.68711
