n,X,Y,Lv,x,y
2001,179.167320,133.452070,25.755390,0.52949,0.39439
2002,179.152130,133.444120,25.749206,0.52949,0.39440
2003,179.161200,133.451470,25.762739,0.52947,0.39439
2004,179.156760,133.441190,25.755231,0.52950,0.39438
2005,179.144880,133.441260,25.752321,0.52948,0.39440
2006,179.157240,133.432350,25.753328,0.52951,0.39437
2007,179.146080,133.440490,25.753006,0.52949,0.39440
2008,179.140420,133.425760,25.750480,0.52951,0.39438
2009,179.135600,133.425680,25.749641,0.52950,0.39439
2010,179.144800,133.431880,25.753870,0.52950,0.39438
2011,179.147670,133.429730,25.746484,0.52952,0.39438
2012,179.133860,133.426100,25.750591,0.52950,0.39439
2013,179.140130,133.424080,25.747705,0.52951,0.39438
2014,179.126460,133.413830,25.744886,0.52951,0.39438
2015,179.136730,133.420760,25.745842,0.52952,0.39438
2016,179.139890,133.426160,25.751228,0.52950,0.39438
2017,179.145620,133.433730,25.753543,0.52950,0.39439
2018,179.150770,133.438140,25.752325,0.52950,0.39439
2019,179.154510,133.434840,25.747804,0.52951,0.39438
2020,179.146480,133.424880,25.751089,0.52951,0.39437
2021,179.146270,133.429390,25.749769,0.52951,0.39438
2022,179.125250,133.411430,25.748651,0.52951,0.39438
2023,179.135620,133.409910,25.747720,0.52953,0.39436
2024,179.131710,133.418640,25.751312,0.52950,0.39438
2025,179.131070,133.415810,25.748329,0.52951,0.39438
2026,179.148360,133.428600,25.749166,0.52951,0.39438
2027,179.146740,133.432030,25.750751,0.52950,0.39438
2028,179.141670,133.422560,25.749637,0.52951,0.39438
2029,179.145430,133.425070,25.752386,0.52951,0.39437
2030,179.143050,133.423840,25.750202,0.52951,0.39438
2031,179.150750,133.423690,25.755535,0.52951,0.39436
2032,179.132560,133.418240,25.750921,0.52951,0.39438
2033,179.130920,133.410930,25.750915,0.52951,0.39437
2034,179.130870,133.416960,25.749088,0.52951,0.39438
2035,179.133130,133.414290,25.751890,0.52951,0.39437
2036,179.130090,133.409820,25.749439,0.52952,0.39437
2037,179.126860,133.406340,25.749746,0.52952,0.39436
2038,179.133810,133.405020,25.747060,0.52953,0.39436
2039,179.136180,133.419290,25.751806,0.52951,0.39437
