n,X,Y,Lv,x,y
2001,107.433670,88.838920,19.102701,0.49882,0.41248
2002,107.423600,88.833595,19.105218,0.49880,0.41248
2003,107.408080,88.826171,19.106176,0.49878,0.41249
2004,107.446530,88.859397,19.111650,0.49878,0.41250
2005,107.398520,88.812606,19.100336,0.49881,0.41248
2006,107.430200,88.844879,19.108779,0.49878,0.41250
2007,107.425630,88.834999,19.108314,0.49880,0.41248
2008,107.416110,88.834663,19.106775,0.49878,0.41250
2009,107.441140,88.847320,19.113126,0.49879,0.41247
2010,107.415030,88.827850,19.106513,0.49879,0.41248
2011,107.419310,88.835662,19.109088,0.49878,0.41249
2012,107.429670,88.840705,19.107725,0.49880,0.41249
2013,107.417160,88.832305,19.107479,0.49879,0.41249
2014,107.427070,88.839729,19.108734,0.49879,0.41249
2015,107.410400,88.827659,19.106918,0.49878,0.41249
2016,107.422530,88.836570,19.109933,0.49878,0.41249
2017,107.419120,88.827583,19.109493,0.49880,0.41247
2018,107.407190,88.818595,19.107301,0.49880,0.41247
2019,107.422500,88.832229,19.107019,0.49880,0.41248
2020,107.413280,88.827453,19.110765,0.49878,0.41248
2021,107.421090,88.836288,19.109889,0.49878,0.41249
2022,107.409790,88.825599,19.109369,0.49878,0.41248
2023,107.410370,88.828147,19.108440,0.49878,0.41249
2024,107.410470,88.823036,19.104938,0.49880,0.41248
2025,107.407320,88.820869,19.104093,0.49880,0.41248
2026,107.394790,88.808280,19.101051,0.49881,0.41248
2027,107.415930,88.826065,19.108461,0.49880,0.41247
2028,107.417500,88.834228,19.109413,0.49878,0.41249
2029,107.423240,88.831420,19.107418,0.49880,0.41247
2030,107.420860,88.832901,19.105934,0.49880,0.41249
2031,107.414530,88.827171,19.106502,0.49879,0.41248
2032,107.413040,88.825637,19.107721,0.49879,0.41248
2033,107.405450,88.820541,19.105165,0.49879,0.41248
2034,107.413030,88.823417,19.105682,0.49880,0.41248
2035,107.410780,88.820068,19.107517,0.49880,0.41247
2036,107.412140,88.823440,19.104358,0.49880,0.41248
2037,107.415350,88.823326,19.108127,0.49880,0.41247
2038,107.413770,88.822029,19.108036,0.49880,0.41247
2039,107.412430,88.822250,19.107219,0.49880,0.41247
2040,107.415760,88.832557,19.112194,0.49877,0.41248
2041,107.411370,88.821411,19.109128,0.49879,0.41247
2042,107.413970,88.825080,19.108219,0.49879,0.41247
2043,107.422820,88.833908,19.108457,0.49879,0.41248
