n,X,Y,Lv,x,y
2001,71.757774,45.947853,3.961105,0.58979,0.37765
2002,71.769630,45.963203,3.964933,0.58974,0.37768
2003,71.744384,45.943901,3.961812,0.58976,0.37767
2004,71.735595,45.950058,3.961432,0.58970,0.37773
2005,71.733100,45.946018,3.958057,0.58973,0.37773
2006,71.692550,45.923145,3.960070,0.58969,0.37773
2007,71.686874,45.926414,3.958051,0.58967,0.37777
2008,71.691642,45.927787,3.962780,0.58966,0.37775
2009,71.703498,45.943977,3.960913,0.58963,0.37780
2010,71.681358,45.927806,3.962109,0.58962,0.37779
2011,71.648399,45.906433,3.958217,0.58964,0.37779
2012,71.671134,45.928543,3.960329,0.58959,0.37783
2013,71.624870,45.892780,3.954993,0.58964,0.37780
2014,71.650436,45.914207,3.959431,0.58960,0.37782
2015,71.630325,45.906631,3.956823,0.58958,0.37785
2016,71.658210,45.925819,3.959260,0.58957,0.37786
2017,71.673645,45.940807,3.964829,0.58952,0.37787
2018,71.626220,45.909767,3.958521,0.58954,0.37788
2019,71.647499,45.925529,3.958887,0.58954,0.37789
2020,71.581787,45.881526,3.954225,0.58955,0.37788
2021,71.560569,45.866714,3.953057,0.58956,0.37788
2022,71.602096,45.904159,3.955881,0.58950,0.37793
2023,71.566932,45.875488,3.955139,0.58953,0.37789
2024,71.568328,45.879364,3.954046,0.58952,0.37791
2025,71.575042,45.887821,3.956187,0.58949,0.37793
2026,71.592498,45.900825,3.954254,0.58949,0.37795
2027,71.533470,45.860233,3.953391,0.58949,0.37793
2028,71.535957,45.864048,3.952996,0.58949,0.37794
2029,71.563491,45.884426,3.955999,0.58947,0.37795
2030,71.533752,45.867122,3.951370,0.58947,0.37797
2031,71.565101,45.897499,3.955005,0.58941,0.37801
2032,71.529411,45.869209,3.954395,0.58943,0.37798
2033,71.558654,45.894924,3.957813,0.58939,0.37801
2034,71.517906,45.869941,3.954911,0.58939,0.37802
2035,71.545814,45.888648,3.960100,0.58937,0.37801
2036,71.529144,45.880954,3.959713,0.58935,0.37803
2037,71.561592,45.909668,3.962681,0.58930,0.37806
2038,71.534217,45.881446,3.958502,0.58937,0.37802
2039,71.536460,45.884410,3.958179,0.58936,0.37803
2040,71.522743,45.875183,3.953336,0.58939,0.37804
2041,71.558853,45.901310,3.956117,0.58937,0.37805
2042,71.502639,45.860809,3.952748,0.58939,0.37803
2043,71.500000,45.862690,3.951339,0.58938,0.37805
2044,71.504501,45.865188,3.955333,0.58936,0.37804
2045,71.539299,45.895023,3.956661,0.58933,0.37808
2046,71.489639,45.857398,3.954464,0.58935,0.37804
2047,71.470558,45.841968,3.952681,0.58937,0.37803
2048,71.484222,45.851520,3.952962,0.58937,0.37804
2049,71.522323,45.879943,3.957266,0.58934,0.37805
2050,71.485672,45.852752,3.953672,0.58937,0.37804
2051,71.466255,45.844993,3.951631,0.58935,0.37806
2052,71.486907,45.863098,3.955332,0.58931,0.37808
2053,71.504982,45.876052,3.954667,0.58932,0.37809
2054,71.467712,45.857028,3.953807,0.58929,0.37811
2055,71.447654,45.844425,3.952763,0.58928,0.37811
2056,71.469032,45.859519,3.956194,0.58927,0.37811
2057,71.475761,45.867366,3.957471,0.58924,0.37813
2058,71.468597,45.864688,3.958762,0.58923,0.37813
2059,71.504501,45.890682,3.961541,0.58921,0.37815
2060,71.502822,45.891559,3.961460,0.58920,0.37816
2061,71.506965,45.895347,3.959722,0.58920,0.37817
2062,71.497230,45.892230,3.959664,0.58919,0.37818
2063,71.507446,45.899372,3.963051,0.58917,0.37818
2064,71.496063,45.890468,3.959857,0.58919,0.37818
2065,71.451103,45.855167,3.955756,0.58923,0.37815
2066,71.456596,45.862739,3.957156,0.58920,0.37817
2067,71.493766,45.889736,3.958647,0.58919,0.37818
2068,71.465347,45.871330,3.960663,0.58917,0.37817
2069,71.458816,45.865348,3.954207,0.58921,0.37818
2070,71.443534,45.860881,3.958146,0.58916,0.37819
2071,71.458702,45.871723,3.960249,0.58915,0.37820
2072,71.461479,45.871482,3.958092,0.58917,0.37819
2073,71.456230,45.868255,3.958528,0.58917,0.37819
2074,71.457466,45.872806,3.956329,0.58916,0.37822
2075,71.425979,45.851257,3.955100,0.58917,0.37821
2076,71.469688,45.881595,3.957738,0.58915,0.37822
2077,71.467559,45.880802,3.957314,0.58915,0.37822
2078,71.472343,45.880077,3.957333,0.58917,0.37821
2079,71.463279,45.878566,3.960569,0.58913,0.37822
2080,71.457420,45.872779,3.958944,0.58915,0.37821
2081,71.481475,45.887924,3.960154,0.58915,0.37821
2082,71.463081,45.877872,3.958349,0.58915,0.37822
2083,71.441017,45.862388,3.956479,0.58916,0.37822
2084,71.452041,45.871570,3.959348,0.58914,0.37822
2085,71.455566,45.879146,3.961494,0.58910,0.37824
2086,71.431411,45.852504,3.957256,0.58917,0.37819
2087,71.419448,45.846805,3.955351,0.58916,0.37821
2088,71.465957,45.886577,3.960106,0.58911,0.37825
2089,71.437667,45.864387,3.956683,0.58913,0.37824
2090,71.451309,45.875965,3.958755,0.58911,0.37825
2091,71.393028,45.834884,3.955815,0.58913,0.37823
2092,71.446853,45.871936,3.958986,0.58912,0.37824
2093,71.411087,45.847251,3.955435,0.58913,0.37823
2094,71.434745,45.863277,3.956808,0.58913,0.37824
2095,71.422760,45.857692,3.958820,0.58911,0.37824
2096,71.433334,45.865402,3.960637,0.58910,0.37824
2097,71.446624,45.883079,3.958245,0.58907,0.37830
2098,71.398490,45.842979,3.956403,0.58911,0.37825
2099,71.431549,45.865982,3.958441,0.58910,0.37826
2100,71.473587,45.898708,3.965333,0.58905,0.37827
2101,71.439979,45.874202,3.959816,0.58908,0.37827
2102,71.485626,45.906002,3.963201,0.58906,0.37828
2103,71.433921,45.872642,3.961180,0.58906,0.37828
2104,71.447784,45.885784,3.961206,0.58904,0.37830
2105,71.439147,45.872203,3.960353,0.58908,0.37826
2106,71.422187,45.871162,3.959809,0.58903,0.37831
2107,71.445907,45.887111,3.961216,0.58903,0.37831
2108,71.428321,45.867000,3.958577,0.58908,0.37827
2109,71.449920,45.885410,3.960710,0.58905,0.37829
2110,71.477310,45.902801,3.965247,0.58904,0.37828
2111,71.473564,45.900600,3.962134,0.58905,0.37829
2112,71.484756,45.912464,3.965644,0.58902,0.37831
2113,71.486389,45.912803,3.961754,0.58904,0.37832
2114,71.457908,45.885017,3.964002,0.58907,0.37826
2115,71.443481,45.882160,3.960204,0.58905,0.37830
2116,71.392044,45.839721,3.952811,0.58912,0.37826
2117,71.438140,45.874660,3.955341,0.58909,0.37829
2118,71.462562,45.887142,3.960362,0.58909,0.37826
2119,71.391502,45.841854,3.953447,0.58910,0.37827
2120,71.435356,45.879310,3.963744,0.58902,0.37830
2121,71.454841,45.893413,3.960965,0.58903,0.37832
2122,71.420555,45.867088,3.958886,0.58905,0.37830
2123,71.417045,45.868381,3.962064,0.58902,0.37830
2124,71.428977,45.876194,3.961246,0.58903,0.37831
2125,71.392997,45.849128,3.958588,0.58905,0.37829
2126,71.390296,45.860527,3.960545,0.58897,0.37835
2127,71.424453,45.879699,3.963865,0.58898,0.37833
2128,71.443122,45.896831,3.967792,0.58894,0.37835
2129,71.446609,45.900737,3.965502,0.58895,0.37837
2130,71.397613,45.864669,3.961629,0.58897,0.37835
2131,71.419128,45.874698,3.964005,0.58899,0.37832
2132,71.395080,45.855758,3.959560,0.58902,0.37832
2133,71.421051,45.871887,3.961523,0.58902,0.37831
2134,71.396530,45.849540,3.959261,0.58905,0.37828
2135,71.391029,45.852046,3.958797,0.58903,0.37831
2136,71.429985,45.883678,3.962091,0.58899,0.37834
2137,71.399345,45.862239,3.960383,0.58900,0.37833
2138,71.403099,45.863231,3.959452,0.58901,0.37833
2139,71.386138,45.853733,3.961199,0.58899,0.37833
2140,71.394310,45.859710,3.957920,0.58900,0.37834
2141,71.388519,45.854591,3.958459,0.58901,0.37833
2142,71.364601,45.836833,3.955251,0.58903,0.37833
2143,71.397521,45.864646,3.958261,0.58899,0.37836
2144,71.393714,45.859294,3.962659,0.58898,0.37833
2145,71.404739,45.869667,3.959240,0.58898,0.37836
2146,71.397361,45.859493,3.958695,0.58901,0.37833
2147,71.397087,45.863895,3.958772,0.58899,0.37835
2148,71.361633,45.833358,3.957716,0.58902,0.37831
2149,71.385543,45.856266,3.956333,0.58900,0.37836
2150,71.373626,45.842784,3.954763,0.58903,0.37833
2151,71.394355,45.855049,3.959532,0.58902,0.37831
2152,71.398918,45.860637,3.961208,0.58900,0.37832
2153,71.386650,45.857421,3.956237,0.58900,0.37836
2154,71.378730,45.849292,3.957361,0.58900,0.37834
2155,71.352851,45.829425,3.950207,0.58905,0.37834
2156,71.395324,45.859992,3.960885,0.58899,0.37833
2157,71.412773,45.878055,3.966836,0.58893,0.37835
2158,71.404495,45.874160,3.965003,0.58893,0.37836
2159,71.395187,45.869293,3.964229,0.58893,0.37837
2160,71.357406,45.846199,3.959569,0.58894,0.37838
2161,71.382255,45.870040,3.962792,0.58889,0.37842
