n,X,Y,Lv,x,y
2501,195.313200,142.618600,144.639480,0.40473,0.29554
2502,195.290430,142.575370,144.607280,0.40477,0.29551
2503,195.280820,142.584380,144.593150,0.40476,0.29554
2504,195.314540,142.610820,144.636500,0.40475,0.29553
2505,195.294690,142.581680,144.606850,0.40477,0.29552
2506,195.302360,142.607160,144.632040,0.40474,0.29553
2507,195.303900,142.598460,144.627590,0.40475,0.29552
2508,195.297310,142.586360,144.615320,0.40476,0.29552
2509,195.306030,142.609550,144.642420,0.40473,0.29553
2510,195.298670,142.591590,144.625450,0.40475,0.29552
2511,195.313180,142.597710,144.633040,0.40476,0.29551
2512,195.306060,142.607110,144.642160,0.40473,0.29552
2513,195.298440,142.589200,144.632470,0.40475,0.29551
2514,195.317380,142.611230,144.659010,0.40473,0.29551
2515,195.298820,142.590310,144.628310,0.40475,0.29551
2516,195.311530,142.602120,144.651560,0.40474,0.29551
2517,195.316750,142.608790,144.658050,0.40473,0.29551
2518,195.299830,142.590660,144.629760,0.40475,0.29551
2519,195.315260,142.609190,144.650610,0.40474,0.29552
2520,195.313180,142.598320,144.647240,0.40474,0.29550
2521,195.303710,142.595710,144.647850,0.40473,0.29551
2522,195.308020,142.605590,144.651930,0.40473,0.29552
2523,195.313730,142.597740,144.646680,0.40475,0.29550
2524,195.313670,142.609980,144.652860,0.40473,0.29552
2525,195.311560,142.608710,144.658120,0.40473,0.29551
2526,195.302380,142.594020,144.645460,0.40474,0.29551
2527,195.302870,142.605130,144.650870,0.40472,0.29552
2528,195.304870,142.598140,144.651010,0.40473,0.29551
2529,195.305510,142.598120,144.654630,0.40473,0.29550
2530,195.311810,142.600080,144.660580,0.40473,0.29550
2531,195.308540,142.594680,144.650660,0.40474,0.29550
2532,195.305170,142.598890,144.654860,0.40473,0.29551
2533,195.310280,142.602720,144.655240,0.40473,0.29551
2534,195.308730,142.597130,144.662180,0.40473,0.29550
2535,195.314020,142.604750,144.673440,0.40472,0.29550
2536,195.302130,142.590510,144.657340,0.40473,0.29549
2537,195.305340,142.594200,144.659970,0.40473,0.29550
2538,195.303130,142.590630,144.644630,0.40474,0.29550
2539,195.297300,142.592660,144.654410,0.40472,0.29550
2540,195.301130,142.601620,144.656630,0.40472,0.29551
2541,195.297050,142.592490,144.659680,0.40472,0.29550
2542,195.303750,142.597990,144.658470,0.40472,0.29550
2543,195.302490,142.598400,144.661230,0.40472,0.29550
2544,195.310240,142.600500,144.662460,0.40473,0.29550
2545,195.308820,142.602260,144.677260,0.40471,0.29549
2546,195.305900,142.596090,144.668020,0.40472,0.29549
2547,195.301510,142.592600,144.662000,0.40472,0.29549
2548,195.306740,142.598320,144.667540,0.40472,0.29550
2549,195.301490,142.595230,144.661690,0.40472,0.29550
2550,195.308790,142.599040,144.668790,0.40472,0.29550
2551,195.305400,142.596110,144.666390,0.40472,0.29549
2552,195.313380,142.603830,144.671240,0.40472,0.29550
2553,195.317620,142.603190,144.678970,0.40472,0.29549
2554,195.311060,142.593000,144.674770,0.40472,0.29548
2555,195.306670,142.609060,144.677840,0.40470,0.29551
2556,195.300140,142.602230,144.669200,0.40471,0.29550
2557,195.307400,142.604000,144.681860,0.40470,0.29550
2558,195.300240,142.597150,144.663970,0.40472,0.29550
2559,195.294870,142.595190,144.668360,0.40471,0.29550
2560,195.311140,142.599590,144.675330,0.40472,0.29549
2561,195.309090,142.599620,144.674430,0.40472,0.29549
2562,195.309630,142.599600,144.670420,0.40472,0.29549
2563,195.307020,142.589490,144.668330,0.40473,0.29548
2564,195.302390,142.591120,144.677740,0.40471,0.29548
2565,195.294470,142.597090,144.670070,0.40470,0.29550
2566,195.296350,142.586150,144.668600,0.40472,0.29548
2567,195.304820,142.593680,144.675260,0.40471,0.29549
2568,195.307930,142.595120,144.671780,0.40472,0.29549
2569,195.311730,142.601850,144.681180,0.40471,0.29549
2570,195.302990,142.591270,144.672850,0.40472,0.29548
2571,195.298790,142.590280,144.677590,0.40471,0.29548
2572,195.304290,142.590340,144.679880,0.40471,0.29548
2573,195.301130,142.584390,144.675760,0.40472,0.29547
2574,195.301490,142.593390,144.678720,0.40471,0.29549
2575,195.300390,142.583630,144.665390,0.40473,0.29548
2576,195.294700,142.593760,144.685040,0.40469,0.29549
2577,195.306960,142.597060,144.682780,0.40471,0.29548
2578,195.302420,142.590370,144.675930,0.40471,0.29548
2579,195.304010,142.594490,144.685820,0.40470,0.29548
2580,195.293060,142.587400,144.683410,0.40470,0.29548
2581,195.289560,142.576500,144.669150,0.40472,0.29547
2582,195.295220,142.587500,144.675560,0.40471,0.29548
2583,195.300900,142.589640,144.675000,0.40471,0.29548
2584,195.299130,142.594420,144.687890,0.40470,0.29548
2585,195.295770,142.587670,144.672100,0.40471,0.29548
2586,195.300580,142.585540,144.677810,0.40471,0.29547
2587,195.296560,142.581260,144.669720,0.40472,0.29548
2588,195.288290,142.582580,144.668250,0.40471,0.29548
2589,195.294280,142.587370,144.682490,0.40470,0.29548
2590,195.294840,142.587520,144.679390,0.40470,0.29548
2591,195.295080,142.585630,144.674070,0.40471,0.29548
2592,195.287640,142.572460,144.675620,0.40471,0.29547
2593,195.282270,142.576500,144.671980,0.40470,0.29548
2594,195.273590,142.564230,144.659570,0.40471,0.29547
2595,195.291910,142.588160,144.677290,0.40470,0.29548
2596,195.278220,142.574520,144.665450,0.40471,0.29548
2597,195.290400,142.583490,144.678800,0.40470,0.29548
2598,195.286520,142.577170,144.677780,0.40470,0.29547
2599,195.294960,142.578150,144.679290,0.40471,0.29547
2600,195.286920,142.574170,144.675120,0.40471,0.29547
2601,195.293350,142.587370,144.673590,0.40471,0.29548
2602,195.300100,142.587810,144.688060,0.40470,0.29547
2603,195.298760,142.584090,144.686880,0.40471,0.29547
2604,195.312240,142.591520,144.694160,0.40471,0.29547
2605,195.309210,142.596290,144.696710,0.40470,0.29547
2606,195.306620,142.598410,144.694450,0.40470,0.29548
2607,195.300870,142.591940,144.690880,0.40470,0.29548
2608,195.292890,142.592510,144.693380,0.40469,0.29548
2609,195.303370,142.597710,144.692840,0.40470,0.29548
2610,195.320890,142.603400,144.710920,0.40470,0.29547
2611,195.305400,142.596370,144.697690,0.40469,0.29548
2612,195.318750,142.599500,144.705560,0.40470,0.29547
2613,195.312530,142.588710,144.702430,0.40471,0.29546
2614,195.300550,142.587820,144.694410,0.40470,0.29547
2615,195.306390,142.587150,144.697210,0.40470,0.29546
2616,195.309290,142.588980,144.697950,0.40471,0.29546
2617,195.307960,142.600260,144.695950,0.40470,0.29548
2618,195.312570,142.603800,144.712890,0.40468,0.29547
2619,195.316230,142.600540,144.713820,0.40469,0.29547
2620,195.311090,142.593060,144.702050,0.40470,0.29546
2621,195.290390,142.593880,144.699660,0.40468,0.29548
2622,195.307890,142.595240,144.709420,0.40469,0.29547
2623,195.311140,142.585570,144.705450,0.40470,0.29545
2624,195.306440,142.586440,144.707360,0.40470,0.29545
2625,195.312530,142.593440,144.711850,0.40469,0.29546
2626,195.321590,142.605130,144.723340,0.40469,0.29546
2627,195.312310,142.588740,144.707180,0.40470,0.29545
2628,195.306560,142.592070,144.706630,0.40469,0.29546
2629,195.308480,142.591260,144.705120,0.40470,0.29546
2630,195.300730,142.584450,144.696300,0.40470,0.29546
2631,195.292950,142.582940,144.698010,0.40469,0.29546
2632,195.292370,142.579740,144.692470,0.40470,0.29546
2633,195.294540,142.581020,144.697570,0.40469,0.29546
2634,195.301330,142.588400,144.699140,0.40470,0.29547
2635,195.305260,142.600960,144.721260,0.40467,0.29547
2636,195.292350,142.577110,144.696410,0.40470,0.29546
2637,195.290520,142.581870,144.700770,0.40469,0.29546
2638,195.306830,142.591320,144.713330,0.40469,0.29546
2639,195.299070,142.586920,144.702400,0.40469,0.29546
2640,195.290540,142.574140,144.691450,0.40470,0.29546
2641,195.290280,142.575660,144.698590,0.40469,0.29545
2642,195.283840,142.586340,144.705520,0.40467,0.29547
2643,195.295480,142.579890,144.707180,0.40469,0.29545
2644,195.299020,142.582470,144.711190,0.40469,0.29545
2645,195.286650,142.573130,144.701110,0.40469,0.29545
2646,195.284650,142.579740,144.701870,0.40468,0.29546
2647,195.298110,142.587370,144.711340,0.40468,0.29546
2648,195.290580,142.586770,144.705090,0.40468,0.29547
2649,195.287150,142.575180,144.700770,0.40469,0.29545
2650,195.293850,142.576350,144.701440,0.40469,0.29545
2651,195.289940,142.584130,144.705010,0.40468,0.29546
2652,195.291240,142.579020,144.702100,0.40469,0.29546
2653,195.294170,142.574840,144.705580,0.40469,0.29545
2654,195.297240,142.584210,144.716000,0.40468,0.29545
2655,195.287790,142.581170,144.699850,0.40468,0.29546
2656,195.293960,142.585020,144.714410,0.40468,0.29546
2657,195.292220,142.577160,144.709510,0.40468,0.29545
2658,195.287180,142.572720,144.701260,0.40469,0.29545
2659,195.297590,142.583830,144.715620,0.40468,0.29545
2660,195.299980,142.591870,144.723440,0.40467,0.29546
2661,195.291770,142.572470,144.707910,0.40469,0.29544
2662,195.308300,142.591670,144.721310,0.40468,0.29545
2663,195.309490,142.594890,144.735390,0.40467,0.29545
2664,195.311780,142.589380,144.721920,0.40469,0.29545
2665,195.302120,142.589000,144.721320,0.40468,0.29545
2666,195.293990,142.581250,144.715400,0.40468,0.29545
2667,195.295890,142.581220,144.715020,0.40468,0.29545
2668,195.291590,142.582070,144.714030,0.40468,0.29545
2669,195.298930,142.575510,144.712990,0.40469,0.29544
2670,195.294150,142.575980,144.706710,0.40469,0.29545
2671,195.303660,142.586160,144.726680,0.40468,0.29544
2672,195.306410,142.590430,144.722210,0.40468,0.29545
2673,195.307250,142.589270,144.725630,0.40468,0.29545
2674,195.281060,142.574930,144.705960,0.40468,0.29545
2675,195.291250,142.573220,144.707040,0.40469,0.29544
2676,195.297360,142.575950,144.715020,0.40469,0.29544
2677,195.299770,142.587760,144.730970,0.40467,0.29545
2678,195.315120,142.596290,144.740440,0.40467,0.29544
2679,195.315010,142.595730,144.735510,0.40468,0.29545
2680,195.303680,142.585580,144.712290,0.40469,0.29545
2681,195.294280,142.580530,144.722300,0.40467,0.29544
2682,195.295590,142.577650,144.715100,0.40468,0.29544
2683,195.297010,142.581610,144.723920,0.40467,0.29544
2684,195.294730,142.587640,144.719750,0.40467,0.29546
2685,195.303600,142.589180,144.728940,0.40467,0.29545
2686,195.301840,142.587720,144.731120,0.40467,0.29544
2687,195.300440,142.588310,144.733160,0.40467,0.29545
2688,195.300060,142.585320,144.723980,0.40468,0.29545
2689,195.305190,142.588400,144.726890,0.40468,0.29545
2690,195.305520,142.585760,144.731010,0.40468,0.29544
2691,195.313270,142.581510,144.736600,0.40468,0.29543
2692,195.290980,142.571010,144.717160,0.40468,0.29544
2693,195.292410,142.573270,144.727930,0.40467,0.29543
2694,195.299160,142.575940,144.722250,0.40468,0.29543
2695,195.296020,142.577110,144.724330,0.40468,0.29544
2696,195.304180,142.580730,144.732690,0.40468,0.29543
2697,195.294610,142.570190,144.720160,0.40468,0.29543
2698,195.295420,142.572780,144.720790,0.40468,0.29543
2699,195.284950,142.559840,144.714180,0.40469,0.29542
2700,195.291440,142.572520,144.723370,0.40468,0.29543
2701,195.299340,142.584190,144.727600,0.40467,0.29544
2702,195.296990,142.577490,144.728890,0.40467,0.29543
2703,195.301860,142.585310,144.732130,0.40467,0.29544
2704,195.304270,142.578870,144.740630,0.40467,0.29542
2705,195.295620,142.576040,144.731240,0.40467,0.29543
2706,195.287200,142.568460,144.720420,0.40468,0.29543
2707,195.290660,142.576870,144.724410,0.40467,0.29544
2708,195.292720,142.580810,144.737420,0.40466,0.29544
2709,195.298900,142.574440,144.731140,0.40468,0.29543
2710,195.302700,142.576790,144.730050,0.40468,0.29543
2711,195.284360,142.564570,144.715980,0.40468,0.29543
2712,195.297480,142.571450,144.723610,0.40468,0.29543
2713,195.301780,142.579660,144.732160,0.40468,0.29543
2714,195.298620,142.575370,144.724450,0.40468,0.29543
