n,X,Y,Lv,x,y
2501,129.587630,108.992830,103.534220,0.37878,0.31859
2502,129.606790,109.009390,103.539720,0.37879,0.31860
2503,129.600310,109.004290,103.550390,0.37878,0.31858
2504,129.605600,109.012330,103.547000,0.37878,0.31860
2505,129.599340,109.000000,103.536160,0.37880,0.31859
2506,129.573440,108.976710,103.512880,0.37880,0.31859
2507,129.604520,109.009650,103.543900,0.37879,0.31859
2508,129.598020,109.002350,103.540980,0.37879,0.31859
2509,129.600290,109.003790,103.541540,0.37879,0.31859
2510,129.617230,109.019920,103.554040,0.37879,0.31859
2511,129.611540,109.013380,103.549550,0.37879,0.31859
2512,129.612060,109.014600,103.547600,0.37879,0.31859
2513,129.592480,108.994890,103.533380,0.37879,0.31859
2514,129.602470,109.006660,103.545570,0.37878,0.31859
2515,129.601070,109.007990,103.548940,0.37878,0.31859
2516,129.615570,109.020910,103.561470,0.37877,0.31859
2517,129.617910,109.020740,103.565070,0.37877,0.31858
2518,129.586620,108.987720,103.526270,0.37880,0.31858
2519,129.609840,109.018670,103.551220,0.37878,0.31860
2520,129.593260,108.999540,103.532880,0.37879,0.31860
2521,129.598310,109.004870,103.539410,0.37878,0.31859
2522,129.597650,109.003150,103.539680,0.37878,0.31859
2523,129.603970,109.006650,103.546400,0.37879,0.31859
2524,129.609680,109.014640,103.561110,0.37877,0.31858
2525,129.614730,109.017930,103.559410,0.37878,0.31859
2526,129.601740,109.006900,103.547960,0.37878,0.31859
2527,129.608900,109.010440,103.553100,0.37878,0.31858
2528,129.622770,109.029020,103.568550,0.37877,0.31859
2529,129.609780,109.014980,103.550070,0.37878,0.31859
2530,129.622920,109.021810,103.557900,0.37879,0.31859
2531,129.632330,109.033850,103.572170,0.37878,0.31859
2532,129.603450,109.003610,103.537600,0.37880,0.31859
2533,129.598520,108.994140,103.533230,0.37880,0.31858
2534,129.602170,109.002170,103.537130,0.37880,0.31859
2535,129.620040,109.018490,103.562400,0.37878,0.31858
2536,129.603740,109.002510,103.538300,0.37880,0.31859
2537,129.615660,109.016460,103.556480,0.37878,0.31859
2538,129.604290,109.002540,103.543600,0.37879,0.31858
2539,129.598260,108.996520,103.529510,0.37880,0.31859
2540,129.598630,108.993590,103.530180,0.37881,0.31858
2541,129.614370,109.012220,103.549750,0.37879,0.31858
2542,129.603310,109.009780,103.548220,0.37878,0.31859
2543,129.626400,109.024040,103.567090,0.37878,0.31858
2544,129.626170,109.027600,103.571440,0.37877,0.31858
2545,129.627160,109.027170,103.573880,0.37877,0.31858
2546,129.627890,109.033790,103.581800,0.37876,0.31859
2547,129.626350,109.031710,103.573000,0.37877,0.31859
2548,129.630840,109.033490,103.578650,0.37877,0.31859
2549,129.655470,109.056390,103.595550,0.37877,0.31859
2550,129.633330,109.033400,103.578070,0.37877,0.31858
2551,129.632430,109.035880,103.575480,0.37877,0.31859
2552,129.645170,109.042760,103.586470,0.37878,0.31858
2553,129.629830,109.027810,103.571140,0.37878,0.31858
2554,129.618130,109.019490,103.555910,0.37879,0.31859
2555,129.613150,109.015280,103.554410,0.37878,0.31859
2556,129.601500,108.999090,103.534530,0.37880,0.31858
2557,129.619500,109.019310,103.559660,0.37878,0.31859
2558,129.613870,109.015590,103.554750,0.37878,0.31859
2559,129.623880,109.023670,103.568690,0.37878,0.31858
2560,129.626750,109.027700,103.563510,0.37878,0.31859
2561,129.626200,109.029380,103.570250,0.37877,0.31859
2562,129.620330,109.021790,103.554310,0.37879,0.31859
2563,129.619960,109.022670,103.559700,0.37878,0.31859
2564,129.622550,109.022680,103.557800,0.37879,0.31859
2565,129.613380,109.009490,103.542540,0.37880,0.31859
2566,129.620340,109.023460,103.562750,0.37878,0.31859
2567,129.612360,109.014970,103.552900,0.37878,0.31859
2568,129.606590,109.007330,103.539620,0.37880,0.31859
2569,129.613730,109.013510,103.536490,0.37881,0.31860
2570,129.612010,109.010530,103.543800,0.37880,0.31859
2571,129.602180,109.004920,103.533580,0.37880,0.31860
