n,X,Y,Lv,x,y
2501,72.044456,45.379322,45.634212,0.44183,0.27830
2502,72.043212,45.380020,45.624317,0.44185,0.27832
2503,72.062515,45.401031,45.627574,0.44185,0.27838
2504,72.071929,45.409236,45.631118,0.44185,0.27839
2505,72.061141,45.405159,45.615127,0.44187,0.27842
2506,72.034652,45.389907,45.590812,0.44189,0.27844
2507,72.034202,45.389587,45.583904,0.44191,0.27845
2508,72.014709,45.373180,45.563728,0.44194,0.27845
2509,72.052246,45.400608,45.583786,0.44194,0.27847
2510,72.032257,45.391334,45.563995,0.44195,0.27850
2511,72.039222,45.394790,45.560230,0.44197,0.27851
2512,71.999038,45.367248,45.530185,0.44199,0.27850
2513,71.983123,45.352096,45.513671,0.44202,0.27849
2514,72.005073,45.367263,45.520198,0.44204,0.27851
2515,71.994621,45.353714,45.511169,0.44207,0.27848
2516,71.981140,45.345214,45.493476,0.44209,0.27850
2517,71.967681,45.340297,45.481525,0.44209,0.27852
2518,71.974029,45.348400,45.486751,0.44208,0.27854
2519,72.011451,45.369224,45.504337,0.44210,0.27854
2520,71.991920,45.358730,45.490619,0.44210,0.27855
2521,71.971519,45.343742,45.470054,0.44213,0.27855
2522,71.965270,45.333797,45.461166,0.44216,0.27853
2523,71.946403,45.319179,45.446167,0.44217,0.27852
2524,71.946228,45.321105,45.439796,0.44218,0.27854
2525,71.943130,45.319183,45.435329,0.44219,0.27855
2526,71.997055,45.356361,45.470001,0.44218,0.27856
2527,71.959838,45.330856,45.440757,0.44220,0.27856
2528,71.909118,45.293567,45.401279,0.44223,0.27855
2529,71.975021,45.342147,45.451065,0.44219,0.27857
2530,71.912391,45.295787,45.399318,0.44225,0.27856
2531,71.956855,45.326110,45.424957,0.44225,0.27857
2532,71.985252,45.353427,45.447174,0.44221,0.27861
2533,71.981979,45.350242,45.442993,0.44222,0.27861
2534,71.955246,45.327842,45.421962,0.44224,0.27859
2535,71.987731,45.355232,45.443275,0.44222,0.27862
2536,71.963020,45.333213,45.420513,0.44226,0.27860
2537,71.906555,45.299205,45.380859,0.44227,0.27862
2538,71.945259,45.328712,45.406578,0.44225,0.27864
2539,71.954406,45.335178,45.411075,0.44225,0.27864
2540,71.927810,45.320209,45.391689,0.44225,0.27865
2541,71.907890,45.301517,45.375843,0.44228,0.27863
2542,71.936515,45.318824,45.392707,0.44228,0.27863
2543,71.921081,45.310417,45.379215,0.44229,0.27864
2544,71.942520,45.330581,45.393749,0.44227,0.27867
2545,71.920906,45.311412,45.377803,0.44229,0.27865
2546,71.943351,45.328033,45.387641,0.44230,0.27867
2547,71.932495,45.320106,45.384525,0.44229,0.27866
2548,71.908523,45.308879,45.364765,0.44229,0.27868
2549,71.924514,45.313758,45.375091,0.44230,0.27866
2550,71.944870,45.329383,45.386940,0.44230,0.27867
2551,71.918754,45.314929,45.367134,0.44230,0.27869
2552,71.943695,45.334648,45.384197,0.44229,0.27870
2553,71.921745,45.320896,45.369129,0.44229,0.27871
2554,71.917800,45.316432,45.364147,0.44230,0.27870
2555,71.960220,45.343162,45.389656,0.44231,0.27870
2556,71.924781,45.324050,45.365657,0.44230,0.27872
2557,71.906890,45.304424,45.353157,0.44233,0.27869
2558,71.916503,45.308753,45.354343,0.44235,0.27869
2559,71.893859,45.296520,45.341587,0.44234,0.27869
2560,71.914497,45.312168,45.355846,0.44233,0.27870
2561,71.887245,45.296604,45.334369,0.44233,0.27872
2562,71.909194,45.309555,45.348812,0.44233,0.27871
2563,71.868133,45.285297,45.319843,0.44234,0.27872
2564,71.916397,45.310485,45.354187,0.44234,0.27869
2565,71.906211,45.305786,45.343479,0.44235,0.27871
2566,71.929649,45.318332,45.355083,0.44236,0.27871
2567,71.896904,45.296218,45.334777,0.44237,0.27870
2568,71.874366,45.276748,45.312755,0.44240,0.27869
2569,71.896492,45.291057,45.327632,0.44240,0.27869
2570,71.895042,45.290302,45.324661,0.44240,0.27869
2571,71.891448,45.293956,45.324989,0.44238,0.27871
2572,71.905632,45.300270,45.333087,0.44239,0.27870
2573,71.902763,45.301345,45.327823,0.44239,0.27872
2574,71.914299,45.308017,45.339828,0.44238,0.27871
2575,71.915924,45.307289,45.335983,0.44240,0.27871
2576,71.903030,45.297584,45.326953,0.44241,0.27871
2577,71.909378,45.309402,45.331001,0.44238,0.27874
2578,71.907562,45.301349,45.324440,0.44242,0.27872
2579,71.891014,45.291233,45.316146,0.44241,0.27872
2580,71.897781,45.298988,45.318565,0.44241,0.27874
2581,71.891006,45.291313,45.309509,0.44243,0.27873
2582,71.889694,45.293857,45.313346,0.44241,0.27874
2583,71.948463,45.333091,45.353031,0.44239,0.27874
2584,71.904647,45.304931,45.319526,0.44241,0.27875
2585,71.956657,45.343112,45.354068,0.44239,0.27877
2586,71.911628,45.305759,45.324920,0.44242,0.27873
2587,71.883911,45.287574,45.308002,0.44242,0.27873
2588,71.872131,45.270675,45.289131,0.44248,0.27871
2589,71.898025,45.294239,45.309822,0.44244,0.27873
2590,71.896186,45.286643,45.307086,0.44247,0.27870
2591,71.889068,45.285827,45.307872,0.44244,0.27871
2592,71.901802,45.299282,45.306076,0.44245,0.27875
2593,71.895591,45.289691,45.307056,0.44246,0.27872
2594,71.925529,45.317203,45.331684,0.44242,0.27875
2595,71.917007,45.314998,45.318012,0.44243,0.27878
2596,71.974327,45.355865,45.362697,0.44239,0.27878
2597,71.918663,45.314998,45.319984,0.44243,0.27877
2598,71.909050,45.306556,45.313068,0.44244,0.27876
2599,71.880767,45.293045,45.295978,0.44243,0.27878
2600,71.921783,45.318328,45.323516,0.44242,0.27877
2601,71.897087,45.299552,45.304782,0.44244,0.27876
2602,71.913978,45.311782,45.316047,0.44243,0.27877
2603,71.892272,45.299419,45.298889,0.44244,0.27878
2604,71.941009,45.332439,45.335060,0.44242,0.27878
2605,71.889038,45.294548,45.292118,0.44246,0.27878
2606,71.901565,45.299045,45.305507,0.44245,0.27875
2607,71.912025,45.311985,45.311187,0.44244,0.27878
2608,71.923866,45.325428,45.319553,0.44242,0.27881
2609,71.907096,45.310546,45.308193,0.44243,0.27879
2610,71.913162,45.316814,45.314926,0.44242,0.27880
2611,71.895584,45.309829,45.300010,0.44242,0.27882
2612,71.928703,45.335578,45.326496,0.44239,0.27883
2613,71.938301,45.345916,45.335460,0.44237,0.27885
2614,71.910598,45.323833,45.310188,0.44241,0.27884
2615,71.921608,45.321681,45.319530,0.44242,0.27879
2616,71.859977,45.272922,45.271858,0.44247,0.27877
2617,71.920127,45.312042,45.308719,0.44247,0.27877
2618,71.894256,45.296386,45.291374,0.44248,0.27878
2619,71.877235,45.285915,45.278022,0.44248,0.27878
2620,71.907051,45.306926,45.300182,0.44247,0.27879
2621,71.907157,45.307445,45.299350,0.44247,0.27879
2622,71.907051,45.311214,45.303264,0.44245,0.27880
2623,71.910797,45.311195,45.305610,0.44245,0.27879
2624,71.883514,45.294441,45.279987,0.44247,0.27881
2625,71.879867,45.288360,45.276905,0.44249,0.27879
2626,71.897079,45.296253,45.288314,0.44249,0.27878
2627,71.930152,45.324131,45.313697,0.44246,0.27880
2628,71.917198,45.314765,45.300056,0.44248,0.27881
2629,71.896736,45.298233,45.282829,0.44250,0.27880
2630,71.907363,45.305866,45.291469,0.44249,0.27880
2631,71.946258,45.335636,45.323577,0.44246,0.27881
2632,71.911666,45.311214,45.298282,0.44248,0.27880
2633,71.904647,45.308109,45.294120,0.44247,0.27881
2634,71.928741,45.325763,45.309890,0.44246,0.27882
2635,71.909500,45.310535,45.295753,0.44248,0.27881
2636,71.878578,45.287269,45.272167,0.44250,0.27880
2637,71.928077,45.319576,45.310020,0.44248,0.27879
2638,71.847511,45.268699,45.254161,0.44249,0.27880
2639,71.908615,45.310325,45.296363,0.44247,0.27881
2640,71.919364,45.318939,45.302188,0.44247,0.27882
2641,71.928833,45.325222,45.311679,0.44246,0.27881
2642,71.859222,45.276538,45.258396,0.44250,0.27881
2643,71.939071,45.333824,45.315242,0.44246,0.27883
2644,71.914802,45.319637,45.300647,0.44246,0.27883
2645,71.902145,45.304573,45.290950,0.44248,0.27880
2646,71.917038,45.320842,45.297657,0.44247,0.27884
2647,71.904480,45.319004,45.294876,0.44244,0.27885
2648,71.923629,45.326164,45.302944,0.44246,0.27884
2649,71.914161,45.313823,45.297321,0.44248,0.27881
2650,71.895866,45.303470,45.286460,0.44247,0.27881
2651,71.856536,45.274330,45.255622,0.44250,0.27881
2652,71.887748,45.297081,45.276905,0.44249,0.27882
2653,71.854194,45.278785,45.253437,0.44249,0.27883
2654,71.837684,45.266719,45.241703,0.44250,0.27883
2655,71.893936,45.297821,45.276756,0.44251,0.27881
2656,71.872428,45.290901,45.267269,0.44248,0.27883
2657,71.889022,45.299247,45.275390,0.44249,0.27883
2658,71.912254,45.307682,45.289066,0.44251,0.27880
2659,71.893760,45.299270,45.276485,0.44251,0.27882
2660,71.913291,45.317466,45.286830,0.44250,0.27885
2661,71.885253,45.295349,45.264820,0.44252,0.27883
2662,71.863327,45.272251,45.252994,0.44254,0.27879
2663,71.902229,45.302162,45.278213,0.44252,0.27881
2664,71.876853,45.291049,45.262203,0.44251,0.27883
2665,71.885734,45.292045,45.268100,0.44252,0.27881
2666,71.871902,45.282356,45.259609,0.44252,0.27881
2667,71.861892,45.276493,45.250087,0.44253,0.27882
2668,71.883781,45.291133,45.262607,0.44253,0.27882
2669,71.923606,45.317474,45.290401,0.44252,0.27882
2670,71.925849,45.326190,45.294406,0.44249,0.27885
2671,71.895187,45.302391,45.273155,0.44251,0.27883
2672,71.906654,45.311492,45.283012,0.44250,0.27884
2673,71.909469,45.316467,45.282360,0.44250,0.27886
2674,71.919616,45.320770,45.290836,0.44250,0.27884
2675,71.860404,45.279678,45.253028,0.44251,0.27883
2676,71.905273,45.311164,45.280765,0.44250,0.27884
2677,71.881881,45.295497,45.264812,0.44251,0.27884
2678,71.855995,45.268020,45.241218,0.44256,0.27880
