n,X,Y,Lv,x,y
3001,78.323143,43.020614,234.458450,0.22013,0.12091
3002,78.329971,43.022079,234.495810,0.22012,0.12090
3003,78.322883,43.019191,234.483650,0.22012,0.12090
3004,78.321075,43.020324,234.474620,0.22012,0.12091
3005,78.325088,43.025005,234.496530,0.22011,0.12091
3006,78.331016,43.024299,234.491710,0.22013,0.12091
3007,78.320587,43.020519,234.471750,0.22012,0.12091
3008,78.322288,43.020111,234.474420,0.22012,0.12091
3009,78.310844,43.013210,234.470560,0.22010,0.12089
3010,78.313735,43.014656,234.473150,0.22011,0.12090
3011,78.314796,43.015563,234.469860,0.22011,0.12090
3012,78.318893,43.014366,234.475050,0.22012,0.12089
3013,78.318138,43.021709,234.473080,0.22011,0.12091
3014,78.317932,43.017593,234.480950,0.22011,0.12090
3015,78.313911,43.011425,234.460670,0.22012,0.12089
3016,78.309997,43.013965,234.467880,0.22010,0.12090
3017,78.314254,43.011272,234.477200,0.22011,0.12089
3018,78.307846,43.011367,234.462760,0.22010,0.12089
3019,78.307533,43.012306,234.458600,0.22010,0.12090
3020,78.299804,43.005714,234.462340,0.22009,0.12088
3021,78.304275,43.008995,234.460180,0.22010,0.12089
3022,78.307640,43.004226,234.458350,0.22011,0.12088
3023,78.308120,43.008762,234.471770,0.22010,0.12088
3024,78.303604,43.009754,234.457880,0.22010,0.12089
3025,78.301986,43.002456,234.456200,0.22010,0.12087
3026,78.302139,43.000774,234.459250,0.22010,0.12087
3027,78.299430,43.002170,234.468070,0.22008,0.12087
3028,78.301177,43.004745,234.462990,0.22009,0.12088
3029,78.305831,43.007843,234.462140,0.22010,0.12088
3030,78.303146,43.003009,234.459680,0.22010,0.12087
3031,78.315444,43.009376,234.480220,0.22011,0.12088
3032,78.305206,43.002967,234.460570,0.22010,0.12087
3033,78.303512,42.999671,234.477380,0.22009,0.12086
3034,78.310401,43.011558,234.481070,0.22009,0.12089
3035,78.309425,43.005523,234.466730,0.22011,0.12088
3036,78.308959,43.007438,234.474990,0.22010,0.12088
3037,78.304016,43.005092,234.472420,0.22009,0.12087
3038,78.300209,43.004753,234.457940,0.22009,0.12088
3039,78.299896,43.002738,234.472790,0.22008,0.12087
3040,78.298255,42.996570,234.472250,0.22008,0.12086
3041,78.300170,42.998027,234.469200,0.22009,0.12086
3042,78.303092,43.002277,234.465460,0.22009,0.12087
3043,78.303421,43.007183,234.477230,0.22008,0.12088
3044,78.296752,43.000331,234.462930,0.22008,0.12087
3045,78.294227,42.998126,234.459830,0.22008,0.12087
3046,78.296356,43.002979,234.464850,0.22008,0.12087
3047,78.299491,43.005710,234.458690,0.22009,0.12088
3048,78.296569,42.997722,234.467600,0.22008,0.12086
3049,78.298957,42.995948,234.455880,0.22009,0.12086
3050,78.299720,43.002788,234.488250,0.22007,0.12087
3051,78.302902,43.001949,234.483100,0.22008,0.12086
3052,78.302581,43.000453,234.481590,0.22008,0.12086
3053,78.300682,43.000682,234.481640,0.22008,0.12086
3054,78.305961,43.005088,234.484430,0.22009,0.12087
3055,78.304054,43.002689,234.486550,0.22008,0.12086
3056,78.299743,42.999740,234.474700,0.22008,0.12086
3057,78.306838,43.002956,234.469610,0.22010,0.12087
3058,78.299522,43.002754,234.475170,0.22008,0.12087
3059,78.298706,42.999763,234.474710,0.22008,0.12086
3060,78.296897,43.000900,234.464080,0.22008,0.12087
3061,78.294555,42.998352,234.476730,0.22007,0.12086
3062,78.298393,42.997142,234.475020,0.22008,0.12086
3063,78.302879,42.995548,234.476910,0.22009,0.12085
3064,78.296203,42.996982,234.469420,0.22008,0.12086
3065,78.294929,43.000209,234.471890,0.22007,0.12087
3066,78.308441,43.003749,234.495250,0.22009,0.12086
3067,78.303932,43.000103,234.500500,0.22008,0.12085
3068,78.296592,42.996635,234.481760,0.22007,0.12085
3069,78.301391,43.002536,234.478590,0.22008,0.12087
3070,78.298217,42.998497,234.488720,0.22007,0.12086
3071,78.298316,42.999221,234.479060,0.22008,0.12086
3072,78.299659,42.996021,234.486430,0.22008,0.12085
3073,78.301353,43.001842,234.497840,0.22007,0.12086
3074,78.302299,43.006526,234.500350,0.22007,0.12087
3075,78.300392,42.996974,234.497160,0.22007,0.12085
3076,78.308982,43.000785,234.512060,0.22008,0.12085
3077,78.308853,43.003021,234.505430,0.22008,0.12086
3078,78.301834,42.998844,234.504270,0.22007,0.12085
3079,78.313400,43.007076,234.512190,0.22008,0.12086
3080,78.303787,43.005203,234.508100,0.22007,0.12086
3081,78.303207,43.000698,234.503780,0.22007,0.12085
3082,78.309692,43.005119,234.521270,0.22007,0.12086
3083,78.302940,43.005409,234.507580,0.22007,0.12086
3084,78.303611,42.997486,234.502420,0.22008,0.12085
3085,78.296577,43.001041,234.509350,0.22005,0.12085
3086,78.306114,43.008174,234.513770,0.22007,0.12087
3087,78.299919,43.000385,234.504180,0.22006,0.12085
3088,78.306922,42.998954,234.512750,0.22008,0.12085
