n,X,Y,Lv,x,y
3001,60.365913,48.581619,166.624890,0.21906,0.17629
3002,60.375930,48.589576,166.626460,0.21908,0.17631
3003,60.366073,48.580802,166.618940,0.21906,0.17629
3004,60.366973,48.583267,166.618420,0.21906,0.17630
3005,60.364990,48.581932,166.617550,0.21906,0.17630
3006,60.368736,48.584552,166.619440,0.21907,0.17630
3007,60.366027,48.580291,166.616370,0.21906,0.17629
3008,60.369289,48.586483,166.630170,0.21906,0.17630
3009,60.370033,48.582885,166.621040,0.21907,0.17630
3010,60.365489,48.581893,166.615210,0.21906,0.17630
3011,60.372257,48.586444,166.625830,0.21907,0.17630
3012,60.377479,48.590595,166.639430,0.21907,0.17630
3013,60.372161,48.583480,166.628890,0.21907,0.17629
3014,60.376625,48.590854,166.634590,0.21907,0.17631
3015,60.375442,48.590126,166.638360,0.21907,0.17630
3016,60.373043,48.585521,166.633830,0.21907,0.17629
3017,60.374340,48.585342,166.627860,0.21907,0.17630
3018,60.371685,48.584762,166.637170,0.21906,0.17629
3019,60.379409,48.587356,166.643380,0.21908,0.17629
3020,60.376342,48.587581,166.644010,0.21907,0.17629
3021,60.376148,48.584793,166.639280,0.21907,0.17629
3022,60.386619,48.596809,166.664360,0.21907,0.17630
3023,60.370300,48.582836,166.627410,0.21907,0.17629
3024,60.377719,48.589931,166.641960,0.21907,0.17630
3025,60.369266,48.582958,166.635110,0.21906,0.17629
3026,60.371650,48.582691,166.634790,0.21906,0.17629
3027,60.358551,48.573635,166.611630,0.21905,0.17628
3028,60.368946,48.580947,166.628640,0.21906,0.17629
3029,60.358577,48.574119,166.605220,0.21906,0.17629
3030,60.356308,48.574214,166.609100,0.21905,0.17629
3031,60.355983,48.572273,166.608610,0.21905,0.17628
3032,60.365352,48.580455,166.621300,0.21906,0.17629
3033,60.361248,48.578155,166.622250,0.21905,0.17629
3034,60.373344,48.587699,166.641660,0.21906,0.17630
3035,60.370250,48.583904,166.639450,0.21906,0.17629
3036,60.373970,48.587684,166.641050,0.21906,0.17630
3037,60.367630,48.581653,166.621330,0.21906,0.17629
3038,60.368209,48.582065,166.633480,0.21906,0.17629
3039,60.367153,48.581233,166.627890,0.21906,0.17629
3040,60.358291,48.574901,166.620390,0.21904,0.17628
3041,60.356636,48.574192,166.610540,0.21905,0.17629
3042,60.359634,48.575939,166.617260,0.21905,0.17629
3043,60.370964,48.583869,166.638530,0.21906,0.17629
3044,60.371627,48.588047,166.643580,0.21905,0.17630
3045,60.381130,48.590293,166.662000,0.21906,0.17629
3046,60.373985,48.587818,166.648810,0.21906,0.17629
3047,60.378269,48.592021,166.653850,0.21906,0.17630
3048,60.368003,48.580860,166.625820,0.21906,0.17629
3049,60.361652,48.579830,166.625800,0.21905,0.17629
3050,60.362670,48.581352,166.630120,0.21904,0.17629
3051,60.369861,48.584049,166.640760,0.21905,0.17629
3052,60.383731,48.595058,166.661490,0.21907,0.17630
3053,60.367202,48.580661,166.632670,0.21905,0.17628
3054,60.378047,48.590770,166.656980,0.21906,0.17629
3055,60.379470,48.590694,166.656410,0.21906,0.17629
3056,60.383773,48.592563,166.665130,0.21907,0.17629
3057,60.378849,48.589134,166.654800,0.21906,0.17629
3058,60.366046,48.579448,166.622940,0.21906,0.17629
3059,60.375564,48.586948,166.648570,0.21906,0.17629
3060,60.365951,48.582508,166.629850,0.21905,0.17629
3061,60.372661,48.585716,166.644880,0.21906,0.17629
3062,60.367233,48.582515,166.633910,0.21905,0.17629
3063,60.364009,48.581466,166.624020,0.21905,0.17629
3064,60.368442,48.584293,166.638240,0.21905,0.17629
3065,60.366081,48.583206,166.629250,0.21905,0.17630
3066,60.367488,48.583347,166.642360,0.21905,0.17629
3067,60.369949,48.585567,166.641060,0.21905,0.17629
3068,60.368694,48.584316,166.635130,0.21905,0.17629
3069,60.365760,48.586269,166.637450,0.21904,0.17630
3070,60.362640,48.582046,166.626830,0.21905,0.17630
3071,60.371692,48.585903,166.641780,0.21906,0.17629
3072,60.372333,48.589187,166.652400,0.21905,0.17629
3073,60.384601,48.598213,166.662990,0.21907,0.17631
3074,60.384666,48.594490,166.667480,0.21907,0.17629
3075,60.382102,48.591465,166.656610,0.21907,0.17629
3076,60.379711,48.592720,166.651710,0.21907,0.17630
3077,60.377498,48.588611,166.658000,0.21906,0.17629
3078,60.377006,48.591911,166.653770,0.21906,0.17630
3079,60.375278,48.588172,166.652520,0.21906,0.17629
3080,60.376712,48.592014,166.653070,0.21906,0.17630
3081,60.371391,48.588237,166.645410,0.21905,0.17630
3082,60.367382,48.585235,166.636180,0.21905,0.17630
3083,60.370834,48.585258,166.641000,0.21905,0.17629
3084,60.377582,48.591140,166.653220,0.21906,0.17630
3085,60.378009,48.592517,166.654250,0.21906,0.17630
3086,60.370727,48.586322,166.639030,0.21906,0.17630
3087,60.369625,48.582805,166.630430,0.21906,0.17629
3088,60.368453,48.584747,166.635200,0.21905,0.17629
3089,60.364456,48.579292,166.628140,0.21905,0.17629
3090,60.353790,48.571449,166.603080,0.21905,0.17628
3091,60.362941,48.578948,166.621350,0.21905,0.17629
3092,60.365871,48.582450,166.637160,0.21905,0.17629
3093,60.380050,48.593688,166.658640,0.21906,0.17630
3094,60.373298,48.587192,166.648550,0.21905,0.17629
3095,60.359737,48.577274,166.617880,0.21905,0.17629
3096,60.356411,48.575408,166.611930,0.21904,0.17629
3097,60.365985,48.580184,166.626580,0.21906,0.17629
3098,60.366897,48.582366,166.640020,0.21905,0.17629
3099,60.357654,48.577987,166.618710,0.21904,0.17629
3100,60.359851,48.578033,166.616040,0.21905,0.17629
3101,60.372715,48.586517,166.645210,0.21906,0.17629
3102,60.375476,48.589813,166.642020,0.21906,0.17630
3103,60.371807,48.585224,166.650360,0.21905,0.17628
3104,60.374221,48.586769,166.650490,0.21906,0.17629
3105,60.373039,48.584552,166.641170,0.21906,0.17629
3106,60.373661,48.588771,166.659080,0.21905,0.17629
3107,60.376491,48.589706,166.653990,0.21906,0.17629
3108,60.387435,48.597446,166.675300,0.21906,0.17629
3109,60.384841,48.594585,166.667400,0.21907,0.17629
3110,60.382411,48.593318,166.664260,0.21906,0.17629
3111,60.382293,48.598049,166.670680,0.21905,0.17630
3112,60.387821,48.597869,166.681380,0.21906,0.17629
3113,60.386653,48.595020,166.675970,0.21906,0.17629
3114,60.393119,48.602474,166.693050,0.21906,0.17629
3115,60.380867,48.594596,166.661630,0.21906,0.17630
3116,60.365112,48.580627,166.632490,0.21905,0.17629
3117,60.376106,48.586212,166.645910,0.21906,0.17629
3118,60.380348,48.593612,166.661490,0.21906,0.17630
3119,60.367771,48.583965,166.637080,0.21905,0.17629
3120,60.378150,48.591129,166.653900,0.21906,0.17630
3121,60.374591,48.590595,166.651530,0.21905,0.17630
3122,60.368995,48.584873,166.643140,0.21905,0.17629
3123,60.358821,48.575309,166.623700,0.21904,0.17628
3124,60.370121,48.588184,166.645700,0.21905,0.17630
3125,60.366542,48.580436,166.636810,0.21905,0.17628
3126,60.374534,48.586952,166.642150,0.21906,0.17629
3127,60.371116,48.587997,166.643120,0.21905,0.17630
3128,60.364810,48.581928,166.622430,0.21906,0.17630
3129,60.359111,48.576686,166.618190,0.21905,0.17629
3130,60.365497,48.581066,166.632260,0.21905,0.17629
3131,60.368511,48.581996,166.640040,0.21905,0.17628
3132,60.356994,48.575511,166.617840,0.21904,0.17629
3133,60.372673,48.587329,166.651240,0.21905,0.17629
3134,60.375221,48.591316,166.663540,0.21904,0.17629
3135,60.372226,48.586975,166.646590,0.21905,0.17629
3136,60.362869,48.580375,166.628810,0.21905,0.17629
3137,60.361072,48.579132,166.624200,0.21905,0.17629
3138,60.353324,48.572769,166.611430,0.21904,0.17628
3139,60.358669,48.578849,166.621790,0.21904,0.17629
3140,60.362373,48.580310,166.629590,0.21904,0.17629
3141,60.357288,48.575935,166.624340,0.21904,0.17628
3142,60.358535,48.577606,166.626170,0.21904,0.17629
3143,60.365543,48.584068,166.640790,0.21904,0.17629
3144,60.353092,48.573555,166.613230,0.21904,0.17629
3145,60.369571,48.586906,166.643430,0.21905,0.17630
3146,60.366233,48.581401,166.639490,0.21905,0.17628
3147,60.366489,48.583606,166.643990,0.21904,0.17629
3148,60.356052,48.574855,166.626110,0.21903,0.17628
3149,60.361152,48.579368,166.629310,0.21904,0.17629
3150,60.368675,48.585922,166.640930,0.21905,0.17629
3151,60.359531,48.582023,166.637310,0.21903,0.17629
3152,60.359237,48.579017,166.630560,0.21904,0.17629
3153,60.359817,48.578735,166.630000,0.21904,0.17629
3154,60.358867,48.579769,166.630290,0.21903,0.17629
3155,60.371677,48.588932,166.646300,0.21905,0.17630
3156,60.364440,48.584651,166.640940,0.21904,0.17629
3157,60.362213,48.582420,166.632030,0.21904,0.17629
3158,60.358287,48.580314,166.634910,0.21903,0.17629
3159,60.365261,48.580398,166.634970,0.21905,0.17628
3160,60.356994,48.577735,166.627820,0.21903,0.17629
3161,60.364929,48.582180,166.635290,0.21904,0.17629
3162,60.350894,48.575263,166.608870,0.21903,0.17629
3163,60.358078,48.577674,166.626840,0.21904,0.17629
3164,60.359298,48.581031,166.627420,0.21904,0.17629
3165,60.355537,48.573833,166.611520,0.21904,0.17629
3166,60.355888,48.576499,166.616070,0.21904,0.17629
3167,60.355789,48.577331,166.628750,0.21903,0.17628
3168,60.355194,48.575279,166.618980,0.21904,0.17629
3169,60.365135,48.581825,166.635680,0.21905,0.17629
3170,60.351684,48.573024,166.613800,0.21903,0.17628
3171,60.355110,48.575805,166.611460,0.21904,0.17629
3172,60.341854,48.563732,166.581830,0.21904,0.17628
3173,60.350051,48.573246,166.617880,0.21902,0.17628
3174,60.365818,48.582992,166.641280,0.21904,0.17629
3175,60.359855,48.576828,166.625060,0.21904,0.17628
3176,60.364360,48.580459,166.628060,0.21905,0.17629
3177,60.363986,48.580989,166.634910,0.21904,0.17629
3178,60.363426,48.580493,166.626430,0.21905,0.17629
3179,60.349861,48.573093,166.605070,0.21903,0.17629
3180,60.355125,48.576362,166.617990,0.21904,0.17629
3181,60.363372,48.581977,166.634380,0.21904,0.17629
3182,60.368431,48.586051,166.642800,0.21905,0.17629
3183,60.366718,48.581989,166.642710,0.21904,0.17628
3184,60.373985,48.587280,166.649300,0.21906,0.17629
3185,60.364757,48.579971,166.637840,0.21904,0.17628
3186,60.366630,48.582347,166.631860,0.21905,0.17629
3187,60.374210,48.588748,166.643200,0.21906,0.17630
3188,60.370388,48.582889,166.645610,0.21905,0.17628
3189,60.368812,48.583869,166.642820,0.21905,0.17629
3190,60.365982,48.582023,166.636810,0.21905,0.17629
3191,60.358207,48.574245,166.614340,0.21905,0.17628
3192,60.362400,48.580688,166.633450,0.21904,0.17629
3193,60.373519,48.587314,166.652090,0.21905,0.17629
3194,60.368259,48.582439,166.642990,0.21905,0.17628
3195,60.351947,48.570301,166.609390,0.21904,0.17628
3196,60.358879,48.574245,166.618220,0.21905,0.17628
3197,60.368766,48.582080,166.642760,0.21905,0.17628
3198,60.363693,48.577987,166.628180,0.21905,0.17628
3199,60.370475,48.582763,166.643720,0.21905,0.17628
3200,60.374282,48.588676,166.651330,0.21905,0.17629
3201,60.363128,48.581279,166.634040,0.21904,0.17629
3202,60.369125,48.585693,166.644690,0.21905,0.17629
3203,60.376262,48.587841,166.653220,0.21906,0.17629
3204,60.365127,48.581512,166.634460,0.21905,0.17629
3205,60.362350,48.577274,166.628250,0.21905,0.17628
3206,60.369216,48.584671,166.647880,0.21905,0.17629
3207,60.350189,48.568386,166.605660,0.21904,0.17628
3208,60.351821,48.571914,166.606640,0.21904,0.17629
3209,60.351665,48.574066,166.611670,0.21903,0.17629
3210,60.359817,48.576385,166.630630,0.21904,0.17628
3211,60.370010,48.585029,166.649590,0.21905,0.17629
3212,60.369930,48.583801,166.653100,0.21904,0.17628
3213,60.355979,48.572292,166.614500,0.21904,0.17628
3214,60.362907,48.580062,166.637260,0.21904,0.17628
3215,60.362865,48.580757,166.633620,0.21904,0.17629
3216,60.359962,48.574138,166.622020,0.21905,0.17628
3217,60.368400,48.581645,166.638650,0.21905,0.17628
3218,60.369686,48.581459,166.642560,0.21905,0.17628
3219,60.366855,48.582637,166.633130,0.21905,0.17629
3220,60.369773,48.584037,166.636650,0.21906,0.17629
3221,60.370746,48.587593,166.647360,0.21905,0.17629
3222,60.375846,48.591735,166.659400,0.21905,0.17630
