n,X,Y,Lv,x,y
3001,27.196535,12.538299,89.169342,0.21098,0.09727
3002,27.179784,12.532507,89.122108,0.21097,0.09728
3003,27.176170,12.528309,89.103317,0.21098,0.09726
3004,27.181304,12.533768,89.125717,0.21097,0.09728
3005,27.174484,12.527660,89.094970,0.21099,0.09727
3006,27.183862,12.536254,89.116195,0.21100,0.09730
3007,27.183944,12.534301,89.113952,0.21100,0.09729
3008,27.176681,12.534275,89.085861,0.21100,0.09732
3009,27.176507,12.532683,89.085739,0.21101,0.09731
3010,27.172021,12.531562,89.075729,0.21100,0.09731
3011,27.155036,12.522236,89.021385,0.21100,0.09730
3012,27.165334,12.528924,89.048721,0.21100,0.09732
3013,27.154203,12.521637,89.016563,0.21100,0.09730
3014,27.155666,12.522228,89.009948,0.21102,0.09731
3015,27.161909,12.527760,89.031867,0.21101,0.09732
3016,27.177906,12.535478,89.067672,0.21104,0.09734
3017,27.201534,12.549179,89.130233,0.21106,0.09737
3018,27.160570,12.528085,89.007209,0.21104,0.09735
3019,27.170129,12.531064,89.031303,0.21106,0.09734
3020,27.155141,12.523249,89.002944,0.21103,0.09732
3021,27.145559,12.521712,88.985702,0.21100,0.09733
3022,27.161798,12.529563,89.022071,0.21103,0.09734
3023,27.166639,12.532514,89.030090,0.21104,0.09736
3024,27.156932,12.525968,88.994476,0.21105,0.09734
3025,27.156837,12.526561,88.997337,0.21104,0.09735
3026,27.159786,12.528799,89.006538,0.21104,0.09735
3027,27.172660,12.537858,89.039878,0.21105,0.09738
3028,27.170299,12.533755,89.028839,0.21106,0.09736
3029,27.162965,12.528382,89.006706,0.21106,0.09735
3030,27.167953,12.531884,89.017028,0.21107,0.09736
3031,27.171230,12.534409,89.019935,0.21108,0.09737
3032,27.156703,12.527923,88.984054,0.21106,0.09737
3033,27.168434,12.532111,89.018318,0.21107,0.09736
3034,27.166770,12.532875,89.027450,0.21104,0.09736
3035,27.176605,12.538286,89.041511,0.21107,0.09738
3036,27.183023,12.540971,89.055793,0.21108,0.09738
3037,27.166952,12.533465,89.005523,0.21108,0.09738
3038,27.156311,12.527934,88.977668,0.21107,0.09737
3039,27.151630,12.528203,88.962882,0.21106,0.09739
3040,27.172859,12.536681,89.010841,0.21110,0.09739
3041,27.171936,12.536369,89.003936,0.21111,0.09740
3042,27.174104,12.537115,89.015129,0.21110,0.09739
3043,27.164806,12.530828,88.992614,0.21109,0.09737
3044,27.161054,12.528632,88.991783,0.21107,0.09736
3045,27.146648,12.518905,88.952087,0.21106,0.09733
3046,27.174604,12.536146,89.026313,0.21109,0.09738
3047,27.163030,12.532187,88.991683,0.21108,0.09739
3048,27.157455,12.527728,88.969558,0.21109,0.09737
3049,27.143247,12.523343,88.936142,0.21106,0.09738
