n,X,Y,Lv,x,y
3501,156.942410,81.136749,11.885368,0.62786,0.32459
3502,156.934520,81.130569,11.882352,0.62787,0.32459
3503,156.944440,81.135597,11.887487,0.62786,0.32458
3504,156.939480,81.132881,11.884621,0.62787,0.32459
3505,156.954080,81.139701,11.883489,0.62787,0.32459
3506,156.949140,81.139129,11.882174,0.62787,0.32459
3507,156.945540,81.135734,11.883371,0.62787,0.32459
3508,156.945950,81.139091,11.883256,0.62786,0.32460
3509,156.947290,81.135887,11.884384,0.62787,0.32459
3510,156.948630,81.139175,11.883595,0.62787,0.32459
3511,156.952480,81.140243,11.885186,0.62787,0.32459
3512,156.951180,81.138885,11.885899,0.62787,0.32459
3513,156.943670,81.138290,11.883531,0.62786,0.32460
3514,156.950040,81.137779,11.884228,0.62787,0.32459
3515,156.947180,81.140205,11.878152,0.62788,0.32461
3516,156.948940,81.142303,11.879600,0.62787,0.32461
3517,156.950400,81.140991,11.881288,0.62787,0.32460
3518,156.956610,81.142471,11.880371,0.62788,0.32460
3519,156.950340,81.142120,11.880870,0.62787,0.32460
3520,156.947700,81.136375,11.882078,0.62788,0.32459
3521,156.951230,81.141517,11.880708,0.62787,0.32460
3522,156.952250,81.141586,11.882387,0.62787,0.32460
3523,156.957100,81.143363,11.880579,0.62788,0.32460
3524,156.952950,81.142005,11.879322,0.62788,0.32460
3525,156.957160,81.144401,11.883524,0.62787,0.32460
3526,156.955120,81.142913,11.879315,0.62788,0.32460
3527,156.949950,81.139823,11.878570,0.62788,0.32460
3528,156.960110,81.146698,11.881573,0.62787,0.32460
3529,156.952810,81.140975,11.879537,0.62788,0.32460
3530,156.950620,81.143089,11.880801,0.62787,0.32461
3531,156.961100,81.147903,11.880933,0.62787,0.32460
3532,156.951440,81.139976,11.879643,0.62788,0.32460
3533,156.952070,81.138671,11.878522,0.62789,0.32459
3534,156.951330,81.138893,11.876320,0.62789,0.32460
3535,156.950080,81.136581,11.878661,0.62789,0.32459
3536,156.949550,81.139831,11.878162,0.62788,0.32460
3537,156.952600,81.139411,11.880399,0.62788,0.32459
3538,156.947280,81.136528,11.880527,0.62788,0.32459
3539,156.950340,81.140151,11.878008,0.62788,0.32460
3540,156.955930,81.141273,11.879481,0.62788,0.32460
3541,156.949890,81.141456,11.880405,0.62787,0.32460
3542,156.953470,81.141784,11.879928,0.62788,0.32460
