n,X,Y,Lv,x,y
3501,89.220077,56.322242,12.357824,0.56504,0.35670
3502,89.191139,56.303737,12.354951,0.56504,0.35669
3503,89.216156,56.320384,12.356887,0.56504,0.35670
3504,89.211425,56.314346,12.353130,0.56506,0.35669
3505,89.192276,56.303604,12.351299,0.56505,0.35670
3506,89.214080,56.313854,12.351496,0.56508,0.35669
3507,89.199928,56.307697,12.352376,0.56506,0.35669
3508,89.208595,56.314502,12.356395,0.56504,0.35669
3509,89.206558,56.311080,12.353108,0.56506,0.35669
3510,89.193107,56.303100,12.352344,0.56505,0.35669
3511,89.206779,56.311489,12.352909,0.56506,0.35669
3512,89.192558,56.302993,12.350825,0.56506,0.35669
3513,89.197090,56.307922,12.353479,0.56504,0.35670
3514,89.192367,56.303321,12.354826,0.56504,0.35669
3515,89.179054,56.295982,12.354042,0.56504,0.35669
3516,89.189056,56.300510,12.351934,0.56505,0.35669
3517,89.179595,56.296741,12.353867,0.56504,0.35669
3518,89.185989,56.298480,12.351582,0.56505,0.35669
3519,89.186012,56.296863,12.354753,0.56505,0.35668
3520,89.179946,56.295726,12.351631,0.56505,0.35669
3521,89.192970,56.302471,12.353211,0.56505,0.35669
3522,89.176979,56.292610,12.351018,0.56505,0.35669
3523,89.180885,56.296817,12.353380,0.56504,0.35669
3524,89.176155,56.291370,12.352990,0.56505,0.35668
3525,89.176544,56.293136,12.354240,0.56504,0.35668
3526,89.183547,56.297100,12.351182,0.56505,0.35669
3527,89.174163,56.290874,12.349562,0.56506,0.35669
3528,89.180549,56.294795,12.350709,0.56506,0.35669
3529,89.179466,56.293861,12.351469,0.56505,0.35669
3530,89.179786,56.294742,12.355065,0.56504,0.35668
3531,89.186401,56.300281,12.353604,0.56504,0.35669
3532,89.184188,56.297115,12.352585,0.56505,0.35669
3533,89.184600,56.299049,12.352146,0.56505,0.35669
3534,89.186645,56.298278,12.355328,0.56504,0.35668
3535,89.176307,56.294353,12.350101,0.56505,0.35670
3536,89.181884,56.296607,12.350835,0.56505,0.35669
3537,89.175964,56.295070,12.351125,0.56504,0.35670
3538,89.183372,56.297790,12.352147,0.56505,0.35669
3539,89.179145,56.296340,12.350343,0.56505,0.35670
3540,89.181716,56.297245,12.351366,0.56505,0.35669
3541,89.179306,56.296123,12.351538,0.56504,0.35670
3542,89.175819,56.290958,12.348014,0.56507,0.35669
3543,89.179595,56.296272,12.351369,0.56505,0.35670
3544,89.182113,56.294666,12.350644,0.56506,0.35668
3545,89.185150,56.298385,12.354921,0.56504,0.35668
3546,89.184417,56.297065,12.351564,0.56506,0.35669
3547,89.180084,56.294788,12.351451,0.56505,0.35669
3548,89.186798,56.301502,12.349928,0.56505,0.35670
3549,89.183082,56.298923,12.351791,0.56504,0.35670
3550,89.189262,56.301952,12.352539,0.56505,0.35669
3551,89.185791,56.300018,12.352947,0.56504,0.35669
3552,89.190010,56.300899,12.354246,0.56505,0.35668
3553,89.186653,56.299274,12.350749,0.56506,0.35669
3554,89.186187,56.301326,12.352115,0.56504,0.35670
3555,89.185585,56.300998,12.351228,0.56505,0.35670
3556,89.184394,56.299224,12.353378,0.56504,0.35669
3557,89.182701,56.296691,12.351034,0.56505,0.35669
3558,89.182189,56.296672,12.354991,0.56504,0.35668
3559,89.178321,56.292377,12.347737,0.56507,0.35669
3560,89.170974,56.289783,12.351178,0.56505,0.35669
3561,89.173797,56.292743,12.351598,0.56504,0.35669
3562,89.172325,56.289608,12.350719,0.56505,0.35669
3563,89.174346,56.291027,12.354644,0.56504,0.35668
3564,89.178176,56.293979,12.353374,0.56504,0.35668
3565,89.187126,56.297306,12.351642,0.56506,0.35668
3566,89.182792,56.300155,12.353337,0.56503,0.35670
3567,89.176551,56.292316,12.352373,0.56505,0.35668
3568,89.176788,56.296157,12.350580,0.56504,0.35670
3569,89.180793,56.296958,12.354797,0.56503,0.35669
3570,89.180946,56.297725,12.353931,0.56504,0.35669
3571,89.183143,56.299236,12.355053,0.56503,0.35669
3572,89.187065,56.301410,12.352875,0.56504,0.35670
3573,89.182724,56.296661,12.354570,0.56504,0.35668
3574,89.177383,56.293537,12.351078,0.56505,0.35669
3575,89.177696,56.295909,12.353344,0.56503,0.35669
