n,X,Y,Lv,x,y
3501,66.688034,31.502214,1.208623,0.67091,0.31693
3502,66.651618,31.482603,1.211102,0.67091,0.31690
3503,66.664207,31.488927,1.212000,0.67090,0.31690
3504,66.666664,31.485294,1.209767,0.67095,0.31688
3505,66.634613,31.475126,1.209785,0.67091,0.31691
3506,66.618095,31.467018,1.209044,0.67092,0.31691
3507,66.666168,31.492403,1.211018,0.67089,0.31692
3508,66.666481,31.493448,1.212155,0.67088,0.31692
3509,66.670646,31.493883,1.211332,0.67089,0.31692
3510,66.650306,31.481876,1.212963,0.67090,0.31689
3511,66.637168,31.478509,1.214230,0.67087,0.31691
3512,66.631149,31.474437,1.215180,0.67087,0.31690
3513,66.614883,31.464948,1.216823,0.67087,0.31688
3514,66.627311,31.471563,1.215398,0.67087,0.31689
3515,66.592208,31.454717,1.214269,0.67088,0.31689
3516,66.591262,31.453092,1.211376,0.67091,0.31689
3517,66.553421,31.434377,1.212416,0.67090,0.31688
3518,66.592758,31.458532,1.215427,0.67085,0.31691
3519,66.596687,31.457195,1.217793,0.67085,0.31688
3520,66.603080,31.458242,1.215996,0.67088,0.31687
3521,66.629844,31.474945,1.219919,0.67083,0.31689
3522,66.601432,31.458881,1.218222,0.67085,0.31687
3523,66.577735,31.450700,1.218059,0.67083,0.31689
3524,66.585327,31.454118,1.219042,0.67083,0.31689
3525,66.604873,31.464235,1.218365,0.67083,0.31690
3526,66.571258,31.449209,1.220447,0.67080,0.31690
3527,66.589172,31.454227,1.219439,0.67084,0.31688
3528,66.579521,31.447885,1.219436,0.67085,0.31687
3529,66.552566,31.432489,1.217473,0.67088,0.31685
3530,66.551185,31.436735,1.217129,0.67084,0.31689
3531,66.580818,31.450380,1.218718,0.67084,0.31688
3532,66.559593,31.438383,1.217521,0.67086,0.31687
3533,66.549095,31.434642,1.219076,0.67084,0.31687
3534,66.563491,31.443210,1.219730,0.67082,0.31688
3535,66.575782,31.449134,1.221053,0.67082,0.31688
3536,66.556396,31.435926,1.217422,0.67087,0.31686
3537,66.557060,31.443584,1.221175,0.67079,0.31690
3538,66.578231,31.449499,1.222608,0.67081,0.31687
3539,66.562492,31.441583,1.221635,0.67082,0.31687
3540,66.563262,31.440963,1.222565,0.67082,0.31686
3541,66.600051,31.459260,1.224050,0.67081,0.31686
3542,66.570213,31.448913,1.224632,0.67077,0.31689
3543,66.591674,31.454242,1.221903,0.67083,0.31686
3544,66.569023,31.446971,1.223031,0.67079,0.31688
3545,66.565551,31.446271,1.224098,0.67078,0.31688
3546,66.570838,31.447540,1.225146,0.67078,0.31687
3547,66.568717,31.444753,1.221201,0.67082,0.31687
3548,66.559532,31.441125,1.223718,0.67080,0.31687
3549,66.544975,31.434215,1.221760,0.67081,0.31687
3550,66.539337,31.430080,1.221818,0.67082,0.31686
3551,66.525161,31.428031,1.222519,0.67078,0.31689
3552,66.566909,31.443130,1.223684,0.67081,0.31686
3553,66.518798,31.419046,1.221147,0.67083,0.31686
3554,66.545372,31.433277,1.221783,0.67082,0.31687
3555,66.502800,31.416198,1.222191,0.67079,0.31688
3556,66.519241,31.422773,1.222398,0.67080,0.31688
3557,66.520103,31.426507,1.222325,0.67078,0.31690
3558,66.527313,31.427379,1.221225,0.67080,0.31689
3559,66.536735,31.432624,1.222271,0.67079,0.31689
3560,66.505126,31.415935,1.222298,0.67080,0.31687
3561,66.524841,31.422571,1.222777,0.67081,0.31686
3562,66.498031,31.411359,1.221349,0.67081,0.31687
3563,66.498275,31.412797,1.223514,0.67079,0.31687
3564,66.517013,31.421262,1.221992,0.67080,0.31687
3565,66.520858,31.421941,1.222066,0.67081,0.31687
3566,66.491798,31.404979,1.221915,0.67083,0.31684
3567,66.521446,31.423349,1.223228,0.67080,0.31687
3568,66.500953,31.411376,1.221399,0.67082,0.31686
3569,66.504234,31.413877,1.223060,0.67080,0.31686
3570,66.500473,31.414953,1.224146,0.67078,0.31688
3571,66.501808,31.414207,1.225534,0.67078,0.31686
3572,66.524826,31.422988,1.224577,0.67080,0.31685
3573,66.524093,31.424739,1.225995,0.67078,0.31686
3574,66.549041,31.435426,1.226024,0.67079,0.31686
3575,66.513603,31.418952,1.226115,0.67078,0.31686
3576,66.524559,31.423751,1.224265,0.67080,0.31686
3577,66.552963,31.437553,1.224315,0.67080,0.31686
3578,66.486000,31.408313,1.221141,0.67079,0.31689
3579,66.526390,31.425149,1.224203,0.67079,0.31686
3580,66.499153,31.410680,1.222742,0.67081,0.31686
3581,66.507247,31.413955,1.224484,0.67080,0.31685
3582,66.478881,31.402341,1.222974,0.67080,0.31686
3583,66.459884,31.393779,1.221788,0.67080,0.31687
3584,66.503921,31.411220,1.223607,0.67082,0.31684
3585,66.501190,31.413839,1.226643,0.67077,0.31686
3586,66.491668,31.409812,1.224825,0.67078,0.31687
3587,66.522850,31.421327,1.226609,0.67079,0.31684
3588,66.561416,31.439874,1.228282,0.67078,0.31684
3589,66.543655,31.433946,1.225837,0.67078,0.31686
3590,66.512222,31.421630,1.226911,0.67075,0.31688
3591,66.516502,31.420974,1.227994,0.67076,0.31685
3592,66.519958,31.419103,1.229523,0.67078,0.31683
3593,66.525405,31.423683,1.226452,0.67078,0.31685
3594,66.537757,31.432960,1.230056,0.67074,0.31686
3595,66.511909,31.417728,1.226670,0.67078,0.31685
3596,66.534690,31.431070,1.227751,0.67076,0.31687
3597,66.531311,31.427375,1.228183,0.67077,0.31685
3598,66.543235,31.434942,1.230953,0.67074,0.31686
3599,66.499847,31.413492,1.225806,0.67077,0.31686
3600,66.500808,31.410930,1.227541,0.67078,0.31684
3601,66.521415,31.423599,1.228467,0.67076,0.31685
3602,66.535278,31.432077,1.230915,0.67073,0.31686
3603,66.513961,31.416580,1.228336,0.67078,0.31683
3604,66.501144,31.412965,1.228349,0.67076,0.31685
3605,66.481788,31.404336,1.228201,0.67076,0.31685
3606,66.456855,31.394987,1.226931,0.67075,0.31687
3607,66.531349,31.432300,1.231263,0.67071,0.31687
3608,66.511421,31.422370,1.228583,0.67073,0.31688
3609,66.515899,31.418809,1.227525,0.67078,0.31684
3610,66.466911,31.398088,1.224555,0.67078,0.31687
3611,66.505943,31.413654,1.225191,0.67080,0.31685
3612,66.521911,31.423587,1.228195,0.67076,0.31685
3613,66.522972,31.422317,1.227483,0.67078,0.31684
3614,66.509841,31.417917,1.228682,0.67076,0.31685
3615,66.508743,31.415481,1.226445,0.67078,0.31685
3616,66.482391,31.405197,1.227314,0.67076,0.31686
3617,66.486663,31.408214,1.227018,0.67076,0.31686
3618,66.467262,31.397474,1.228446,0.67076,0.31685
3619,66.488296,31.407215,1.228695,0.67076,0.31685
3620,66.487381,31.404994,1.226987,0.67078,0.31684
3621,66.466873,31.395240,1.228009,0.67077,0.31684
3622,66.473747,31.399044,1.227038,0.67078,0.31684
3623,66.449386,31.388792,1.229007,0.67075,0.31684
3624,66.463546,31.392070,1.228794,0.67078,0.31682
3625,66.493797,31.408670,1.229237,0.67076,0.31684
3626,66.490325,31.406494,1.230506,0.67076,0.31683
3627,66.476440,31.403322,1.233709,0.67071,0.31684
3628,66.457778,31.394529,1.230836,0.67073,0.31685
3629,66.476478,31.406932,1.232856,0.67069,0.31687
3630,66.491325,31.413034,1.232358,0.67070,0.31687
3631,66.491088,31.410839,1.232428,0.67072,0.31685
3632,66.502487,31.413097,1.230176,0.67075,0.31684
3633,66.502319,31.412036,1.231239,0.67075,0.31683
3634,66.496673,31.409067,1.231915,0.67075,0.31682
3635,66.477668,31.403774,1.231371,0.67073,0.31685
3636,66.447219,31.385189,1.230308,0.67076,0.31682
3637,66.458709,31.393772,1.230047,0.67074,0.31684
3638,66.445823,31.387237,1.229844,0.67074,0.31684
3639,66.486251,31.404888,1.229297,0.67076,0.31684
3640,66.452728,31.388843,1.230727,0.67075,0.31683
3641,66.466011,31.396261,1.231101,0.67074,0.31684
3642,66.481132,31.402465,1.229529,0.67076,0.31683
3643,66.461669,31.395902,1.228691,0.67075,0.31685
3644,66.457160,31.389570,1.232393,0.67075,0.31681
3645,66.423370,31.376295,1.226475,0.67077,0.31685
3646,66.435409,31.382835,1.231378,0.67073,0.31684
3647,66.461624,31.394989,1.228627,0.67075,0.31685
3648,66.444892,31.387977,1.229692,0.67074,0.31685
3649,66.451911,31.387672,1.229501,0.67076,0.31683
3650,66.461769,31.392881,1.227321,0.67078,0.31684
3651,66.443756,31.386053,1.227695,0.67076,0.31685
3652,66.432662,31.379545,1.229478,0.67075,0.31683
3653,66.415374,31.372192,1.228396,0.67075,0.31684
3654,66.464675,31.393186,1.226383,0.67079,0.31683
3655,66.458648,31.392564,1.230615,0.67075,0.31683
3656,66.451499,31.386196,1.227958,0.67078,0.31682
3657,66.439003,31.385709,1.229733,0.67073,0.31685
3658,66.464042,31.397371,1.230147,0.67073,0.31685
3659,66.467597,31.399887,1.226837,0.67075,0.31687
3660,66.459838,31.393571,1.230363,0.67074,0.31684
3661,66.475433,31.403684,1.231327,0.67072,0.31686
3662,66.474533,31.398122,1.232306,0.67075,0.31682
3663,66.464874,31.397893,1.228513,0.67074,0.31686
3664,66.448616,31.392530,1.231218,0.67071,0.31686
3665,66.486534,31.404619,1.233142,0.67074,0.31682
3666,66.456878,31.391668,1.229543,0.67075,0.31684
3667,66.423828,31.375230,1.224574,0.67079,0.31685
3668,66.470191,31.395189,1.227939,0.67078,0.31682
3669,66.458328,31.390768,1.231621,0.67075,0.31682
3670,66.474868,31.398815,1.231380,0.67075,0.31682
3671,66.467575,31.395877,1.231235,0.67075,0.31683
3672,66.457954,31.391296,1.230004,0.67076,0.31683
3673,66.480018,31.402091,1.231869,0.67074,0.31683
3674,66.421516,31.375322,1.232459,0.67073,0.31683
3675,66.420433,31.374340,1.229229,0.67075,0.31684
3676,66.446960,31.387235,1.230937,0.67074,0.31683
3677,66.437736,31.382608,1.229454,0.67075,0.31684
3678,66.422355,31.377511,1.230554,0.67073,0.31685
3679,66.450363,31.389776,1.231750,0.67073,0.31684
3680,66.433403,31.382780,1.230240,0.67073,0.31685
3681,66.457107,31.392053,1.231018,0.67074,0.31683
3682,66.437377,31.384504,1.231002,0.67073,0.31685
3683,66.434364,31.381479,1.230714,0.67074,0.31684
3684,66.456573,31.390207,1.232157,0.67074,0.31682
3685,66.475547,31.400125,1.231935,0.67074,0.31683
3686,66.465881,31.394845,1.231381,0.67075,0.31682
3687,66.484268,31.400249,1.230997,0.67078,0.31680
3688,66.468193,31.398668,1.231308,0.67073,0.31684
3689,66.448104,31.389213,1.229698,0.67074,0.31685
3690,66.450645,31.389123,1.231181,0.67074,0.31683
3691,66.443077,31.388572,1.232973,0.67070,0.31685
3692,66.425445,31.378076,1.232989,0.67072,0.31683
3693,66.447875,31.391595,1.231258,0.67071,0.31686
3694,66.442543,31.385787,1.233859,0.67072,0.31683
3695,66.456459,31.391996,1.231365,0.67074,0.31684
3696,66.454742,31.393243,1.233441,0.67071,0.31684
3697,66.468879,31.397394,1.232257,0.67074,0.31683
3698,66.444824,31.387067,1.229666,0.67074,0.31684
3699,66.415740,31.372898,1.232456,0.67072,0.31683
3700,66.435722,31.384756,1.232069,0.67071,0.31685
3701,66.438339,31.384042,1.232554,0.67072,0.31683
3702,66.423728,31.380449,1.234026,0.67069,0.31685
3703,66.446334,31.385240,1.234613,0.67073,0.31681
3704,66.398193,31.366855,1.232451,0.67071,0.31684
3705,66.398033,31.366411,1.232535,0.67071,0.31684
3706,66.434959,31.383625,1.232330,0.67072,0.31684
3707,66.444908,31.390594,1.233871,0.67069,0.31685
3708,66.436347,31.386013,1.233452,0.67070,0.31685
3709,66.463500,31.396600,1.235119,0.67070,0.31683
3710,66.473732,31.401693,1.235603,0.67070,0.31683
3711,66.455604,31.391103,1.233271,0.67073,0.31683
3712,66.433837,31.381818,1.230525,0.67074,0.31684
3713,66.496261,31.413808,1.234959,0.67070,0.31685
3714,66.440917,31.389026,1.234525,0.67068,0.31685
3715,66.446899,31.389368,1.234613,0.67070,0.31684
3716,66.445343,31.386262,1.232024,0.67073,0.31683
3717,66.486419,31.409833,1.233166,0.67070,0.31686
3718,66.490646,31.407684,1.234111,0.67073,0.31683
