n,X,Y,Lv,x,y
4001,369.085960,390.944210,424.909210,0.31148,0.32993
4002,369.091360,390.948270,424.920680,0.31148,0.32993
4003,369.071560,390.922300,424.893640,0.31148,0.32992
4004,369.079010,390.939630,424.904080,0.31148,0.32993
4005,369.080710,390.933800,424.914210,0.31148,0.32992
4006,369.077360,390.933310,424.905540,0.31148,0.32992
4007,369.071990,390.926840,424.901240,0.31148,0.32992
4008,369.069330,390.928520,424.901670,0.31148,0.32993
4009,369.071920,390.936240,424.909170,0.31147,0.32993
4010,369.073360,390.928860,424.899440,0.31148,0.32993
4011,369.082180,390.931120,424.908140,0.31148,0.32992
4012,369.077630,390.937040,424.910030,0.31148,0.32993
4013,369.077420,390.931420,424.902030,0.31148,0.32992
4014,369.071890,390.932490,424.901760,0.31148,0.32993
4015,369.074850,390.922240,424.893760,0.31148,0.32992
4016,369.061400,390.921380,424.893060,0.31148,0.32993
4017,369.080780,390.931360,424.911800,0.31148,0.32992
4018,369.068870,390.925010,424.901090,0.31148,0.32992
4019,369.079740,390.933070,424.911620,0.31148,0.32992
4020,369.081900,390.937130,424.911710,0.31148,0.32992
4021,369.069850,390.926510,424.907100,0.31148,0.32992
4022,369.078970,390.921050,424.900080,0.31149,0.32992
4023,369.071100,390.921780,424.906370,0.31148,0.32992
4024,369.068140,390.914420,424.887690,0.31148,0.32992
4025,369.061090,390.909910,424.904750,0.31148,0.32992
4026,369.069090,390.925040,424.911800,0.31148,0.32992
4027,369.079520,390.928370,424.918270,0.31148,0.32992
4028,369.058380,390.903740,424.890590,0.31148,0.32992
4029,369.066040,390.920070,424.916190,0.31147,0.32992
4030,369.055660,390.920590,424.898190,0.31147,0.32993
4031,369.063230,390.918180,424.903320,0.31148,0.32992
4032,369.066000,390.919220,424.899710,0.31148,0.32992
4033,369.062190,390.918360,424.904410,0.31148,0.32992
4034,369.072810,390.929470,424.915100,0.31148,0.32992
4035,369.069120,390.921320,424.915100,0.31148,0.32992
4036,369.055510,390.916070,424.901180,0.31147,0.32992
4037,369.066740,390.922790,424.910270,0.31148,0.32992
4038,369.068600,390.920160,424.920010,0.31147,0.32992
4039,369.072990,390.933280,424.929800,0.31147,0.32992
4040,369.067810,390.922600,424.908840,0.31148,0.32992
4041,369.082820,390.932490,424.927240,0.31148,0.32992
4042,369.076040,390.933960,424.929770,0.31147,0.32992
4043,369.079010,390.931820,424.930570,0.31147,0.32992
4044,369.082550,390.938290,424.929800,0.31148,0.32992
4045,369.077200,390.929040,424.924860,0.31148,0.32992
4046,369.076500,390.939570,424.929930,0.31147,0.32992
4047,369.082240,390.930450,424.936090,0.31148,0.32991
4048,369.067590,390.922020,424.914270,0.31147,0.32992
4049,369.072660,390.937070,424.934780,0.31147,0.32992
4050,369.070830,390.920710,424.930870,0.31147,0.32991
4051,369.062280,390.919730,424.926050,0.31147,0.32992
4052,369.066460,390.921350,424.921140,0.31147,0.32992
4053,369.071160,390.922420,424.928950,0.31147,0.32991
4054,369.063380,390.920860,424.920100,0.31147,0.32992
4055,369.064660,390.920620,424.912440,0.31147,0.32992
4056,369.081900,390.938560,424.943050,0.31147,0.32992
4057,369.088620,390.937860,424.945640,0.31147,0.32991
4058,369.080100,390.934260,424.938780,0.31147,0.32992
4059,369.086940,390.942990,424.949670,0.31147,0.32992
4060,369.092710,390.943600,424.958520,0.31147,0.32991
4061,369.098350,390.948020,424.958700,0.31147,0.32991
4062,369.090200,390.940120,424.954460,0.31147,0.32991
4063,369.083430,390.928740,424.937500,0.31148,0.32991
4064,369.075680,390.931700,424.932950,0.31147,0.32992
4065,369.076750,390.933590,424.942650,0.31147,0.32991
4066,369.080350,390.932430,424.947840,0.31147,0.32991
4067,369.067010,390.925320,424.929800,0.31147,0.32992
4068,369.066340,390.924190,424.928890,0.31147,0.32992
4069,369.063900,390.920250,424.921600,0.31147,0.32992
4070,369.074950,390.925200,424.947200,0.31147,0.32991
4071,369.082450,390.933530,424.957820,0.31147,0.32991
4072,369.084470,390.935390,424.963160,0.31147,0.32991
4073,369.068380,390.918360,424.939940,0.31147,0.32991
4074,369.078580,390.935820,424.946500,0.31147,0.32991
4075,369.071530,390.928250,424.938900,0.31147,0.32991
4076,369.075860,390.930230,424.950370,0.31147,0.32991
4077,369.067960,390.917230,424.946280,0.31147,0.32991
4078,369.060910,390.919280,424.939390,0.31146,0.32991
4079,369.064230,390.918820,424.935480,0.31147,0.32991
4080,369.071070,390.923610,424.953670,0.31147,0.32991
4081,369.073080,390.928430,424.953790,0.31147,0.32991
4082,369.079980,390.929620,424.953240,0.31147,0.32991
4083,369.079890,390.932830,424.959280,0.31147,0.32991
4084,369.064810,390.924250,424.942560,0.31147,0.32991
4085,369.061820,390.922970,424.932000,0.31147,0.32992
4086,369.062890,390.923580,424.943840,0.31146,0.32991
4087,369.061850,390.920590,424.946500,0.31146,0.32991
4088,369.067230,390.921630,424.947840,0.31147,0.32991
4089,369.065910,390.918270,424.943260,0.31147,0.32991
4090,369.069000,390.915920,424.946590,0.31147,0.32991
4091,369.072050,390.928250,424.951620,0.31147,0.32991
4092,369.068540,390.922330,424.950100,0.31147,0.32991
4093,369.076200,390.926510,424.955160,0.31147,0.32991
4094,369.062400,390.919980,424.942810,0.31146,0.32991
4095,369.070060,390.918330,424.942130,0.31147,0.32991
4096,369.072870,390.928430,424.945060,0.31147,0.32991
4097,369.072290,390.926390,424.949400,0.31147,0.32991
4098,369.063990,390.908470,424.939720,0.31147,0.32991
4099,369.063930,390.920740,424.946280,0.31146,0.32991
4100,369.061700,390.907190,424.931700,0.31147,0.32991
4101,369.083280,390.931850,424.965600,0.31147,0.32991
4102,369.081930,390.927910,424.967160,0.31147,0.32990
4103,369.074460,390.932030,424.964080,0.31146,0.32991
4104,369.066920,390.919370,424.957450,0.31146,0.32991
4105,369.072870,390.921750,424.963430,0.31146,0.32990
4106,369.065240,390.915610,424.945030,0.31147,0.32991
4107,369.052520,390.900080,424.940030,0.31146,0.32990
4108,369.060720,390.913810,424.947720,0.31146,0.32991
4109,369.067320,390.925930,424.961120,0.31146,0.32991
4110,369.062190,390.909850,424.942680,0.31147,0.32991
4111,369.077110,390.919730,424.958190,0.31147,0.32990
4112,369.078580,390.929680,424.971980,0.31146,0.32990
4113,369.068750,390.919180,424.963800,0.31146,0.32990
4114,369.065240,390.908140,424.953150,0.31147,0.32990
4115,369.068050,390.914480,424.956420,0.31147,0.32990
4116,369.077200,390.927850,424.972470,0.31146,0.32990
4117,369.070520,390.915740,424.965480,0.31146,0.32990
4118,369.059530,390.919730,424.956510,0.31146,0.32991
4119,369.069760,390.922140,424.966980,0.31146,0.32990
4120,369.076810,390.929930,424.960840,0.31147,0.32991
4121,369.070430,390.917410,424.969720,0.31146,0.32990
4122,369.058220,390.910910,424.956260,0.31146,0.32990
4123,369.065790,390.916440,424.971060,0.31146,0.32990
4124,369.073420,390.913450,424.969020,0.31147,0.32990
4125,369.072230,390.926260,424.971430,0.31146,0.32990
4126,369.062920,390.918760,424.963500,0.31146,0.32990
4127,369.060940,390.914480,424.962120,0.31146,0.32990
4128,369.069700,390.922760,424.970790,0.31146,0.32990
4129,369.077240,390.930450,424.966150,0.31146,0.32991
4130,369.065850,390.914880,424.951690,0.31147,0.32990
4131,369.061820,390.910060,424.960140,0.31146,0.32990
4132,369.059720,390.906000,424.953180,0.31146,0.32990
4133,369.063040,390.911590,424.960510,0.31146,0.32990
4134,369.058220,390.900420,424.958860,0.31146,0.32990
4135,369.063750,390.910580,424.946500,0.31147,0.32990
4136,369.059960,390.909570,424.960510,0.31146,0.32990
4137,369.064420,390.909110,424.960290,0.31146,0.32990
4138,369.051080,390.904690,424.954920,0.31146,0.32990
4139,369.055810,390.914910,424.970240,0.31146,0.32990
4140,369.064080,390.918850,424.951290,0.31146,0.32991
4141,369.055230,390.904960,424.955960,0.31146,0.32990
4142,369.062530,390.909170,424.963040,0.31146,0.32990
4143,369.075500,390.922820,424.976890,0.31146,0.32990
4144,369.051510,390.907310,424.960810,0.31146,0.32990
4145,369.060150,390.909600,424.972010,0.31146,0.32990
4146,369.066490,390.923980,424.976740,0.31146,0.32990
4147,369.067620,390.918480,424.975400,0.31146,0.32990
4148,369.064480,390.917570,424.979240,0.31146,0.32990
4149,369.059600,390.913360,424.971370,0.31146,0.32990
4150,369.062530,390.911650,424.975150,0.31146,0.32990
4151,369.066190,390.908720,424.975120,0.31146,0.32989
4152,369.051970,390.903560,424.958280,0.31146,0.32990
4153,369.065210,390.917230,424.975400,0.31146,0.32990
4154,369.068170,390.919640,424.984890,0.31146,0.32990
4155,369.062530,390.915740,424.970700,0.31146,0.32990
4156,369.058070,390.916990,424.963010,0.31146,0.32990
4157,369.073080,390.917660,424.982970,0.31146,0.32990
4158,369.070120,390.914850,424.974600,0.31146,0.32990
4159,369.056880,390.911740,424.969570,0.31146,0.32990
4160,369.073510,390.915980,424.991020,0.31146,0.32989
4161,369.066550,390.916290,424.982110,0.31146,0.32990
4162,369.055480,390.903130,424.968290,0.31146,0.32990
4163,369.063620,390.912230,424.983330,0.31146,0.32990
4164,369.055660,390.907770,424.960170,0.31146,0.32990
4165,369.055960,390.903500,424.967160,0.31146,0.32990
