n,X,Y,Lv,x,y
4001,248.747400,268.139460,288.515010,0.30885,0.33293
4002,248.734190,268.135770,288.509300,0.30884,0.33293
4003,248.756740,268.150540,288.527920,0.30885,0.33293
4004,248.744700,268.131460,288.518090,0.30885,0.33292
4005,248.726160,268.116600,288.508110,0.30884,0.33292
4006,248.756430,268.156430,288.534850,0.30884,0.33293
4007,248.757040,268.151330,288.535790,0.30884,0.33292
4008,248.759410,268.154870,288.535490,0.30885,0.33293
4009,248.730220,268.127190,288.505120,0.30884,0.33293
4010,248.738540,268.139640,288.516780,0.30884,0.33293
4011,248.730560,268.122130,288.508200,0.30884,0.33292
4012,248.750850,268.146360,288.522270,0.30885,0.33293
4013,248.748650,268.145350,288.534790,0.30884,0.33292
4014,248.732600,268.126980,288.506710,0.30884,0.33293
4015,248.741950,268.141080,288.518820,0.30884,0.33293
4016,248.739070,268.138910,288.516600,0.30884,0.33293
4017,248.739830,268.136040,288.513210,0.30884,0.33293
4018,248.743280,268.140130,288.511470,0.30885,0.33293
4019,248.749380,268.139090,288.524230,0.30885,0.33292
4020,248.735610,268.134610,288.508910,0.30884,0.33293
4021,248.736720,268.123930,288.510190,0.30885,0.33292
4022,248.730200,268.124020,288.508810,0.30884,0.33292
4023,248.743920,268.132410,288.510310,0.30885,0.33292
4024,248.748380,268.145320,288.527340,0.30884,0.33293
4025,248.758720,268.141720,288.533290,0.30885,0.33292
4026,248.736950,268.120390,288.513510,0.30885,0.33292
4027,248.730490,268.116110,288.507870,0.30885,0.33292
4028,248.749840,268.136990,288.528220,0.30885,0.33292
4029,248.750450,268.144160,288.530210,0.30884,0.33292
4030,248.745570,268.131800,288.514280,0.30885,0.33292
4031,248.740230,268.132470,288.513820,0.30885,0.33292
4032,248.733500,268.114190,288.501770,0.30885,0.33292
4033,248.734050,268.118650,288.494780,0.30885,0.33292
4034,248.751310,268.148070,288.527250,0.30884,0.33293
4035,248.719550,268.114650,288.496150,0.30884,0.33293
4036,248.736400,268.128600,288.505920,0.30885,0.33293
4037,248.742410,268.136190,288.517020,0.30884,0.33292
4038,248.747750,268.133080,288.519190,0.30885,0.33292
4039,248.752760,268.140530,288.526240,0.30885,0.33292
4040,248.744270,268.136710,288.517730,0.30885,0.33292
4041,248.721030,268.107260,288.497770,0.30885,0.33292
4042,248.725780,268.114160,288.499350,0.30885,0.33292
4043,248.732420,268.120450,288.501800,0.30885,0.33292
4044,248.727980,268.116360,288.501550,0.30885,0.33292
4045,248.749430,268.138150,288.520960,0.30885,0.33292
4046,248.743040,268.137110,288.518820,0.30884,0.33292
4047,248.731760,268.121700,288.496030,0.30885,0.33293
4048,248.738580,268.127190,288.497160,0.30885,0.33293
4049,248.747460,268.142300,288.520050,0.30885,0.33293
4050,248.745880,268.142850,288.509640,0.30885,0.33293
4051,248.768690,268.165580,288.543150,0.30885,0.33293
4052,248.763450,268.145350,288.520960,0.30886,0.33292
4053,248.748450,268.137170,288.514220,0.30885,0.33292
4054,248.753980,268.137630,288.513760,0.30886,0.33292
4055,248.757840,268.144010,288.531000,0.30885,0.33292
4056,248.757460,268.143210,288.519560,0.30885,0.33292
4057,248.752210,268.134910,288.520470,0.30885,0.33292
4058,248.737560,268.128230,288.510650,0.30885,0.33292
4059,248.752470,268.141810,288.520110,0.30885,0.33292
4060,248.759700,268.144860,288.521170,0.30885,0.33292
4061,248.752440,268.134640,288.516630,0.30885,0.33292
4062,248.754860,268.143460,288.519770,0.30885,0.33292
4063,248.752880,268.137660,288.518370,0.30885,0.33292
4064,248.742960,268.133330,288.517120,0.30885,0.33292
4065,248.757730,268.146780,288.522880,0.30885,0.33292
4066,248.750560,268.139190,288.509330,0.30885,0.33293
4067,248.752340,268.141050,288.516990,0.30885,0.33292
4068,248.749260,268.141320,288.513790,0.30885,0.33293
4069,248.749050,268.135130,288.509970,0.30885,0.33292
4070,248.751030,268.136560,288.516720,0.30885,0.33292
4071,248.765730,268.150690,288.515440,0.30886,0.33293
4072,248.768920,268.150870,288.523070,0.30886,0.33292
4073,248.767040,268.149810,288.521750,0.30886,0.33292
4074,248.756830,268.140160,288.518150,0.30886,0.33292
4075,248.761480,268.161560,288.528190,0.30885,0.33293
4076,248.753730,268.139920,288.515130,0.30885,0.33292
4077,248.763180,268.156490,288.534020,0.30885,0.33293
4078,248.754110,268.146140,288.524200,0.30885,0.33293
4079,248.749430,268.143180,288.515280,0.30885,0.33293
4080,248.779310,268.171350,288.543300,0.30885,0.33293
4081,248.767160,268.161830,288.530850,0.30885,0.33293
4082,248.778320,268.174430,288.554680,0.30885,0.33293
