n,X,Y,Lv,x,y
4001,113.258850,117.861870,143.789360,0.30210,0.31437
4002,113.234040,117.836630,143.765480,0.30209,0.31437
4003,113.227040,117.825940,143.763100,0.30209,0.31436
4004,113.260070,117.854650,143.806830,0.30209,0.31434
4005,113.234210,117.825920,143.770640,0.30209,0.31434
4006,113.292520,117.891130,143.826320,0.30211,0.31437
4007,113.238220,117.835260,143.751690,0.30211,0.31437
4008,113.285360,117.879290,143.804640,0.30212,0.31437
4009,113.273690,117.871820,143.778060,0.30212,0.31439
4010,113.288260,117.893450,143.799950,0.30212,0.31440
4011,113.255250,117.853960,143.754510,0.30212,0.31439
4012,113.275920,117.862060,143.776610,0.30214,0.31437
4013,113.273070,117.866010,143.779550,0.30213,0.31438
4014,113.220450,117.798750,143.721750,0.30213,0.31435
4015,113.187860,117.753050,143.690520,0.30213,0.31432
4016,113.229920,117.781120,143.756660,0.30213,0.31428
4017,113.160440,117.706670,143.666000,0.30214,0.31428
4018,113.212960,117.765750,143.736060,0.30213,0.31428
4019,113.281150,117.848550,143.817840,0.30213,0.31431
4020,113.211380,117.757690,143.739710,0.30213,0.31426
4021,113.211970,117.747900,143.738260,0.30214,0.31425
4022,113.280620,117.831580,143.814750,0.30214,0.31428
4023,113.251640,117.798010,143.797100,0.30213,0.31426
4024,113.220490,117.761030,143.744460,0.30214,0.31426
4025,113.225370,117.767220,143.751720,0.30214,0.31426
4026,113.247760,117.796530,143.779170,0.30214,0.31427
4027,113.257910,117.792770,143.795620,0.30214,0.31424
4028,113.222250,117.741150,143.743910,0.30216,0.31422
4029,113.259230,117.793840,143.783340,0.30216,0.31425
4030,113.210280,117.739080,143.721320,0.30216,0.31425
4031,113.180140,117.714020,143.683830,0.30215,0.31426
4032,113.213740,117.751100,143.710470,0.30216,0.31428
4033,113.199530,117.728890,143.697760,0.30217,0.31426
4034,113.232710,117.768180,143.736140,0.30217,0.31427
4035,113.218960,117.747360,143.717080,0.30217,0.31426
4036,113.248260,117.782140,143.748880,0.30217,0.31427
4037,113.239830,117.767170,143.740840,0.30218,0.31426
4038,113.186340,117.711350,143.679990,0.30217,0.31425
4039,113.245640,117.778010,143.743780,0.30218,0.31427
4040,113.243350,117.760720,143.736890,0.30219,0.31425
4041,113.197610,117.714860,143.689590,0.30218,0.31424
4042,113.245140,117.763770,143.738440,0.30219,0.31425
4043,113.228270,117.743990,143.731720,0.30218,0.31423
4044,113.215520,117.730480,143.722820,0.30217,0.31423
4045,113.149390,117.643050,143.645010,0.30219,0.31419
4046,113.128500,117.616770,143.630520,0.30218,0.31417
4047,113.195960,117.696220,143.702080,0.30218,0.31420
4048,113.175750,117.666300,143.677120,0.30219,0.31418
4049,113.146800,117.638770,143.642830,0.30219,0.31418
4050,113.196600,117.697120,143.702880,0.30218,0.31420
4051,113.160640,117.655780,143.661110,0.30218,0.31419
4052,113.187060,117.684690,143.692820,0.30218,0.31419
4053,113.144020,117.622790,143.640880,0.30219,0.31416
4054,113.199180,117.697810,143.700140,0.30219,0.31420
4055,113.207800,117.713920,143.706280,0.30219,0.31422
4056,113.204360,117.710520,143.691750,0.30220,0.31422
4057,113.194380,117.683920,143.677240,0.30221,0.31420
4058,113.191450,117.685470,143.664930,0.30221,0.31421
4059,113.204460,117.700810,143.681930,0.30221,0.31421
4060,113.155330,117.646860,143.640240,0.30220,0.31419
4061,113.185110,117.675940,143.676360,0.30220,0.31419
4062,113.172370,117.657660,143.669120,0.30220,0.31417
4063,113.181990,117.659580,143.673120,0.30221,0.31417
4064,113.106830,117.571390,143.585230,0.30221,0.31414
4065,113.168800,117.640970,143.664040,0.30221,0.31415
4066,113.161360,117.625280,143.662970,0.30221,0.31413
4067,113.134870,117.598570,143.633330,0.30220,0.31413
4068,113.134710,117.598480,143.632980,0.30220,0.31413
4069,113.061080,117.514640,143.534170,0.30221,0.31412
4070,113.138980,117.601720,143.625010,0.30222,0.31414
4071,113.093290,117.562610,143.562500,0.30221,0.31416
4072,113.101960,117.567810,143.563430,0.30222,0.31416
4073,113.084500,117.541980,143.549570,0.30222,0.31414
4074,113.107100,117.586470,143.567260,0.30221,0.31418
4075,113.096230,117.568160,143.552680,0.30222,0.31417
4076,113.099600,117.573950,143.556620,0.30222,0.31418
4077,113.108930,117.572200,143.567330,0.30223,0.31416
4078,113.070550,117.524750,143.528180,0.30223,0.31413
4079,113.075090,117.536790,143.532950,0.30222,0.31415
4080,113.074720,117.540770,143.531170,0.30222,0.31416
4081,113.064950,117.520750,143.522350,0.30223,0.31414
4082,113.101350,117.564170,143.559230,0.30223,0.31415
4083,113.090910,117.554030,143.555950,0.30222,0.31415
4084,113.191570,117.664980,143.664670,0.30223,0.31417
4085,113.172420,117.633390,143.655510,0.30223,0.31414
4086,113.140130,117.600090,143.618240,0.30222,0.31414
4087,113.060560,117.501450,143.517190,0.30224,0.31411
4088,113.102160,117.559650,143.568220,0.30223,0.31414
4089,113.115310,117.571710,143.587340,0.30223,0.31413
4090,113.082640,117.529530,143.547600,0.30223,0.31412
4091,113.094580,117.550720,143.568690,0.30222,0.31413
4092,113.093170,117.534710,143.570080,0.30223,0.31410
4093,113.072600,117.521320,143.539840,0.30223,0.31412
4094,113.110350,117.556120,143.583160,0.30223,0.31411
4095,113.137540,117.588770,143.622660,0.30222,0.31412
4096,113.064620,117.498290,143.537840,0.30223,0.31408
4097,113.093850,117.546800,143.559350,0.30223,0.31413
4098,113.121130,117.569720,143.590050,0.30224,0.31412
4099,113.073460,117.507180,143.540670,0.30224,0.31409
4100,113.115110,117.563100,143.592460,0.30223,0.31411
4101,113.051400,117.480410,143.518290,0.30224,0.31408
4102,113.086110,117.523620,143.553230,0.30224,0.31410
4103,113.076540,117.516790,143.539060,0.30224,0.31410
4104,113.071840,117.518180,143.529490,0.30223,0.31412
4105,113.140440,117.585720,143.613110,0.30224,0.31412
4106,113.098630,117.545150,143.573360,0.30223,0.31411
4107,113.107740,117.535950,143.582100,0.30224,0.31408
4108,113.060240,117.489470,143.528100,0.30224,0.31408
4109,113.068730,117.496310,143.538340,0.30224,0.31407
