n,X,Y,Lv,x,y
4501,294.645010,346.846670,57.483928,0.42154,0.49622
4502,294.643700,346.863760,57.487541,0.42152,0.49623
4503,294.647090,346.870110,57.490039,0.42152,0.49623
4504,294.625000,346.834710,57.479881,0.42153,0.49623
4505,294.642510,346.869650,57.494644,0.42152,0.49623
4506,294.637420,346.838980,57.489631,0.42153,0.49622
4507,294.642760,346.860990,57.484020,0.42153,0.49623
4508,294.642330,346.854430,57.481826,0.42153,0.49623
4509,294.643610,346.848410,57.484363,0.42154,0.49622
4510,294.653190,346.867180,57.485496,0.42153,0.49623
4511,294.643210,346.859130,57.488677,0.42153,0.49623
4512,294.651640,346.861540,57.477535,0.42154,0.49623
4513,294.642450,346.859310,57.485061,0.42153,0.49623
4514,294.628900,346.842830,57.476062,0.42153,0.49624
4515,294.641600,346.865290,57.474884,0.42153,0.49624
4516,294.639310,346.851100,57.477592,0.42153,0.49623
4517,294.634060,346.852720,57.480995,0.42153,0.49624
4518,294.641570,346.862510,57.480625,0.42153,0.49624
4519,294.629110,346.838740,57.479568,0.42153,0.49623
4520,294.643090,346.860010,57.485618,0.42153,0.49623
4521,294.643820,346.859830,57.482879,0.42153,0.49623
4522,294.629540,346.845270,57.477390,0.42153,0.49624
4523,294.651030,346.863430,57.483230,0.42153,0.49623
4524,294.646080,346.858450,57.482254,0.42153,0.49623
4525,294.632780,346.860620,57.481075,0.42152,0.49624
4526,294.641900,346.851370,57.477561,0.42154,0.49623
4527,294.650600,346.862510,57.477031,0.42154,0.49623
4528,294.639800,346.865570,57.479290,0.42153,0.49624
4529,294.641170,346.855740,57.476791,0.42153,0.49624
4530,294.644920,346.859430,57.477752,0.42153,0.49624
4531,294.645750,346.859250,57.482467,0.42153,0.49623
4532,294.653590,346.865660,57.481624,0.42154,0.49623
4533,294.649900,346.868190,57.482669,0.42153,0.49623
4534,294.638090,346.867240,57.475727,0.42153,0.49625
4535,294.646480,346.867120,57.480869,0.42153,0.49624
4536,294.642270,346.865500,57.475433,0.42153,0.49624
4537,294.637200,346.854700,57.475738,0.42153,0.49624
4538,294.640190,346.861410,57.480983,0.42153,0.49624
4539,294.631190,346.837150,57.465126,0.42154,0.49624
4540,294.636260,346.848840,57.462116,0.42154,0.49624
4541,294.630240,346.839780,57.468494,0.42154,0.49624
4542,294.636190,346.844940,57.472187,0.42154,0.49623
4543,294.635430,346.852840,57.466793,0.42154,0.49624
4544,294.623260,346.836730,57.461231,0.42154,0.49625
4545,294.634580,346.852260,57.467697,0.42154,0.49624
4546,294.634090,346.849670,57.465995,0.42154,0.49624
4547,294.630180,346.840910,57.460887,0.42154,0.49624
4548,294.624600,346.842520,57.460651,0.42154,0.49625
4549,294.625150,346.842740,57.470478,0.42153,0.49624
4550,294.636040,346.859030,57.470237,0.42153,0.49625
4551,294.631280,346.849150,57.471118,0.42153,0.49624
4552,294.639920,346.851220,57.469039,0.42154,0.49624
4553,294.644680,346.855830,57.469467,0.42154,0.49624
4554,294.645900,346.857330,57.471855,0.42154,0.49624
4555,294.624960,346.849670,57.467952,0.42153,0.49625
4556,294.628900,346.841490,57.462921,0.42154,0.49624
4557,294.632750,346.854180,57.460144,0.42154,0.49625
4558,294.641750,346.857230,57.471916,0.42154,0.49624
4559,294.637230,346.858090,57.469646,0.42153,0.49625
4560,294.638480,346.853910,57.472232,0.42154,0.49624
4561,294.642240,346.862090,57.466407,0.42154,0.49625
4562,294.628380,346.853110,57.466354,0.42153,0.49625
4563,294.637870,346.853690,57.463329,0.42154,0.49625
4564,294.630030,346.848230,57.465106,0.42154,0.49625
4565,294.633390,346.853020,57.466278,0.42154,0.49625
4566,294.630850,346.848810,57.461643,0.42154,0.49625
4567,294.631070,346.848230,57.463085,0.42154,0.49625
4568,294.624780,346.837460,57.463050,0.42154,0.49624
4569,294.641470,346.855710,57.465328,0.42154,0.49624
4570,294.646540,346.874750,57.468002,0.42153,0.49625
4571,294.637050,346.852410,57.464027,0.42154,0.49625
4572,294.639860,346.864590,57.473983,0.42153,0.49625
