n,X,Y,Lv,x,y
4501,191.001440,218.622200,31.433662,0.43305,0.49568
4502,190.999860,218.620950,31.437465,0.43305,0.49567
4503,191.005700,218.632290,31.443351,0.43304,0.49567
4504,190.994970,218.610930,31.437431,0.43305,0.49567
4505,190.985590,218.606200,31.432888,0.43305,0.49568
4506,190.992910,218.608710,31.439216,0.43305,0.49567
4507,190.991500,218.599710,31.435150,0.43306,0.49566
4508,190.996840,218.615760,31.434997,0.43305,0.49567
4509,191.009470,218.629020,31.434289,0.43306,0.49568
4510,190.998840,218.622830,31.435905,0.43305,0.49568
4511,191.011160,218.629160,31.436994,0.43306,0.49567
4512,190.997680,218.619680,31.435100,0.43305,0.49568
4513,190.991040,218.619260,31.440097,0.43304,0.49568
4514,191.002010,218.627480,31.438900,0.43304,0.49568
4515,190.991710,218.612500,31.434253,0.43305,0.49568
4516,190.981900,218.593520,31.437480,0.43305,0.49566
4517,190.991400,218.608560,31.434501,0.43305,0.49567
4518,190.992910,218.612270,31.435684,0.43305,0.49567
4519,190.992200,218.613030,31.436079,0.43305,0.49567
4520,190.992060,218.624140,31.435497,0.43304,0.49569
4521,190.985990,218.615610,31.431335,0.43304,0.49569
4522,191.004620,218.625390,31.439529,0.43305,0.49567
4523,190.997050,218.626090,31.435844,0.43304,0.49568
4524,190.995570,218.622550,31.432670,0.43305,0.49569
4525,190.992590,218.613020,31.433708,0.43305,0.49568
4526,190.999380,218.631860,31.437072,0.43304,0.49569
4527,190.997420,218.613310,31.433101,0.43306,0.49567
4528,190.978080,218.599630,31.430801,0.43305,0.49568
4529,190.985040,218.604370,31.436840,0.43305,0.49567
4530,190.982580,218.597440,31.432491,0.43305,0.49567
4531,190.997770,218.616110,31.431537,0.43306,0.49568
4532,190.993830,218.608880,31.435569,0.43305,0.49567
4533,190.992500,218.613440,31.440271,0.43304,0.49567
4534,190.994460,218.624810,31.438030,0.43304,0.49568
4535,190.987620,218.609350,31.433492,0.43305,0.49568
4536,190.994520,218.622030,31.435762,0.43304,0.49568
4537,190.995540,218.625180,31.432930,0.43304,0.49569
4538,190.992670,218.611120,31.428012,0.43306,0.49568
4539,190.981750,218.607260,31.435886,0.43304,0.49568
4540,190.987450,218.605080,31.437915,0.43305,0.49567
4541,190.989240,218.605560,31.432628,0.43306,0.49567
4542,190.988780,218.608620,31.438726,0.43305,0.49567
4543,190.984870,218.608680,31.431695,0.43305,0.49568
4544,190.995620,218.616920,31.434865,0.43305,0.49568
4545,191.002990,218.619200,31.438821,0.43305,0.49567
4546,190.978910,218.599620,31.434249,0.43305,0.49568
4547,190.998530,218.619290,31.434169,0.43305,0.49568
4548,190.978480,218.606200,31.434450,0.43304,0.49568
4549,190.974160,218.607420,31.433822,0.43303,0.49569
4550,190.976970,218.604320,31.431871,0.43304,0.49569
4551,190.969920,218.600750,31.435508,0.43303,0.49569
4552,190.986720,218.609930,31.435709,0.43304,0.49568
4553,190.995420,218.618240,31.435455,0.43305,0.49568
4554,190.979990,218.599360,31.431314,0.43305,0.49568
4555,190.983910,218.615090,31.434450,0.43304,0.49569
4556,190.990150,218.613060,31.433021,0.43305,0.49568
4557,190.974700,218.594050,31.431238,0.43305,0.49568
4558,190.977630,218.595650,31.429967,0.43305,0.49568
4559,190.984770,218.604350,31.432661,0.43305,0.49568
4560,190.980520,218.597290,31.431610,0.43305,0.49567
4561,190.966290,218.586180,31.434953,0.43304,0.49567
4562,190.975760,218.591980,31.431343,0.43305,0.49567
4563,190.972760,218.585080,31.429008,0.43306,0.49567
4564,190.968100,218.582150,31.430988,0.43305,0.49567
4565,190.972000,218.587930,31.433099,0.43305,0.49567
4566,190.978770,218.597530,31.433097,0.43305,0.49568
4567,190.975350,218.594800,31.434162,0.43305,0.49567
4568,190.974650,218.596290,31.433124,0.43305,0.49568
4569,190.977790,218.608260,31.433610,0.43304,0.49569
4570,190.976680,218.599830,31.433746,0.43304,0.49568
4571,190.985910,218.616180,31.438087,0.43304,0.49568
4572,190.981210,218.607630,31.436450,0.43304,0.49568
4573,190.976820,218.602440,31.434726,0.43304,0.49568
4574,190.980600,218.597700,31.438167,0.43305,0.49567
4575,190.960290,218.581610,31.436000,0.43304,0.49567
4576,190.965940,218.586910,31.435525,0.43304,0.49567
4577,190.964870,218.589180,31.435972,0.43304,0.49568
4578,190.973600,218.596900,31.434429,0.43304,0.49568
4579,190.971450,218.592420,31.429058,0.43305,0.49568
4580,190.961700,218.595100,31.434198,0.43303,0.49569
4581,190.986840,218.600170,31.435600,0.43305,0.49567
4582,190.991190,218.611570,31.435140,0.43305,0.49568
4583,190.984130,218.608520,31.438247,0.43304,0.49568
4584,190.989990,218.621730,31.438369,0.43303,0.49568
4585,191.001520,218.620370,31.442880,0.43305,0.49567
4586,190.988350,218.603360,31.436033,0.43305,0.49567
4587,190.988430,218.610300,31.436784,0.43305,0.49568
4588,190.984900,218.610580,31.441026,0.43304,0.49567
4589,190.998730,218.627380,31.439676,0.43304,0.49568
4590,190.983410,218.610410,31.438135,0.43304,0.49568
4591,190.981200,218.611400,31.434562,0.43304,0.49569
4592,190.986450,218.615230,31.439506,0.43304,0.49568
4593,190.982630,218.605710,31.434192,0.43305,0.49568
4594,190.986090,218.615810,31.438617,0.43304,0.49568
4595,190.990860,218.610240,31.436380,0.43305,0.49567
4596,190.990200,218.616300,31.441661,0.43304,0.49567
4597,190.991800,218.619990,31.433383,0.43304,0.49569
4598,190.990810,218.611960,31.438795,0.43304,0.49567
4599,190.987710,218.609220,31.439853,0.43304,0.49567
4600,190.996680,218.614820,31.435880,0.43305,0.49567
4601,190.998150,218.619670,31.437091,0.43305,0.49567
4602,190.996000,218.622360,31.441204,0.43304,0.49568
4603,190.995880,218.621240,31.439353,0.43304,0.49568
4604,190.989560,218.614970,31.438354,0.43304,0.49568
4605,190.981910,218.609480,31.433950,0.43304,0.49568
4606,190.987560,218.610700,31.437900,0.43304,0.49568
4607,190.987860,218.609930,31.439327,0.43304,0.49567
4608,190.998650,218.622660,31.434629,0.43305,0.49568
4609,190.997080,218.622310,31.437549,0.43304,0.49568
4610,190.988170,218.616330,31.437507,0.43304,0.49568
4611,190.998070,218.624740,31.438333,0.43304,0.49568
4612,190.997720,218.626440,31.437297,0.43304,0.49568
4613,191.011100,218.648340,31.437561,0.43304,0.49569
4614,191.005030,218.633420,31.440120,0.43304,0.49568
4615,191.007110,218.644690,31.442060,0.43303,0.49569
4616,190.993770,218.621670,31.441036,0.43304,0.49568
4617,190.989390,218.614220,31.438882,0.43304,0.49568
4618,191.008010,218.639610,31.445350,0.43303,0.49568
4619,190.990760,218.616070,31.437646,0.43304,0.49568
4620,191.000700,218.622450,31.437135,0.43305,0.49567
4621,190.996320,218.629110,31.435215,0.43304,0.49569
4622,190.990440,218.619440,31.433019,0.43304,0.49569
4623,190.995480,218.623700,31.440887,0.43304,0.49568
4624,190.989130,218.611050,31.434791,0.43305,0.49568
4625,191.001220,218.624320,31.437004,0.43305,0.49568
4626,190.994990,218.623680,31.437080,0.43304,0.49568
4627,190.992930,218.619410,31.440441,0.43304,0.49568
4628,190.990500,218.613460,31.433570,0.43305,0.49568
