n,X,Y,Lv,x,y
4501,93.460693,112.148720,6.254650,0.44114,0.52934
4502,93.434127,112.115190,6.256022,0.44113,0.52933
4503,93.464706,112.148820,6.258223,0.44114,0.52932
4504,93.470947,112.162770,6.258145,0.44113,0.52934
4505,93.425743,112.092810,6.251728,0.44117,0.52931
4506,93.446556,112.110550,6.254756,0.44118,0.52929
4507,93.399589,112.057910,6.250062,0.44117,0.52931
4508,93.403007,112.069930,6.253188,0.44115,0.52932
4509,93.451614,112.116690,6.253241,0.44118,0.52930
4510,93.417907,112.089910,6.252514,0.44115,0.52932
4511,93.426521,112.087220,6.252247,0.44118,0.52930
4512,93.389144,112.040740,6.249941,0.44118,0.52929
4513,93.417533,112.087920,6.252800,0.44115,0.52932
4514,93.443313,112.124100,6.255713,0.44114,0.52933
4515,93.414321,112.087120,6.253840,0.44114,0.52932
4516,93.397102,112.059860,6.250496,0.44116,0.52931
4517,93.416473,112.094840,6.253999,0.44113,0.52934
4518,93.408164,112.078000,6.250448,0.44115,0.52933
4519,93.382156,112.051360,6.250849,0.44114,0.52933
4520,93.418693,112.085960,6.253627,0.44116,0.52931
4521,93.389228,112.045730,6.250763,0.44117,0.52930
4522,93.443367,112.114320,6.253673,0.44116,0.52931
4523,93.400779,112.064430,6.250876,0.44116,0.52931
4524,93.377647,112.035340,6.246720,0.44117,0.52932
4525,93.428062,112.102240,6.252591,0.44115,0.52933
4526,93.412307,112.089560,6.252231,0.44114,0.52934
4527,93.378318,112.036680,6.247991,0.44117,0.52932
4528,93.401809,112.058150,6.249620,0.44118,0.52930
4529,93.376068,112.034750,6.248439,0.44116,0.52932
4530,93.387664,112.046640,6.248971,0.44117,0.52931
4531,93.346557,111.993350,6.247179,0.44117,0.52930
4532,93.379226,112.039730,6.247220,0.44116,0.52932
4533,93.379936,112.045070,6.251582,0.44114,0.52932
4534,93.390548,112.049320,6.250737,0.44117,0.52931
4535,93.333648,111.978970,6.248081,0.44117,0.52930
4536,93.371917,112.024700,6.248714,0.44117,0.52930
4537,93.360038,112.020080,6.247706,0.44115,0.52933
4538,93.382797,112.038650,6.249072,0.44117,0.52931
4539,93.371826,112.028120,6.248459,0.44116,0.52931
4540,93.298797,111.924240,6.241015,0.44120,0.52928
4541,93.351242,111.998190,6.247118,0.44118,0.52930
4542,93.400886,112.073050,6.252671,0.44114,0.52933
4543,93.368576,112.012070,6.246361,0.44119,0.52929
4544,93.346435,111.977760,6.245988,0.44121,0.52927
4545,93.378166,112.024580,6.248296,0.44119,0.52929
4546,93.351219,111.999460,6.248097,0.44117,0.52930
4547,93.383522,112.033260,6.250070,0.44118,0.52929
4548,93.379791,112.033270,6.250973,0.44117,0.52930
4549,93.366455,112.030630,6.249142,0.44114,0.52933
4550,93.360641,112.018110,6.248428,0.44116,0.52932
4551,93.388618,112.051770,6.251158,0.44115,0.52932
4552,93.314620,111.944430,6.245659,0.44119,0.52928
4553,93.351890,111.997450,6.247125,0.44118,0.52930
4554,93.329193,111.967910,6.247088,0.44118,0.52929
4555,93.367973,112.007370,6.247981,0.44120,0.52928
4556,93.347999,111.989020,6.249419,0.44118,0.52928
4557,93.334350,111.968780,6.246641,0.44119,0.52928
4558,93.373184,112.028320,6.246976,0.44117,0.52931
4559,93.350006,111.991220,6.248776,0.44118,0.52928
4560,93.365966,112.016650,6.251051,0.44117,0.52930
4561,93.330131,111.971650,6.246488,0.44118,0.52930
4562,93.326339,111.966590,6.245305,0.44118,0.52930
4563,93.308456,111.943160,6.242084,0.44119,0.52930
4564,93.359085,112.008370,6.245211,0.44118,0.52931
4565,93.375961,112.021850,6.248569,0.44119,0.52929
4566,93.335609,111.975370,6.246797,0.44118,0.52929
4567,93.334762,111.972540,6.246012,0.44119,0.52929
4568,93.380386,112.036590,6.249895,0.44117,0.52931
4569,93.366577,112.003950,6.247318,0.44120,0.52927
4570,93.355873,111.996940,6.244772,0.44120,0.52929
4571,93.337509,111.972530,6.245856,0.44120,0.52928
4572,93.326461,111.967840,6.245077,0.44118,0.52930
4573,93.385490,112.043930,6.249112,0.44117,0.52931
4574,93.384452,112.043920,6.250124,0.44116,0.52931
4575,93.370010,112.022870,6.249009,0.44117,0.52930
4576,93.390541,112.046920,6.247034,0.44118,0.52931
4577,93.392837,112.060250,6.249576,0.44115,0.52933
4578,93.349967,111.986370,6.246188,0.44120,0.52928
4579,93.363227,112.017450,6.244757,0.44117,0.52932
4580,93.367324,112.031720,6.249687,0.44114,0.52933
4581,93.387809,112.053510,6.250713,0.44115,0.52932
4582,93.383552,112.047550,6.251449,0.44115,0.52932
4583,93.349136,112.001020,6.249040,0.44116,0.52931
4584,93.350112,112.002890,6.246447,0.44116,0.52932
4585,93.358772,112.011370,6.248785,0.44116,0.52931
4586,93.354980,111.998520,6.247880,0.44118,0.52929
4587,93.383392,112.041090,6.249004,0.44117,0.52931
4588,93.361885,112.015850,6.248041,0.44116,0.52931
4589,93.335823,111.968940,6.245776,0.44120,0.52928
4590,93.346717,111.981970,6.245110,0.44120,0.52928
4591,93.358078,112.003820,6.248459,0.44118,0.52929
4592,93.352539,112.006820,6.247052,0.44116,0.52932
4593,93.345886,111.983770,6.245834,0.44119,0.52929
4594,93.301116,111.924890,6.243106,0.44120,0.52927
4595,93.307136,111.931770,6.242106,0.44121,0.52928
4596,93.287475,111.907080,6.241848,0.44121,0.52927
4597,93.334404,111.963920,6.242752,0.44121,0.52928
4598,93.318038,111.945350,6.244994,0.44120,0.52927
4599,93.319396,111.936330,6.242675,0.44123,0.52925
4600,93.308830,111.927880,6.241251,0.44122,0.52926
4601,93.300506,111.918250,6.243277,0.44122,0.52926
4602,93.277534,111.892240,6.240150,0.44122,0.52927
4603,93.281478,111.899500,6.239702,0.44121,0.52927
4604,93.271301,111.874720,6.239766,0.44124,0.52924
4605,93.288154,111.907040,6.240952,0.44121,0.52927
4606,93.343223,111.986330,6.247794,0.44118,0.52929
4607,93.366516,112.011000,6.248092,0.44119,0.52929
4608,93.326057,111.953920,6.246818,0.44120,0.52927
4609,93.344955,111.972190,6.247276,0.44121,0.52926
4610,93.315017,111.941860,6.243187,0.44121,0.52928
4611,93.331115,111.956210,6.245191,0.44121,0.52926
4612,93.310775,111.937750,6.242679,0.44120,0.52928
4613,93.325859,111.954100,6.242498,0.44121,0.52928
4614,93.286430,111.902290,6.238805,0.44122,0.52927
4615,93.287612,111.899050,6.243265,0.44122,0.52925
4616,93.348815,111.982590,6.247599,0.44120,0.52927
4617,93.323677,111.962750,6.244367,0.44118,0.52930
4618,93.281242,111.892270,6.240528,0.44123,0.52926
4619,93.338005,111.966880,6.245287,0.44121,0.52927
4620,93.370994,112.017390,6.246386,0.44119,0.52930
4621,93.297569,111.932390,6.244020,0.44118,0.52930
4622,93.323150,111.961420,6.242699,0.44119,0.52930
4623,93.284706,111.909160,6.240351,0.44120,0.52929
4624,93.329826,111.981920,6.245685,0.44116,0.52932
4625,93.339881,111.974100,6.244870,0.44120,0.52928
4626,93.287063,111.913820,6.241357,0.44119,0.52929
4627,93.328872,111.961030,6.245216,0.44120,0.52928
4628,93.353210,111.983710,6.245100,0.44122,0.52927
4629,93.317604,111.947370,6.243611,0.44120,0.52928
4630,93.332321,111.977820,6.245056,0.44117,0.52931
4631,93.330612,111.965050,6.244386,0.44120,0.52929
4632,93.301834,111.931810,6.241003,0.44120,0.52929
4633,93.334892,111.968020,6.243806,0.44120,0.52928
4634,93.341163,111.972800,6.247145,0.44120,0.52927
4635,93.349113,111.996030,6.244623,0.44118,0.52931
4636,93.366668,112.010560,6.245386,0.44119,0.52929
4637,93.351463,111.998350,6.245708,0.44118,0.52930
4638,93.317558,111.941600,6.241335,0.44122,0.52927
4639,93.292724,111.918440,6.243006,0.44120,0.52928
4640,93.359329,112.007360,6.245403,0.44118,0.52931
4641,93.342056,111.992620,6.246717,0.44116,0.52931
4642,93.337432,111.975510,6.241805,0.44120,0.52930
4643,93.346313,111.992870,6.243951,0.44118,0.52931
4644,93.345069,111.985320,6.244443,0.44119,0.52929
4645,93.340858,111.986200,6.242765,0.44118,0.52931
4646,93.307563,111.931120,6.240500,0.44121,0.52928
4647,93.300292,111.934100,6.242994,0.44118,0.52930
4648,93.331375,111.974180,6.244719,0.44118,0.52930
4649,93.356399,112.000200,6.245782,0.44119,0.52930
4650,93.336990,111.980410,6.246698,0.44118,0.52930
4651,93.321250,111.960180,6.240960,0.44119,0.52931
4652,93.308349,111.931860,6.241884,0.44121,0.52927
4653,93.295501,111.914930,6.240093,0.44122,0.52927
4654,93.288482,111.903360,6.241497,0.44122,0.52926
4655,93.284255,111.912040,6.238862,0.44120,0.52930
4656,93.273399,111.889420,6.242012,0.44121,0.52927
4657,93.315917,111.949760,6.243218,0.44119,0.52929
4658,93.296310,111.924180,6.243176,0.44119,0.52928
4659,93.283271,111.905190,6.239467,0.44121,0.52928
4660,93.325752,111.966240,6.241767,0.44119,0.52931
4661,93.326484,111.963340,6.241689,0.44119,0.52930
4662,93.326187,111.968060,6.244015,0.44118,0.52930
4663,93.301651,111.932090,6.241579,0.44119,0.52929
4664,93.286674,111.901900,6.241933,0.44122,0.52926
4665,93.314903,111.949620,6.240538,0.44119,0.52930
4666,93.257057,111.856580,6.238338,0.44124,0.52924
4667,93.279922,111.896460,6.239072,0.44122,0.52927
4668,93.289352,111.896000,6.239404,0.44124,0.52925
4669,93.321571,111.948310,6.239740,0.44122,0.52928
4670,93.282531,111.895070,6.239009,0.44123,0.52926
4671,93.318199,111.944200,6.242417,0.44121,0.52927
4672,93.283355,111.909860,6.241220,0.44119,0.52929
4673,93.333137,111.965820,6.243769,0.44120,0.52928
4674,93.271118,111.882650,6.237067,0.44123,0.52927
4675,93.240715,111.840030,6.235070,0.44124,0.52926
4676,93.292381,111.922240,6.240432,0.44119,0.52930
4677,93.336814,111.975850,6.242765,0.44119,0.52930
4678,93.389740,112.048340,6.245696,0.44118,0.52932
4679,93.334106,111.967520,6.242373,0.44120,0.52929
4680,93.303497,111.920760,6.240068,0.44123,0.52927
4681,93.296623,111.918640,6.241673,0.44121,0.52927
4682,93.273269,111.886020,6.239901,0.44122,0.52926
4683,93.328445,111.957950,6.242685,0.44121,0.52928
4684,93.279991,111.892630,6.240746,0.44122,0.52926
4685,93.291572,111.914700,6.241859,0.44120,0.52928
4686,93.354347,112.007940,6.247302,0.44116,0.52931
4687,93.294792,111.919680,6.238645,0.44121,0.52929
